Orthogroup	schistosoma_mansoni	s.mekongi
OG0000056	Smp_168030.1	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1
OG0000058	Smp_247950.1	KAK4468525.1
OG0000058	Smp_247290.1	KAK4470069.1
OG0000058	Smp_054010.1	KAK4470074.1, KAK4470072.1
OG0000058	Smp_150990.1, Smp_150990.2	KAK4470068.1
OG0000060	Smp_123510.1	KAK4471247.1
OG0000061	Smp_212360.2, Smp_212360.1	KAK4469486.1
OG0000062	Smp_332930.1	KAK4475970.1
OG0000063	Smp_171820.1	KAK4473734.1
OG0000064	Smp_332910.1, Smp_332910.2	KAK4475705.1
OG0000065	Smp_085010.1, Smp_085010.2	KAK4473358.1
OG0000065	Smp_067060.1, Smp_103610.1, Smp_344940.1	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	Smp_040970.1	KAK4473833.1
OG0000067	Smp_000260.1	KAK4471577.1
OG0000068	Smp_002410.1	KAK4469181.1
OG0000068	Smp_041430.1	KAK4467758.1
OG0000068	Smp_301620.1, Smp_009760.1	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	Smp_034840.1	KAK4472801.1
OG0000069	Smp_155020.1	KAK4474982.1
OG0000070	Smp_315710.1	KAK4472878.1
OG0000071	Smp_033600.1	KAK4472253.1
OG0000072	Smp_343430.1	KAK4468648.1
OG0000073	Smp_336700.1, Smp_336700.2, Smp_336700.3, Smp_336700.4, Smp_328600.4, Smp_328600.3, Smp_328600.2, Smp_328600.1	KAK4469816.1
OG0000074	Smp_164380.1	KAK4468714.1
OG0000074	Smp_307260.1	KAK4474596.1
OG0000074	Smp_085690.1	KAK4468705.1
OG0000075	Smp_246680.1	KAK4472282.1
OG0000076	Smp_141980.2	KAK4468620.1
OG0000076	Smp_134140.2, Smp_134140.1	KAK4467358.1, KAK4475671.1
OG0000077	Smp_244680.1, Smp_244680.2	KAK4475941.1
OG0000079	Smp_129050.1	KAK4472724.1
OG0000080	Smp_165200.3, Smp_165200.1, Smp_165200.2	KAK4472503.1
OG0000081	Smp_015160.1, Smp_192230.1, Smp_175880.1, Smp_150000.1, Smp_165450.1, Smp_192010.1, Smp_072670.1, Smp_122190.1	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	Smp_132900.1	KAK4476263.1
OG0000085	Smp_127430.1	KAK4474010.1
OG0000086	Smp_149300.1	KAK4470561.1
OG0000087	Smp_245790.1	KAK4469513.1
OG0000088	Smp_028690.1, Smp_028690.2	KAK4475590.1
OG0000088	Smp_131890.1	KAK4475589.1
OG0000091	Smp_146060.1	KAK4469611.1
OG0000092	Smp_180470.1, Smp_180470.2	KAK4475365.1
OG0000092	Smp_064870.1	KAK4474711.1
OG0000093	Smp_049550.1	KAK4473668.1
OG0000093	Smp_303420.1, Smp_303390.1, Smp_302170.1, Smp_302180.1, Smp_303400.1, Smp_303410.1, Smp_303550.1, Smp_320760.1	KAK4467328.1, KAK4467335.1
OG0000094	Smp_128570.1	KAK4475997.1
OG0000095	Smp_162630.1	KAK4471403.1, KAK4471978.1
OG0000096	Smp_005190.2, Smp_005190.1, Smp_005190.3	KAK4474123.1
OG0000097	Smp_168050.1	KAK4476042.1, KAK4476041.1
OG0000098	Smp_072330.1	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	Smp_340630.1, Smp_340630.2	KAK4471639.1
OG0000099	Smp_000100.1	KAK4471562.1
OG0000099	Smp_317420.1	KAK4470190.1
OG0000102	Smp_036590.1	KAK4475905.1
OG0000102	Smp_138050.1	KAK4472110.1
OG0000103	Smp_067000.1	KAK4470657.1
OG0000104	Smp_006250.1	KAK4475921.1
OG0000105	Smp_019790.1	KAK4474244.1
OG0000107	Smp_089430.1	KAK4469978.1
OG0000108	Smp_093930.1	KAK4475981.1
OG0000110	Smp_333980.1	KAK4472451.1
OG0000110	Smp_055260.1	KAK4472446.1
OG0000110	Smp_129920.1	KAK4472452.1
OG0000110	Smp_129900.1	KAK4472453.1
OG0000111	Smp_072140.1	KAK4473064.1
OG0000111	Smp_146600.1, Smp_146600.2	KAK4469719.1
OG0000111	Smp_104110.1	KAK4472666.1
OG0000112	Smp_156910.3, Smp_156910.4, Smp_156910.1, Smp_156910.5, Smp_156910.6, Smp_156910.2	KAK4468035.1
OG0000114	Smp_144700.1	KAK4467770.1
OG0000115	Smp_094320.1	KAK4473986.1
OG0000116	Smp_013840.1, Smp_013840.2	KAK4469396.1
OG0000117	Smp_014170.1	KAK4472459.1
OG0000118	Smp_319790.1, Smp_148080.1	KAK4473725.1
OG0000118	Smp_344080.1	KAK4473729.1
OG0000118	Smp_344070.1	KAK4473727.1
OG0000118	Smp_319780.1, Smp_319770.1, Smp_319770.2	KAK4473726.1
OG0000119	Smp_347870.1, Smp_247020.1	KAK4467682.1
OG0000120	Smp_167850.1	KAK4472468.1
OG0000122	Smp_344340.1	KAK4470066.1
OG0000123	Smp_165350.3, Smp_165350.1, Smp_165350.2, Smp_165350.5, Smp_165350.4	KAK4470855.1
OG0000125	Smp_097830.2, Smp_097830.1, Smp_097830.3	KAK4474534.1
OG0000126	Smp_008620.1	KAK4470546.1
OG0000127	Smp_316780.1, Smp_308060.3, Smp_308060.1, Smp_184350.2, Smp_184350.1, Smp_317400.1, Smp_349030.1, Smp_319340.2, Smp_319340.1, Smp_319340.3, Smp_243170.1, Smp_184350.3	KAK4475492.1
OG0000128	Smp_332660.1	KAK4473532.1
OG0000129	Smp_140420.1	KAK4474206.1
OG0000130	Smp_060420.1, Smp_060420.2	KAK4467983.1
