Orthogroup	schistosoma_japonicum	trichobilharzia_regenti
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3
OG0000045	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3	TREG1_84800.1, TREG1_84800.2, TREG1_84800.3, TREG1_84800.4, TREG1_84800.5, TREG1_84800.6, TREG1_84800.7, TREG1_9100.1, TREG1_23520.1, TREG1_23520.3, TREG1_23520.4
OG0000046	EWB00_001944	TREG1_82050.1
OG0000046	EWB00_009841, EWB00_008650	TREG1_84750.1, TREG1_84750.2, TREG1_84750.3
OG0000046	EWB00_004680, EWB00_005730, EWB00_000584, EWB00_002790.1, EWB00_002790.2	TREG1_47460.8, TREG1_47460.6, TREG1_47460.5, TREG1_94310.1, TREG1_94310.2, TREG1_94310.3, TREG1_94310.4, TREG1_94320.1, TREG1_122920.1, TREG1_122920.2, TREG1_122920.3, TREG1_10640.1, TREG1_141250.1, TREG1_27670.2, TREG1_27670.3, TREG1_94330.1, TREG1_131520.1, TREG1_131870.1, TREG1_97370.1, TREG1_131870.2, TREG1_145250.1, TREG1_145250.2, TREG1_145250.3, TREG1_2880.1, TREG1_2880.2, TREG1_2880.3, TREG1_131520.4, TREG1_131520.2, TREG1_131520.3, TREG1_131520.5, TREG1_27670.1, TREG1_83780.1, TREG1_83780.2, TREG1_83780.3
OG0000049	EWB00_001608.1, EWB00_001608.2	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4
OG0000049	EWB00_008098	TREG1_104790.1
OG0000050	EWB00_005371.1, EWB00_005371.2	TREG1_61870.1, TREG1_61870.2
OG0000052	EWB00_003293	TREG1_49560.1, TREG1_49560.2
OG0000052	EWB00_007330	TREG1_1120.1, TREG1_1140.1
OG0000052	EWB00_005671	TREG1_13330.1, TREG1_13320.1
OG0000052	EWB00_003847	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2
OG0000052	EWB00_009848	TREG1_82400.1
OG0000053	EWB00_005460.2, EWB00_005460.1	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9
OG0000054	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548	TREG1_17230.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5
