Orthogroup	schistosoma_japonicum	schistosoma_margrebowiei
OG0000048	EWB00_001580	SMRG1_22310.1, SMRG1_22640.1, SMRG1_97910.1, SMRG1_97910.2, SMRG1_22650.1, SMRG1_22400.1, SMRG1_22450.1, SMRG1_22670.1, SMRG1_47240.1, SMRG1_47250.1, SMRG1_70230.1, SMRG1_45620.1, SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1, SMRG1_22510.1, SMRG1_84630.1
OG0000049	EWB00_001608.1, EWB00_001608.2	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3, SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8
OG0000049	EWB00_008098	SMRG1_74150.1, SMRG1_74150.2, SMRG1_74150.3, SMRG1_74150.5, SMRG1_74150.4, SMRG1_74150.6
OG0000050	EWB00_005371.1, EWB00_005371.2	SMRG1_54200.2, SMRG1_54200.1, SMRG1_54200.3, SMRG1_54230.10, SMRG1_54230.7, SMRG1_54230.8, SMRG1_54230.6, SMRG1_54230.2, SMRG1_54230.4, SMRG1_54230.9, SMRG1_54230.1, SMRG1_54230.3, SMRG1_54230.5
OG0000052	EWB00_003293	SMRG1_28750.1
OG0000052	EWB00_007330	SMRG1_3130.1
OG0000052	EWB00_005671	SMRG1_980.1
OG0000052	EWB00_003847	SMRG1_600.1
OG0000052	EWB00_009848	SMRG1_67530.1
OG0000053	EWB00_005460.2, EWB00_005460.1	SMRG1_16530.1, SMRG1_16530.2
OG0000054	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767	SMRG1_62790.1, SMRG1_22860.1, SMRG1_96460.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	SMRG1_69170.9, SMRG1_69170.1, SMRG1_69170.5, SMRG1_69170.6, SMRG1_69170.7, SMRG1_69170.8, SMRG1_69170.10, SMRG1_69170.2, SMRG1_69170.4, SMRG1_69170.3
OG0000056	EWB00_006591, EWB00_008824	SMRG1_75260.1, SMRG1_74860.1, SMRG1_67770.1, SMRG1_14250.1, SMRG1_62560.1, SMRG1_75270.1, SMRG1_75270.2, SMRG1_88480.1, SMRG1_45130.1, SMRG1_2550.1, SMRG1_23560.1, SMRG1_67170.1, SMRG1_94190.1, SMRG1_30140.1
OG0000057	EWB00_008005	SMRG1_42540.1
OG0000058	EWB00_001871	SMRG1_91250.1
OG0000058	EWB00_003488.1, EWB00_003488.2	SMRG1_80930.1
OG0000058	EWB00_003491	SMRG1_80970.1, SMRG1_80940.1, SMRG1_80990.1
OG0000060	EWB00_010498.1, EWB00_010498.2	SMRG1_66000.1, SMRG1_66000.11, SMRG1_66000.12, SMRG1_66000.13, SMRG1_66000.3, SMRG1_66000.10, SMRG1_66000.14, SMRG1_66000.2, SMRG1_66000.4, SMRG1_66000.5, SMRG1_66000.6, SMRG1_66000.7, SMRG1_66000.8, SMRG1_66000.9
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	SMRG1_53190.19, SMRG1_53190.24, SMRG1_53190.18, SMRG1_53190.22, SMRG1_53190.23, SMRG1_53190.25, SMRG1_53190.20, SMRG1_53190.21, SMRG1_53190.1, SMRG1_53190.10, SMRG1_53190.12, SMRG1_53190.14, SMRG1_53190.17, SMRG1_53190.3, SMRG1_53190.6, SMRG1_53190.8, SMRG1_53190.11, SMRG1_53190.13, SMRG1_53190.2, SMRG1_53190.9, SMRG1_53190.4, SMRG1_53190.5, SMRG1_53190.7, SMRG1_53190.15, SMRG1_53190.16
OG0000062	EWB00_008458	SMRG1_5900.1, SMRG1_5900.2, SMRG1_5900.4, SMRG1_5900.5, SMRG1_5900.6, SMRG1_5900.3, SMRG1_5900.7, SMRG1_5900.8
OG0000063	EWB00_006170	SMRG1_39470.1, SMRG1_39470.7, SMRG1_39470.5, SMRG1_39470.3, SMRG1_39470.2, SMRG1_39470.4, SMRG1_39470.6, SMRG1_39470.8, SMRG1_39470.9
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	SMRG1_4070.1, SMRG1_4070.2
OG0000065	EWB00_000537	SMRG1_23080.1
