Orthogroup	schistosoma_japonicum	schistosoma_margrebowiei
OG0003188	EWB00_004402.1, EWB00_004402.2, EWB00_004402.3	SMRG1_82760.3, SMRG1_82760.1, SMRG1_82760.2
OG0003189	EWB00_005148.1, EWB00_005148.2	SMRG1_57440.2, SMRG1_57440.1, SMRG1_57440.3
OG0003190	EWB00_011302	SMRG1_60290.1, SMRG1_60290.2
OG0003191	EWB00_006882.1, EWB00_006882.2	SMRG1_48050.3, SMRG1_48050.1, SMRG1_48050.2
OG0003192	EWB00_003999.3, EWB00_003999.1, EWB00_003999.2	SMRG1_66910.1
OG0003193	EWB00_001279.2, EWB00_001279.1, EWB00_001279.3	SMRG1_37350.1
OG0003194	EWB00_009436.1, EWB00_009436.2	SMRG1_70360.1, SMRG1_70360.2, SMRG1_70360.3
OG0003195	EWB00_005426.1, EWB00_005426.2, EWB00_005426.3	SMRG1_16910.1
OG0003196	EWB00_000542, EWB00_000541.2, EWB00_000541.1, EWB00_000541.3, EWB00_000541.4	SMRG1_62700.1
OG0003197	EWB00_001440	SMRG1_96320.1
OG0003198	EWB00_008419.3, EWB00_008419.2, EWB00_008419.1	SMRG1_51340.1
OG0003199	EWB00_005874.1, EWB00_005874.2, EWB00_005874.3	SMRG1_94850.1
OG0003200	EWB00_009487	SMRG1_10090.1, SMRG1_10090.3, SMRG1_10090.2, SMRG1_10090.4
OG0003201	EWB00_009360	SMRG1_13990.1, SMRG1_13990.2
OG0003202	EWB00_005466.1, EWB00_005466.2, EWB00_005466.3	SMRG1_16470.1
OG0003203	EWB00_003179	SMRG1_92820.1, SMRG1_92820.2
OG0003204	EWB00_002525.4, EWB00_002525.3, EWB00_002525.1, EWB00_002525.5, EWB00_002525.2	SMRG1_19710.1, SMRG1_19710.2
OG0003205	EWB00_004334	SMRG1_36720.1
OG0003206	EWB00_006523.3, EWB00_006523.1, EWB00_006523.2	SMRG1_17470.1, SMRG1_17480.1
OG0003208	EWB00_006264	SMRG1_69990.1
OG0003210	EWB00_004690.3, EWB00_004690.1, EWB00_004690.2	SMRG1_12420.3, SMRG1_12420.4, SMRG1_12420.1, SMRG1_12420.2
OG0003211	EWB00_001368.1, EWB00_001368.2	SMRG1_75690.1, SMRG1_75690.2, SMRG1_75690.3
OG0003212	EWB00_010842.1, EWB00_010842.2, EWB00_010842.3	SMRG1_5650.1
OG0003213	EWB00_002935	SMRG1_33310.1, SMRG1_33310.2, SMRG1_33310.3, SMRG1_33310.4
OG0003214	EWB00_009437	SMRG1_11320.1, SMRG1_11320.2
OG0003215	EWB00_003063	SMRG1_8570.1
OG0003216	EWB00_008913.2, EWB00_008913.1, EWB00_008913.3	SMRG1_64880.1, SMRG1_64880.4, SMRG1_64880.2, SMRG1_64880.3
OG0003217	EWB00_011333	SMRG1_59910.1, SMRG1_59910.2, SMRG1_59910.3
OG0003218	EWB00_005572.3, EWB00_005572.4, EWB00_005572.2, EWB00_005572.5, EWB00_005572.1, EWB00_005572.6, EWB00_003264	SMRG1_58500.1
OG0003221	EWB00_006144	SMRG1_39670.1
OG0003222	EWB00_010347.1, EWB00_010347.2	SMRG1_19110.1, SMRG1_19110.2
OG0003223	EWB00_001955, EWB00_001956	SMRG1_89780.1, SMRG1_89780.2
OG0003224	EWB00_004395	SMRG1_38280.1, SMRG1_38280.2, SMRG1_38280.3
OG0003225	EWB00_003044, EWB00_003042.1, EWB00_003042.2	SMRG1_89390.1, SMRG1_89390.2
OG0003226	EWB00_003709.1, EWB00_003709.2	SMRG1_13600.1, SMRG1_13600.2, SMRG1_13600.3
OG0003227	EWB00_011155.1, EWB00_011155.2	SMRG1_62180.1, SMRG1_62180.2
OG0003228	EWB00_007532	SMRG1_88690.1, SMRG1_88690.2
OG0003229	EWB00_010966, EWB00_010965	SMRG1_76740.3, SMRG1_76740.1, SMRG1_76740.2, SMRG1_76740.4, SMRG1_76740.5
OG0003230	EWB00_002077.1, EWB00_002077.2	SMRG1_47650.2, SMRG1_47650.1, SMRG1_47650.3
OG0003231	EWB00_006561.1, EWB00_006561.2	SMRG1_17210.1
OG0003232	EWB00_005539	SMRG1_10570.1, SMRG1_10570.2, SMRG1_10570.3, SMRG1_10570.4
OG0003233	EWB00_005827.1, EWB00_005827.2, EWB00_005827.4, EWB00_005827.3	SMRG1_22190.1, SMRG1_22190.2
OG0003234	EWB00_000234, EWB00_000823	SMRG1_60250.2, SMRG1_60250.1, SMRG1_60250.3
OG0003235	EWB00_007303.2, EWB00_007303.5, EWB00_007303.4, EWB00_007303.1, EWB00_007303.3	SMRG1_84990.1
OG0003236	EWB00_011228.9, EWB00_011228.11, EWB00_011228.10, EWB00_011228.12, EWB00_011228.1, EWB00_011228.2, EWB00_011228.3, EWB00_011228.4, EWB00_011228.5, EWB00_011228.6, EWB00_011228.8, EWB00_011228.7	SMRG1_57840.1
OG0003237	EWB00_004234.1, EWB00_004234.2	SMRG1_25410.1, SMRG1_25410.2
OG0003238	EWB00_010483	SMRG1_66130.3, SMRG1_66130.1, SMRG1_66130.2
OG0003239	EWB00_006733.1, EWB00_006733.3, EWB00_006733.2, EWB00_006733.4, EWB00_006733.5, EWB00_006733.6, EWB00_006733.7	SMRG1_81330.1
OG0003240	EWB00_008701.2, EWB00_008701.4	SMRG1_7700.1, SMRG1_7700.2
OG0003241	EWB00_009123.1, EWB00_009123.2	SMRG1_37640.1, SMRG1_37640.2, SMRG1_37640.3
OG0003242	EWB00_010668.1, EWB00_010668.2	SMRG1_53610.1
OG0003243	EWB00_003084.1, EWB00_003084.3, EWB00_003084.4, EWB00_003084.7, EWB00_003084.2, EWB00_003084.5, EWB00_003084.6	SMRG1_8340.1
OG0003244	EWB00_005396	SMRG1_54010.1
OG0003245	EWB00_006500	SMRG1_54530.1
OG0003246	EWB00_003082.1, EWB00_003082.2	SMRG1_8390.1, SMRG1_8390.2, SMRG1_8390.3
OG0003247	EWB00_002490.3, EWB00_002490.1, EWB00_002490.2	SMRG1_19940.1
OG0003249	EWB00_010444	SMRG1_64570.2, SMRG1_64570.1
OG0003250	EWB00_007922	SMRG1_71070.1, SMRG1_71070.2
OG0003251	EWB00_005287.1, EWB00_005287.2	SMRG1_87530.1, SMRG1_87530.2, SMRG1_87530.3, SMRG1_87530.4
OG0003252	EWB00_002792.5, EWB00_002792.3, EWB00_002792.1, EWB00_002792.2, EWB00_002792.4	SMRG1_42620.1
OG0003253	EWB00_006924	SMRG1_88090.1
OG0003254	EWB00_008914	SMRG1_64890.1
OG0003255	EWB00_005870	SMRG1_94870.1
OG0003256	EWB00_002182	SMRG1_84490.1
OG0003257	EWB00_009732.1, EWB00_009732.3, EWB00_009732.2	SMRG1_12260.1, SMRG1_12260.2, SMRG1_12260.3, SMRG1_12260.4, SMRG1_12260.5
OG0003258	EWB00_001796	SMRG1_43670.1
OG0003259	EWB00_007061	SMRG1_23770.1, SMRG1_23770.2
OG0003260	EWB00_010180	SMRG1_84760.1
OG0003261	EWB00_003383.1	SMRG1_34680.2, SMRG1_34680.1, SMRG1_34680.3
OG0003262	EWB00_010861.3, EWB00_010861.1, EWB00_010861.2	SMRG1_58470.1, SMRG1_58470.2
OG0003263	EWB00_006341, EWB00_006342	SMRG1_4780.1
OG0003264	EWB00_004804	SMRG1_14910.1, SMRG1_14910.2
OG0003265	EWB00_005737.1, EWB00_005737.2	SMRG1_42230.3, SMRG1_42230.1, SMRG1_42230.2
OG0003266	EWB00_008682.1, EWB00_008682.2	SMRG1_71980.11, SMRG1_71980.10, SMRG1_71980.2, SMRG1_71980.5, SMRG1_71980.6, SMRG1_71980.7, SMRG1_71980.9, SMRG1_71980.1, SMRG1_71980.3, SMRG1_71980.4, SMRG1_71980.8
OG0003267	EWB00_002529.1, EWB00_002529.2	SMRG1_19640.1, SMRG1_19670.1, SMRG1_19670.2
OG0003268	EWB00_008258.1, EWB00_008258.2	SMRG1_43760.1, SMRG1_43760.3, SMRG1_43760.4, SMRG1_43760.2
OG0003269	EWB00_010993.1, EWB00_010993.2	SMRG1_77000.1, SMRG1_77000.2
OG0003270	EWB00_005906	SMRG1_63200.1, SMRG1_63200.2
OG0003271	EWB00_009402.4, EWB00_009402.5, EWB00_009402.7, EWB00_009402.1, EWB00_009402.3, EWB00_009402.2, EWB00_009402.6, EWB00_009402.8	SMRG1_11020.1
OG0003272	EWB00_004323	SMRG1_36590.1, SMRG1_36580.1, SMRG1_36600.1
OG0003273	EWB00_001726	SMRG1_33830.1, SMRG1_33830.2
OG0003274	EWB00_003811, EWB00_001051.4, EWB00_001051.2, EWB00_001051.3, EWB00_001051.5, EWB00_001051.6, EWB00_001051.8, EWB00_001051.7	SMRG1_18370.1
OG0003275	EWB00_001108.1	SMRG1_24760.2, SMRG1_24760.1, SMRG1_24760.3, SMRG1_24760.4
OG0003276	EWB00_006584	SMRG1_62240.1
OG0003277	EWB00_002907.1, EWB00_002907.2	SMRG1_33580.4, SMRG1_33580.1, SMRG1_33580.2, SMRG1_33580.3
OG0003278	EWB00_005170	SMRG1_55910.6, SMRG1_55910.1, SMRG1_55910.3, SMRG1_55910.4, SMRG1_55910.5, SMRG1_55910.2
OG0003279	EWB00_003837.1, EWB00_003837.2	SMRG1_700.2, SMRG1_700.1
OG0003280	EWB00_007377.2, EWB00_007377.1, EWB00_007377.3, EWB00_007377.4, EWB00_007377.5	SMRG1_78500.1
OG0003281	EWB00_011205.1, EWB00_011205.2	SMRG1_95760.1, SMRG1_95760.2, SMRG1_95760.3
OG0003282	EWB00_010653	SMRG1_53440.1, SMRG1_53440.2
OG0003283	EWB00_000573.1, EWB00_000573.3, EWB00_000573.2, EWB00_000573.4	SMRG1_95980.1, SMRG1_95980.2
OG0003284	EWB00_011299	SMRG1_60320.1
OG0003285	EWB00_007543.1, EWB00_007543.2	SMRG1_23040.1, SMRG1_23040.2
OG0003286	EWB00_009842	SMRG1_67490.1, SMRG1_67490.2
OG0003287	EWB00_010374.1, EWB00_010374.2	SMRG1_9060.1, SMRG1_9060.2, SMRG1_9060.3
OG0003288	EWB00_009774	SMRG1_69600.1, SMRG1_69600.2
OG0003289	EWB00_002694	SMRG1_12720.1
OG0003290	EWB00_009496.1	SMRG1_9990.2
OG0003291	EWB00_000053.1, EWB00_000053.2	SMRG1_17700.1, SMRG1_17700.2, SMRG1_17700.3, SMRG1_17700.4
OG0003292	EWB00_001336.1, EWB00_001336.2, EWB00_001336.3, EWB00_001336.4, EWB00_001336.5, EWB00_001336.6	SMRG1_86060.1
OG0003293	EWB00_007013	SMRG1_27330.1, SMRG1_27330.2
OG0003294	EWB00_008149.1, EWB00_008149.2, EWB00_008149.3	SMRG1_33600.1, SMRG1_33600.2, SMRG1_33600.3
OG0003296	EWB00_008128.3, EWB00_008128.1, EWB00_008128.2	SMRG1_54800.1, SMRG1_54800.2, SMRG1_54800.3
OG0003297	EWB00_006546.1, EWB00_006546.2	SMRG1_17320.1
OG0003298	EWB00_004029	SMRG1_46740.1, SMRG1_46840.1, SMRG1_46560.1, SMRG1_46820.1, SMRG1_47660.1
OG0003299	EWB00_002013.1, EWB00_002013.2, EWB00_002013.3	SMRG1_77660.1, SMRG1_77660.2, SMRG1_77660.3, SMRG1_77660.4
OG0003302	EWB00_008838	SMRG1_7830.1
OG0003303	EWB00_007745.1, EWB00_007745.3, EWB00_007745.2, EWB00_007745.4	SMRG1_54890.1, SMRG1_54890.2, SMRG1_54890.3, SMRG1_54890.4, SMRG1_54890.5
OG0003304	EWB00_007783.1, EWB00_007783.2	SMRG1_6820.1
OG0003305	EWB00_010935.4, EWB00_010937, EWB00_010935.1, EWB00_010935.2, EWB00_010935.3	SMRG1_74560.1, SMRG1_74560.2
OG0003306	EWB00_007821	SMRG1_56830.1
OG0003307	EWB00_003713.3, EWB00_003713.1, EWB00_003713.2, EWB00_003713.4, EWB00_003713.5, EWB00_003713.6, EWB00_003713.7, EWB00_003713.8	SMRG1_26190.1
OG0003309	EWB00_005667	SMRG1_1010.1
OG0003310	EWB00_010716	SMRG1_48940.1, SMRG1_48940.4, SMRG1_48940.2, SMRG1_48940.3
OG0003311	EWB00_001917	SMRG1_90920.1, SMRG1_90920.4, SMRG1_90920.2, SMRG1_90920.3
OG0003313	EWB00_002174, EWB00_002175, EWB00_009988, EWB00_002176	SMRG1_55190.1, SMRG1_55190.2, SMRG1_55190.3
OG0003314	EWB00_010889	SMRG1_27500.1
OG0003315	EWB00_007856.1, EWB00_007856.2	SMRG1_32250.1
OG0003318	EWB00_009257	SMRG1_11210.1
OG0003318	EWB00_000638	SMRG1_57730.1
OG0003319	EWB00_003912	SMRG1_40550.1
OG0003319	EWB00_003911.1, EWB00_003911.2	SMRG1_40540.1, SMRG1_40540.2, SMRG1_40540.3
OG0003320	EWB00_003563	SMRG1_56970.1, SMRG1_56970.2, SMRG1_56970.3, SMRG1_56970.4
OG0003321	EWB00_006021.1, EWB00_006021.2	SMRG1_30020.1
OG0003322	EWB00_007639	SMRG1_18150.3, SMRG1_18150.1, SMRG1_18150.2, SMRG1_18150.4
OG0003326	EWB00_009823.1, EWB00_009823.3, EWB00_009823.2	SMRG1_67340.1
OG0003327	EWB00_003890	SMRG1_77450.1, SMRG1_77450.2
OG0003328	EWB00_011026	SMRG1_74990.1, SMRG1_74990.2
OG0003329	EWB00_000558	SMRG1_95860.1
OG0003330	EWB00_006505.3, EWB00_006505.1, EWB00_006505.2	SMRG1_52270.1, SMRG1_52270.2
OG0003331	EWB00_009188	SMRG1_9360.1
OG0003332	EWB00_011211	SMRG1_32090.1, SMRG1_32100.1
OG0003333	EWB00_009921.1, EWB00_009921.2	SMRG1_6250.1, SMRG1_6250.2, SMRG1_6250.3
OG0003334	EWB00_003319.1, EWB00_003319.2	SMRG1_28510.1, SMRG1_28510.2, SMRG1_28510.3
OG0003335	EWB00_008896.1, EWB00_008896.2, EWB00_008896.3	SMRG1_64720.3, SMRG1_64720.2, SMRG1_64720.1
OG0003336	EWB00_001160.1, EWB00_001160.2	SMRG1_62380.1, SMRG1_62380.2, SMRG1_62380.4, SMRG1_62380.3
OG0003337	EWB00_010983.3, EWB00_010983.1, EWB00_010983.2	SMRG1_76920.1
OG0003338	EWB00_007637	SMRG1_18190.1, SMRG1_18190.2, SMRG1_18190.3
OG0003339	EWB00_010227	SMRG1_1170.1
OG0003340	EWB00_004593	SMRG1_39760.1
OG0003341	EWB00_006222.1, EWB00_006222.2	SMRG1_68160.1, SMRG1_68160.4, SMRG1_68160.3, SMRG1_68160.2
OG0003342	EWB00_002304.1, EWB00_002304.2	SMRG1_13220.1, SMRG1_13220.2
OG0003343	EWB00_007216.1, EWB00_007216.2	SMRG1_52080.1
OG0003344	EWB00_001539	SMRG1_23310.1, SMRG1_23320.1
OG0003345	EWB00_005053.2, EWB00_005053.4, EWB00_005053.3, EWB00_005053.1, EWB00_005054.2, EWB00_005054.1	SMRG1_97890.1, SMRG1_97890.2
OG0003347	EWB00_000978	SMRG1_44640.1
OG0003348	EWB00_005383	SMRG1_54090.1
OG0003349	EWB00_007466	SMRG1_40350.1
OG0003350	EWB00_010089.1, EWB00_010089.2	SMRG1_68610.1, SMRG1_68610.3, SMRG1_68610.2
OG0003352	EWB00_006734.2, EWB00_006734.1	SMRG1_81320.1
OG0003353	EWB00_010882.4, EWB00_010882.1, EWB00_010882.2, EWB00_010882.5, EWB00_010882.3	SMRG1_27570.1
OG0003354	EWB00_007009	SMRG1_27670.1
OG0003355	EWB00_010054	SMRG1_68980.1
OG0003357	EWB00_006364.1, EWB00_006364.2, EWB00_006364.3	SMRG1_43430.1
OG0003359	EWB00_005569	SMRG1_58410.1
OG0003361	EWB00_010359	SMRG1_18990.3, SMRG1_18990.1, SMRG1_18990.2
OG0003362	EWB00_010550.2, EWB00_010550.3, EWB00_010550.4, EWB00_010550.1	SMRG1_76050.1
OG0003363	EWB00_002198	SMRG1_29990.1, SMRG1_30000.1, SMRG1_30010.1
OG0003364	EWB00_001339.1, EWB00_001339.2	SMRG1_86030.2, SMRG1_86030.3, SMRG1_86030.1, SMRG1_86030.6, SMRG1_86030.4, SMRG1_86030.5
OG0003365	EWB00_001048	SMRG1_18410.1, SMRG1_18410.4, SMRG1_18410.2, SMRG1_18410.3
OG0003366	EWB00_011157	SMRG1_62200.3, SMRG1_62200.2, SMRG1_62200.1
OG0003367	EWB00_010811.2, EWB00_010811.1, EWB00_010811.3	SMRG1_48300.1
OG0003368	EWB00_007696	SMRG1_37960.1
OG0003369	EWB00_000917.1, EWB00_000917.2	SMRG1_65680.1
OG0003370	EWB00_005111	SMRG1_25870.1
OG0003371	EWB00_010802.1, EWB00_010802.2	SMRG1_48240.1
OG0003372	EWB00_003039	SMRG1_95510.4, SMRG1_95510.3, SMRG1_95510.1, SMRG1_95510.2
OG0003373	EWB00_004807	SMRG1_14920.2, SMRG1_14920.1, SMRG1_14920.3
OG0003374	EWB00_001431.2, EWB00_001430, EWB00_001431.1	SMRG1_96250.1
OG0003375	EWB00_009163	SMRG1_70320.4, SMRG1_70320.1, SMRG1_70320.5, SMRG1_70320.2, SMRG1_70320.3, SMRG1_70320.6
OG0003376	EWB00_010756.1, EWB00_010756.2	SMRG1_48560.1
OG0003377	EWB00_000138	SMRG1_82400.1, SMRG1_82390.1
OG0003378	EWB00_004512	SMRG1_83900.2, SMRG1_83900.1, SMRG1_83900.3
OG0003379	EWB00_010474.1, EWB00_010474.2, EWB00_010474.3	SMRG1_66230.2, SMRG1_66230.1
OG0003380	EWB00_005324	SMRG1_51900.2, SMRG1_51900.1
OG0003381	EWB00_011174	SMRG1_55490.1, SMRG1_55490.2, SMRG1_55490.3, SMRG1_55490.4
OG0003382	EWB00_008654.1, EWB00_008654.2	SMRG1_70760.1
OG0003383	EWB00_002567	SMRG1_5950.1, SMRG1_5950.2
OG0003384	EWB00_010106, EWB00_010165.1, EWB00_010165.2	SMRG1_43700.1
OG0003385	EWB00_006712	SMRG1_92510.1, SMRG1_92510.2
OG0003386	EWB00_003506.1, EWB00_003506.2	SMRG1_20230.2, SMRG1_20230.3, SMRG1_20230.1
OG0003387	EWB00_002372.5, EWB00_002372.4, EWB00_002372.3, EWB00_002372.2, EWB00_002372.1	SMRG1_14750.1, SMRG1_14750.2
OG0003388	EWB00_004775.3, EWB00_004775.4, EWB00_004775.1, EWB00_004775.2	SMRG1_95210.1, SMRG1_95210.2, SMRG1_95210.3, SMRG1_95210.4
OG0003389	EWB00_004047.2, EWB00_004047.3, EWB00_004047.1	SMRG1_47050.1
OG0003390	EWB00_003379	SMRG1_34720.1
OG0003391	EWB00_008181.3, EWB00_008181.2, EWB00_008181.4, EWB00_008181.1	SMRG1_79610.1
OG0003392	EWB00_003808, EWB00_003810	SMRG1_55920.1
OG0003393	EWB00_005947.1, EWB00_005947.2	SMRG1_32620.2, SMRG1_32620.6, SMRG1_32620.3, SMRG1_32620.1, SMRG1_32620.4, SMRG1_32620.5
OG0003394	EWB00_002803.1, EWB00_002803.2, EWB00_002803.3	SMRG1_42710.1
OG0003395	EWB00_008385.1, EWB00_008385.2, EWB00_008385.3, EWB00_008385.5, EWB00_008385.6, EWB00_008385.8, EWB00_008385.7, EWB00_008385.4	SMRG1_56300.1
OG0003396	EWB00_001561.1, EWB00_001561.2, EWB00_001561.3, EWB00_001561.4	SMRG1_44110.1
OG0003397	EWB00_002407	SMRG1_21860.1
OG0003398	EWB00_008514.1, EWB00_008514.2	SMRG1_9230.1
OG0003400	EWB00_006634	SMRG1_73690.1, SMRG1_73690.2
OG0003401	EWB00_002124	SMRG1_32980.1
OG0003402	EWB00_006448.1, EWB00_006448.2	SMRG1_21250.1
OG0003403	EWB00_004423	SMRG1_51030.3, SMRG1_51030.2, SMRG1_51030.1
OG0003404	EWB00_001371.1, EWB00_001371.2, EWB00_001371.3	SMRG1_75660.1
OG0003405	EWB00_010805	SMRG1_48260.1, SMRG1_48260.2
OG0003406	EWB00_007774.1, EWB00_007774.2	SMRG1_6720.1
OG0003407	EWB00_009604.1, EWB00_009604.2	SMRG1_85790.1
OG0003408	EWB00_000283.1, EWB00_000283.2, EWB00_000283.3	SMRG1_25720.1, SMRG1_25720.2, SMRG1_25720.3
OG0003409	EWB00_006521	SMRG1_17500.1
OG0003410	EWB00_010097, EWB00_010096	SMRG1_68590.1
OG0003411	EWB00_006177.2, EWB00_006177.1, EWB00_006177.4, EWB00_006177.3	SMRG1_39410.1
OG0003412	EWB00_008272	SMRG1_4920.1
OG0003414	EWB00_006156	SMRG1_39570.1
OG0003415	EWB00_002257	SMRG1_80060.4, SMRG1_80060.1, SMRG1_80060.2, SMRG1_80060.3
OG0003416	EWB00_010071.2, EWB00_010071.1, EWB00_010071.3	SMRG1_68780.1, SMRG1_68780.2
OG0003417	EWB00_005253.1, EWB00_005253.2	SMRG1_56800.1
OG0003418	EWB00_008966.1, EWB00_008966.2	SMRG1_47830.1
OG0003419	EWB00_010931.1, EWB00_010931.2	SMRG1_74520.1
OG0003420	EWB00_004367.2, EWB00_004367.1	SMRG1_37060.4, SMRG1_37060.5, SMRG1_37060.6, SMRG1_37060.2, SMRG1_37060.1, SMRG1_37060.3
OG0003422	EWB00_002075.1, EWB00_002075.2	SMRG1_47620.1, SMRG1_47620.2
OG0003423	EWB00_004586	SMRG1_12600.1, SMRG1_12600.2, SMRG1_12600.3
OG0003424	EWB00_005280.4, EWB00_005280.6, EWB00_005280.3, EWB00_005280.5, EWB00_005280.1, EWB00_005280.2	SMRG1_87620.1, SMRG1_87620.2
OG0003425	EWB00_001350	SMRG1_85950.1, SMRG1_85950.5, SMRG1_85950.2, SMRG1_85950.3, SMRG1_85950.4
OG0003426	EWB00_008880	SMRG1_64590.1, SMRG1_64590.2
OG0003427	EWB00_001006, EWB00_001002, EWB00_001005	SMRG1_44810.3, SMRG1_44810.1, SMRG1_44810.2
OG0003428	EWB00_008956	SMRG1_83520.1
OG0003429	EWB00_004576.1, EWB00_004576.2	SMRG1_78410.1, SMRG1_78410.3, SMRG1_78410.2, SMRG1_78410.4, SMRG1_78410.6, SMRG1_78410.5
OG0003430	EWB00_002024	SMRG1_77560.1
OG0003431	EWB00_002523, EWB00_002522	SMRG1_19730.2, SMRG1_19730.1, SMRG1_19730.3
OG0003432	EWB00_008132.1, EWB00_008132.3, EWB00_008132.2	SMRG1_72620.1
OG0003433	EWB00_009567.1, EWB00_009567.2	SMRG1_4590.2, SMRG1_4590.1, SMRG1_4590.3, SMRG1_4590.4
OG0003434	EWB00_011165	SMRG1_61050.1
OG0003435	EWB00_005618.1, EWB00_005618.2	SMRG1_37090.1, SMRG1_37090.2, SMRG1_37090.3
OG0003436	EWB00_004421	SMRG1_51050.1
OG0003437	EWB00_004970.1, EWB00_004970.3, EWB00_004970.2	SMRG1_73390.1, SMRG1_73390.2
OG0003438	EWB00_007438	SMRG1_31030.1, SMRG1_31030.2
OG0003439	EWB00_002383	SMRG1_21990.1, SMRG1_21990.2, SMRG1_21990.3
OG0003440	EWB00_003528.2, EWB00_003528.4, EWB00_003528.10, EWB00_003528.9, EWB00_003528.3, EWB00_003528.1, EWB00_003528.5, EWB00_003528.6, EWB00_003528.7, EWB00_003528.8	SMRG1_20390.1
OG0003441	EWB00_005009.1, EWB00_005009.2	SMRG1_26830.1, SMRG1_27070.1
OG0003442	EWB00_008350.1, EWB00_008350.2	SMRG1_73190.1, SMRG1_73190.3, SMRG1_73190.2, SMRG1_73190.4
OG0003443	EWB00_011244.1, EWB00_011244.2	SMRG1_61970.1, SMRG1_61960.1, SMRG1_61980.2, SMRG1_61980.1
OG0003444	EWB00_004673.1, EWB00_004673.2, EWB00_004673.3	SMRG1_10390.1, SMRG1_10390.2, SMRG1_10390.3
OG0003445	EWB00_008285	SMRG1_45090.1, SMRG1_45070.1
OG0003446	EWB00_008367.3, EWB00_008367.1, EWB00_008367.4, EWB00_008367.2	SMRG1_35150.1, SMRG1_35150.2
OG0003447	EWB00_006310.1, EWB00_006310.2	SMRG1_5200.1
OG0003448	EWB00_001621	SMRG1_70640.1, SMRG1_70640.2
OG0003449	EWB00_001622.1, EWB00_001622.2	SMRG1_70650.1
OG0003451	EWB00_008644, EWB00_008643	SMRG1_86210.1, SMRG1_86210.2
OG0003452	EWB00_008669	SMRG1_8200.1
OG0003453	EWB00_009555.1, EWB00_009555.2	SMRG1_43690.1
OG0003454	EWB00_003429.1, EWB00_003429.2, EWB00_003429.3	SMRG1_34240.1
OG0003455	EWB00_001163.1, EWB00_001163.2, EWB00_001163.3, EWB00_001163.4, EWB00_001163.5	SMRG1_62360.1
OG0003456	EWB00_008836	SMRG1_7810.1, SMRG1_7790.3, SMRG1_7790.2, SMRG1_7790.1
OG0003457	EWB00_003158	SMRG1_38080.1, SMRG1_38080.2
OG0003458	EWB00_006194	SMRG1_39250.1
OG0003459	EWB00_010922	SMRG1_74450.1
OG0003460	EWB00_000980.4, EWB00_000980.1, EWB00_000980.2, EWB00_000980.3	SMRG1_44660.1
OG0003461	EWB00_007307.1	SMRG1_84960.1
OG0003462	EWB00_006148	SMRG1_39640.1
OG0003463	EWB00_003004, EWB00_001660.5, EWB00_001660.1, EWB00_001660.2, EWB00_001660.3, EWB00_001660.4	SMRG1_85880.1, SMRG1_85880.2
OG0003465	EWB00_009791.1, EWB00_009791.3, EWB00_009791.2	SMRG1_63520.1
OG0003466	EWB00_005532.1, EWB00_005532.2, EWB00_005532.3, EWB00_005532.4	SMRG1_9550.1
OG0003467	EWB00_002014	SMRG1_77680.1, SMRG1_77690.1
OG0003468	EWB00_008929.1, EWB00_008929.2	SMRG1_69490.1, SMRG1_69490.2
OG0003469	EWB00_005218	SMRG1_51240.1, SMRG1_51240.2
OG0003470	EWB00_006821	SMRG1_52790.2, SMRG1_52790.1, SMRG1_52790.4, SMRG1_52790.3, SMRG1_52790.5
OG0003471	EWB00_000172.1	SMRG1_46390.1, SMRG1_46390.2
OG0003472	EWB00_003062.1, EWB00_003062.2, EWB00_003062.3, EWB00_003062.4	SMRG1_8590.1
OG0003473	EWB00_004571, EWB00_004572	SMRG1_78370.1, SMRG1_78370.3, SMRG1_78370.2
OG0003474	EWB00_005130.1, EWB00_005130.5, EWB00_005130.2, EWB00_005130.3, EWB00_005130.4, EWB00_005130.6	SMRG1_57230.1, SMRG1_57230.2
OG0003475	EWB00_001085.1, EWB00_001085.2	SMRG1_24510.1
OG0003476	EWB00_006402.1, EWB00_006402.2	SMRG1_43090.1, SMRG1_43090.2, SMRG1_43090.3
OG0003477	EWB00_011377	SMRG1_90350.1
OG0003478	EWB00_009561.2, EWB00_009561.1, EWB00_009561.3	SMRG1_6000.1, SMRG1_6000.2, SMRG1_6010.1, SMRG1_6010.2
OG0003479	EWB00_006951.1, EWB00_006951.2, EWB00_006951.3	SMRG1_28110.1, SMRG1_28110.2, SMRG1_28110.3, SMRG1_28110.4, SMRG1_28110.5
OG0003480	EWB00_006233.1, EWB00_006233.2	SMRG1_68270.1
OG0003481	EWB00_011156	SMRG1_62190.1, SMRG1_62190.2
OG0003482	EWB00_007533	SMRG1_88700.1, SMRG1_88700.2
OG0003483	EWB00_005976.1, EWB00_005976.2, EWB00_005976.5, EWB00_005976.3, EWB00_005976.4	SMRG1_30470.1
OG0003484	EWB00_004846	SMRG1_4120.1, SMRG1_4130.1
OG0003485	EWB00_009592, EWB00_009595	SMRG1_84170.1
OG0003486	EWB00_007660.1, EWB00_007660.2, EWB00_007660.3	SMRG1_41620.1
OG0003487	EWB00_006510.1, EWB00_006510.3, EWB00_006510.4, EWB00_006510.2	SMRG1_52220.1, SMRG1_52220.2
OG0003489	EWB00_007266.2, EWB00_007266.3, EWB00_007266.1, EWB00_007266.4	SMRG1_77310.1
OG0003490	EWB00_003071.1, EWB00_003071.2	SMRG1_8480.1
