Orthogroup	fasciola_gigantica	schistosoma_japonicum
OG0000115	FGIG_02859	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3
OG0000116	FGIG_03832, FGIG_01693	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5
OG0000117	FGIG_02197	EWB00_006015.1, EWB00_006015.2
OG0000118	FGIG_02831	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8, EWB00_006163.1, EWB00_006163.2, EWB00_006161, EWB00_006160, EWB00_006162
OG0000119	FGIG_05939	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1
OG0000120	FGIG_06695	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3
OG0000122	FGIG_06459, FGIG_06458	EWB00_003485
OG0000123	FGIG_06911	EWB00_001234.1, EWB00_001234.2
OG0000125	FGIG_12140, FGIG_05136	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3
OG0000126	FGIG_02836, FGIG_00047	EWB00_000954
OG0000127	FGIG_10651, FGIG_01876	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4
OG0000128	FGIG_02928	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3
OG0000129	FGIG_01051	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1
OG0000130	FGIG_06548, FGIG_01370	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	EWB00_002108.1, EWB00_002108.2, EWB00_003089
OG0000132	FGIG_04447, FGIG_04446	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3
OG0000133	FGIG_10537	EWB00_002574.1, EWB00_002574.2
OG0000134	FGIG_03080	EWB00_002521
OG0000135	FGIG_08997	EWB00_002678.2, EWB00_002678.1
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	EWB00_002100.1, EWB00_002100.2
OG0000138	FGIG_10020	EWB00_007536.1, EWB00_007536.2
OG0000138	FGIG_00536, FGIG_00535	EWB00_009704
OG0000139	FGIG_04756	EWB00_009035
OG0000140	FGIG_05800	EWB00_010959
OG0000143	FGIG_03125	EWB00_006280.1, EWB00_006280.2
OG0000144	FGIG_04482	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6
OG0000144	FGIG_02516	EWB00_001080
OG0000144	FGIG_08902, FGIG_02070	EWB00_005163
OG0000145	FGIG_06896	EWB00_002936
OG0000146	FGIG_01364	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3
OG0000146	FGIG_07112	EWB00_005122
OG0000146	FGIG_08174	EWB00_007935.1, EWB00_007935.2
OG0000146	FGIG_12116	EWB00_006903
OG0000147	FGIG_03610	EWB00_004283
OG0000148	FGIG_05123, FGIG_04713	EWB00_007473
OG0000149	FGIG_08710	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4
OG0000151	FGIG_00898	EWB00_008868
OG0000152	FGIG_02196	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	EWB00_005352.1, EWB00_005352.2, EWB00_003676, EWB00_008423, EWB00_003671, EWB00_008422
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2
OG0000155	FGIG_01109	EWB00_005616
OG0000156	FGIG_01694	EWB00_010322
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	EWB00_010321
OG0000157	FGIG_01729	EWB00_001166
OG0000157	FGIG_07044, FGIG_07045	EWB00_005728
OG0000157	FGIG_03579	EWB00_011201
OG0000158	FGIG_05975	EWB00_006315, EWB00_006316
OG0000159	FGIG_07564	EWB00_009175
OG0000160	FGIG_05715	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3
OG0000161	FGIG_08957	EWB00_003371.1, EWB00_003371.2
OG0000164	FGIG_12608, FGIG_03854	EWB00_011122.1, EWB00_011122.2
OG0000164	FGIG_01740	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4
OG0000164	FGIG_10598	EWB00_003801.1, EWB00_003801.2
OG0000164	FGIG_05689	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4
OG0000165	FGIG_03682	EWB00_010478
OG0000166	FGIG_04350	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1
OG0000167	FGIG_09630	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	EWB00_009686
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	EWB00_000962
OG0000172	FGIG_02787, FGIG_02788	EWB00_001058.1, EWB00_001058.2
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	EWB00_008475
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	EWB00_007666, EWB00_007667, EWB00_007668, EWB00_007669
OG0000177	FGIG_04057, FGIG_04058	EWB00_010516.1, EWB00_010516.2
OG0000178	FGIG_04370	EWB00_003718
OG0000179	FGIG_08795, FGIG_10380	EWB00_000893, EWB00_009104
OG0000180	FGIG_12039	EWB00_006752, EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163, EWB00_006750.1, EWB00_006750.2
OG0000182	FGIG_02134	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2
OG0000182	FGIG_00290	EWB00_000643
OG0000183	FGIG_02622	EWB00_005958.1, EWB00_005958.2
OG0000184	FGIG_03731	EWB00_006467.1, EWB00_006467.2
OG0000184	FGIG_03730	EWB00_006468
OG0000185	FGIG_07908	EWB00_005969.1, EWB00_005969.2
OG0000186	FGIG_00796	EWB00_002720
OG0000187	FGIG_10561, FGIG_02152	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3
OG0000188	FGIG_03282	EWB00_010904
OG0000189	FGIG_03464	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4
OG0000190	FGIG_04440	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	EWB00_004926, EWB00_003159, EWB00_004925, EWB00_003164, EWB00_003167
OG0000192	FGIG_06841, FGIG_06840	EWB00_003964.1, EWB00_003964.2
OG0000193	FGIG_11714, FGIG_07076	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225
OG0000194	FGIG_07707	EWB00_001391
OG0000195	FGIG_08368	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3
OG0000196	FGIG_11982, FGIG_03269	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3
OG0000196	FGIG_11890	EWB00_009417.2, EWB00_009417.1
OG0000198	FGIG_06396	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3
OG0000199	FGIG_03163	EWB00_007850.1, EWB00_007850.2
OG0000201	FGIG_05120	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3
OG0000202	FGIG_07192	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2
OG0000203	FGIG_08149	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3
OG0000205	FGIG_02525	EWB00_005482
OG0000206	FGIG_03933	EWB00_003373.1, EWB00_003373.2, EWB00_003373.3
OG0000207	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073	EWB00_006855, EWB00_006859, EWB00_006857, EWB00_006860, EWB00_006858, EWB00_006856
OG0000208	FGIG_04764	EWB00_006604
OG0000209	FGIG_06233	EWB00_003068
OG0000210	FGIG_06835, FGIG_08667	EWB00_008607
OG0000211	FGIG_06875	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4
OG0000212	FGIG_07429, FGIG_07428	EWB00_000254.1, EWB00_000254.2
OG0000214	FGIG_09344	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3
OG0000217	FGIG_02317, FGIG_02318	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	EWB00_007629
OG0000219	FGIG_07378	EWB00_011278.1, EWB00_011278.2
OG0000220	FGIG_07549	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3
OG0000221	FGIG_04956, FGIG_04954, FGIG_08084	EWB00_009959, EWB00_008502
OG0000221	FGIG_02269	EWB00_007895, EWB00_007896
OG0000222	FGIG_00564	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2
OG0000223	FGIG_00853	EWB00_008468
OG0000224	FGIG_01377, FGIG_01378	EWB00_010846
OG0000225	FGIG_02370, FGIG_02369	EWB00_008634
OG0000226	FGIG_02439, FGIG_12357	EWB00_001463.1, EWB00_001463.2
OG0000227	FGIG_04507, FGIG_04506	EWB00_010050
OG0000228	FGIG_04992	EWB00_003240.1, EWB00_003240.2
OG0000229	FGIG_10264, FGIG_05406, FGIG_12189	EWB00_007972
OG0000230	FGIG_06761, FGIG_06762	EWB00_007125
OG0000234	FGIG_01289	EWB00_004388, EWB00_004387
OG0000235	FGIG_07942, FGIG_02783, FGIG_02784	EWB00_009052, EWB00_009056
OG0000236	FGIG_05608	EWB00_007746
OG0000237	FGIG_06420	EWB00_006822
OG0000238	FGIG_07333	EWB00_007715.1, EWB00_007715.2, EWB00_007715.3
OG0000239	FGIG_07503, FGIG_08719	EWB00_002853.1, EWB00_002853.2
OG0000240	FGIG_10740, FGIG_10875	EWB00_007941.1, EWB00_007941.2
OG0000241	FGIG_00479	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3, EWB00_007787
OG0000242	FGIG_01807	EWB00_004683
OG0000243	FGIG_00529, FGIG_00528	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3, EWB00_006288.1
OG0000244	FGIG_11655, FGIG_00993	EWB00_008588
OG0000245	FGIG_01848	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1
OG0000246	FGIG_06772	EWB00_003780.1, EWB00_003780.2
OG0000247	FGIG_09572	EWB00_006352.1, EWB00_006352.2
OG0000248	FGIG_10714	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2
OG0000249	FGIG_11297	EWB00_001035
OG0000250	FGIG_12420, FGIG_11532	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4
OG0000252	FGIG_01524	EWB00_006197
OG0000253	FGIG_02155	EWB00_000597.2, EWB00_000597.3, EWB00_000597.1
OG0000254	FGIG_02996	EWB00_009459.1, EWB00_009459.2, EWB00_009459.3
OG0000255	FGIG_03191	EWB00_003290.1, EWB00_003290.2
OG0000256	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257	EWB00_008201, EWB00_009917
OG0000258	FGIG_05122	EWB00_007679.1, EWB00_007679.2
OG0000259	FGIG_05764	EWB00_003467
OG0000260	FGIG_05885	EWB00_002420.5, EWB00_002420.1, EWB00_002420.4, EWB00_002420.7, EWB00_002420.2, EWB00_002420.8, EWB00_002420.3, EWB00_002420.6
OG0000261	FGIG_06157	EWB00_007911, EWB00_007909, EWB00_007910
OG0000262	FGIG_08811, FGIG_08810	EWB00_004140, EWB00_004139
OG0000263	FGIG_09258	EWB00_004713
OG0000264	FGIG_11442	EWB00_004506, EWB00_004507
OG0000264	FGIG_10736	EWB00_006350
OG0000268	FGIG_06620	EWB00_002781.2, EWB00_002781.1, EWB00_002781.3
OG0000268	FGIG_10234	EWB00_000422.4, EWB00_000422.5, EWB00_000422.2, EWB00_000422.3, EWB00_000422.1
OG0000269	FGIG_02813	EWB00_009039
OG0000270	FGIG_03740, FGIG_02883	EWB00_005015.1, EWB00_005015.2, EWB00_005015.3
OG0000271	FGIG_04146, FGIG_09915, FGIG_04147	EWB00_010608.4, EWB00_010608.1, EWB00_010608.2, EWB00_010608.3, EWB00_010608.5
OG0000272	FGIG_07493	EWB00_004167.1, EWB00_004167.2, EWB00_004167.4, EWB00_004167.5, EWB00_004167.3
OG0000273	FGIG_07763	EWB00_007794
OG0000274	FGIG_10372	EWB00_010594.5, EWB00_010594.2, EWB00_010594.1, EWB00_010594.3, EWB00_010594.4
OG0000275	FGIG_08245	EWB00_001311
OG0000276	FGIG_08474	EWB00_004524.5, EWB00_004524.3, EWB00_004524.2, EWB00_004524.1, EWB00_004524.4
OG0000277	FGIG_08916	EWB00_009160.5, EWB00_009160.1, EWB00_009160.2, EWB00_009160.3, EWB00_009160.4, EWB00_009160.6
OG0000281	FGIG_00516	EWB00_009452
OG0000281	FGIG_04239	EWB00_010291, EWB00_010289
OG0000282	FGIG_11572, FGIG_01087	EWB00_000750
OG0000283	FGIG_01798	EWB00_011116
OG0000284	FGIG_03458	EWB00_003225.3, EWB00_003225.1, EWB00_003225.2
OG0000285	FGIG_03702, FGIG_03701	EWB00_004295
OG0000286	FGIG_08247, FGIG_09211, FGIG_06296	EWB00_006409.1, EWB00_006409.2, EWB00_002827
OG0000287	FGIG_07559	EWB00_001190.1, EWB00_001190.2, EWB00_001190.3
OG0000288	FGIG_08415	EWB00_008053
OG0000289	FGIG_11097	EWB00_000082
OG0000290	FGIG_06528	EWB00_010888.2, EWB00_010888.3, EWB00_010888.4, EWB00_010888.6, EWB00_010888.1, EWB00_010888.5
OG0000290	FGIG_00121	EWB00_009745
OG0000291	FGIG_00724, FGIG_00726	EWB00_006455
OG0000292	FGIG_01340, FGIG_10382	EWB00_007865
OG0000293	FGIG_03259	EWB00_006949.2, EWB00_006949.1
OG0000293	FGIG_10208, FGIG_04594	EWB00_000820
OG0000293	FGIG_06127	EWB00_007238
