Orthogroup	schistosoma_japonicum	s.mekongi
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	KAK4473833.1
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	KAK4471577.1
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	KAK4469181.1
OG0000068	EWB00_000572	KAK4467758.1
OG0000068	EWB00_004327	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	KAK4472801.1
OG0000069	EWB00_002487	KAK4474982.1
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	KAK4472878.1
OG0000071	EWB00_001786	KAK4472253.1
OG0000072	EWB00_001684	KAK4468648.1
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	KAK4469816.1
OG0000074	EWB00_007721.1	KAK4476006.1
OG0000074	EWB00_007512.1	KAK4468714.1
OG0000074	EWB00_004196.6	KAK4474596.1
OG0000074	EWB00_008993	KAK4468705.1
OG0000075	EWB00_001749	KAK4472282.1
OG0000076	EWB00_000338, EWB00_000339	KAK4468620.1
OG0000076	EWB00_009041	KAK4467358.1, KAK4475671.1
OG0000077	EWB00_004677	KAK4475941.1
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	KAK4467476.1, KAK4475827.1
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	KAK4472724.1
OG0000080	EWB00_004899.1, EWB00_004899.2	KAK4472503.1
OG0000081	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	KAK4468962.1, KAK4472154.1, KAK4467509.1, KAK4467353.1, KAK4474282.1
OG0000082	EWB00_009477	KAK4476263.1
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	KAK4474010.1
OG0000086	EWB00_004530	KAK4470561.1
OG0000087	EWB00_010661	KAK4469513.1
OG0000088	EWB00_007313	KAK4475590.1
OG0000088	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	KAK4475589.1
OG0000090	EWB00_005364	KAK4469374.1
OG0000091	EWB00_010764.1, EWB00_010764.2	KAK4469611.1
OG0000092	EWB00_007194.1, EWB00_007194.2	KAK4475365.1
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	KAK4474711.1
OG0000093	EWB00_003936	KAK4473668.1
OG0000094	EWB00_009097.1, EWB00_009097.2	KAK4475997.1
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	KAK4471403.1, KAK4471978.1
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	KAK4474123.1
OG0000097	EWB00_007768	KAK4476042.1, KAK4476041.1
OG0000098	EWB00_011356	KAK4470772.1, KAK4473429.1, KAK4472970.1
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	KAK4471639.1
OG0000099	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3	KAK4471562.1
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	KAK4470190.1
OG0000102	EWB00_010834.2, EWB00_010834.1	KAK4475905.1
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	KAK4472110.1
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	KAK4470657.1
OG0000104	EWB00_008979.1, EWB00_008979.2	KAK4475921.1
OG0000105	EWB00_002088, EWB00_004453	KAK4474244.1, KAK4476082.1
OG0000106	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641	KAK4470606.1
OG0000106	EWB00_009643	KAK4467455.1
OG0000107	EWB00_007831	KAK4469978.1
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	KAK4475981.1
OG0000110	EWB00_006025	KAK4472451.1
OG0000110	EWB00_006029	KAK4472446.1
OG0000110	EWB00_006024	KAK4472452.1
OG0000110	EWB00_006023	KAK4472453.1
OG0000111	EWB00_007674.3, EWB00_007674.1, EWB00_007674.2, EWB00_007674.4	KAK4473064.1
OG0000111	EWB00_007468.1, EWB00_007468.2	KAK4472668.1
OG0000111	EWB00_003555.1, EWB00_003555.2	KAK4469719.1
OG0000111	EWB00_007470.1, EWB00_007470.2, EWB00_007470.3	KAK4472666.1
OG0000112	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1	KAK4468035.1
OG0000114	EWB00_000559.1, EWB00_000559.2	KAK4467770.1
OG0000115	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3	KAK4473986.1
OG0000116	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5	KAK4469396.1
OG0000117	EWB00_006015.1, EWB00_006015.2	KAK4472459.1
OG0000118	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8	KAK4473725.1
OG0000118	EWB00_006163.1, EWB00_006163.2	KAK4473729.1
OG0000118	EWB00_006161	KAK4473727.1
OG0000118	EWB00_006160	KAK4473726.1
OG0000118	EWB00_006162	KAK4473728.1
OG0000119	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1	KAK4467682.1
OG0000120	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3	KAK4472468.1
OG0000122	EWB00_003485	KAK4470066.1
OG0000123	EWB00_001234.1, EWB00_001234.2	KAK4470855.1
OG0000125	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3	KAK4474534.1
OG0000126	EWB00_000954	KAK4470546.1
OG0000127	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4	KAK4475492.1
OG0000128	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3	KAK4473532.1
OG0000129	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1	KAK4474206.1
OG0000130	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3	KAK4467983.1
OG0000131	EWB00_003089	KAK4476229.1
OG0000132	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3	KAK4474101.1
OG0000133	EWB00_002574.1, EWB00_002574.2	KAK4472626.1
OG0000134	EWB00_002521	KAK4475011.1
OG0000135	EWB00_002678.2, EWB00_002678.1	KAK4474731.1
OG0000136	EWB00_002100.1, EWB00_002100.2	KAK4476189.1, KAK4476190.1
OG0000137	EWB00_003243, EWB00_003242, EWB00_010379	KAK4473442.1
OG0000137	EWB00_003244	KAK4473441.1
OG0000138	EWB00_007536.1, EWB00_007536.2	KAK4468744.1
OG0000138	EWB00_009704	KAK4473697.1
OG0000139	EWB00_009035	KAK4475677.1
OG0000140	EWB00_010959	KAK4470680.1, KAK4470033.1
