Orthogroup	schistosoma_japonicum	schistosoma_turkestanicum
OG0003934	EWB00_003596.2, EWB00_003596.1, EWB00_003596.3	STRK1_93440.1, STRK1_93440.2
OG0003935	EWB00_004206.3, EWB00_004206.1, EWB00_004206.2	STRK1_5290.1, STRK1_5290.2
OG0003936	EWB00_005910	STRK1_6040.1
OG0003937	EWB00_010776	STRK1_100380.1, STRK1_45690.1
OG0003938	EWB00_006624	STRK1_71840.1
OG0003939	EWB00_004488.1, EWB00_004488.3, EWB00_004488.2	STRK1_81810.1, STRK1_81820.1, STRK1_81820.2
OG0003940	EWB00_010014	STRK1_8240.1
OG0003941	EWB00_004842	STRK1_16010.1
OG0003943	EWB00_004051	STRK1_44200.1
OG0003944	EWB00_004052	STRK1_44210.1, STRK1_44210.2
OG0003945	EWB00_007531	STRK1_84430.1, STRK1_84440.1
OG0003946	EWB00_001125, EWB00_001124	STRK1_23420.1
OG0003947	EWB00_007816	STRK1_38760.1
OG0003948	EWB00_005142	STRK1_53080.1
OG0003949	EWB00_008117.1, EWB00_008117.2, EWB00_008117.3	STRK1_51400.1
OG0003950	EWB00_008455	STRK1_6150.1
OG0003951	EWB00_008072	STRK1_50620.1, STRK1_50630.1
OG0003952	EWB00_001856.1, EWB00_001856.2	STRK1_86270.1
OG0003953	EWB00_006729.1, EWB00_006729.4, EWB00_006729.2, EWB00_006729.3, EWB00_006729.5	STRK1_79100.1
OG0003954	EWB00_011100, EWB00_011099	STRK1_60410.1
OG0003955	EWB00_007597	STRK1_49520.1
OG0003956	EWB00_000398.2, EWB00_000398.1, EWB00_000398.3, EWB00_000398.4	STRK1_59250.1
OG0003957	EWB00_008169.1	STRK1_35790.1
OG0003958	EWB00_004101.2, EWB00_004101.5, EWB00_004101.6, EWB00_004101.1, EWB00_004101.3, EWB00_004101.4	STRK1_26780.1
OG0003959	EWB00_004638	STRK1_21180.1, STRK1_21190.1, STRK1_97710.1
OG0003960	EWB00_006515.1, EWB00_006515.2	STRK1_52000.1
OG0003961	EWB00_008772	STRK1_101970.1, STRK1_79210.1
OG0003962	EWB00_005979	STRK1_29680.1
OG0003963	EWB00_008819	STRK1_2030.1
OG0003964	EWB00_006533.1, EWB00_006536, EWB00_006533.2	STRK1_13570.1
OG0003965	EWB00_010883.1, EWB00_010883.2	STRK1_25290.1
OG0003966	EWB00_008837.2	STRK1_12750.1
OG0003966	EWB00_008837.1	STRK1_12750.3, STRK1_12750.2
OG0003967	EWB00_002798	STRK1_101370.1
OG0003968	EWB00_007339.1, EWB00_007339.2, EWB00_007339.3, EWB00_007339.4, EWB00_007339.5	STRK1_16880.1, STRK1_16880.2
OG0003969	EWB00_008405, EWB00_008406	STRK1_81130.1
OG0003970	EWB00_000376	STRK1_89750.1
OG0003971	EWB00_009792	STRK1_59210.1, STRK1_59210.2
OG0003972	EWB00_007469.1, EWB00_007469.5, EWB00_007469.4, EWB00_007469.2, EWB00_007469.3, EWB00_007469.6	STRK1_32470.1
OG0003974	EWB00_005369	STRK1_51600.1, STRK1_51600.2, STRK1_51600.3, STRK1_51600.4, STRK1_51600.5, STRK1_51600.6
OG0003975	EWB00_006211.1, EWB00_006211.2	STRK1_101100.1, STRK1_37130.1
OG0003976	EWB00_004231	STRK1_23160.1, STRK1_98200.1
OG0003977	EWB00_005387.1, EWB00_005387.2	STRK1_47850.1
OG0003978	EWB00_010706.1, EWB00_010706.3, EWB00_010706.2, EWB00_010706.4	STRK1_50870.1
OG0003979	EWB00_003707.1, EWB00_003707.2	STRK1_11150.1, STRK1_11150.2
OG0003980	EWB00_007431	STRK1_108680.1, STRK1_91660.1
OG0003981	EWB00_007090.2, EWB00_007090.4, EWB00_007090.3, EWB00_007090.5	STRK1_22070.3
OG0003981	EWB00_007090.1	STRK1_22070.1, STRK1_22070.2
OG0003982	EWB00_010445.1, EWB00_010445.2	STRK1_63510.1, STRK1_63510.2
OG0003983	EWB00_011334.1, EWB00_011334.2	STRK1_60130.1
OG0003985	EWB00_010488.3, EWB00_010488.4, EWB00_010488.1, EWB00_010488.2	STRK1_62680.1
OG0003986	EWB00_010398	STRK1_59050.1
OG0003987	EWB00_005816, EWB00_009505	STRK1_13060.1
OG0003988	EWB00_007702	STRK1_33190.1, STRK1_33190.2
OG0003989	EWB00_010031	STRK1_56220.1, STRK1_56230.1
OG0003990	EWB00_008743.1, EWB00_008743.2	STRK1_50120.1, STRK1_50120.2, STRK1_50120.3
OG0003991	EWB00_004166	STRK1_4820.1
OG0003992	EWB00_004622.4, EWB00_004622.1, EWB00_004622.3, EWB00_004622.2	STRK1_32350.1
OG0003993	EWB00_010970	STRK1_76140.1
OG0003994	EWB00_001578.1, EWB00_001578.2	STRK1_39190.1
OG0003995	EWB00_003271.1, EWB00_003271.2	STRK1_97760.1, STRK1_104020.1
OG0003996	EWB00_008121.3, EWB00_008121.1, EWB00_008121.2	STRK1_51430.2, STRK1_51430.1, STRK1_51430.3
OG0003998	EWB00_009366.1, EWB00_009366.2	STRK1_5130.1, STRK1_5130.2
OG0003999	EWB00_008563.1, EWB00_008563.2	STRK1_20870.1, STRK1_20870.2
OG0004000	EWB00_009870.1, EWB00_009870.3, EWB00_009870.2	STRK1_61810.1
OG0004001	EWB00_002548.3, EWB00_002548.1, EWB00_002548.2	STRK1_44810.1, STRK1_44810.2
OG0004003	EWB00_002134	STRK1_34250.1
OG0004004	EWB00_008657	STRK1_68000.1
OG0004005	EWB00_003143.2, EWB00_003143.3, EWB00_003143.5, EWB00_003143.4	STRK1_32910.1
OG0004006	EWB00_005972.1, EWB00_005972.2, EWB00_005972.3	STRK1_34070.1
OG0004007	EWB00_002738.1, EWB00_002738.2	STRK1_69290.1
OG0004010	EWB00_007550.1, EWB00_007550.2	STRK1_21350.1
OG0004011	EWB00_001416	STRK1_73810.1
OG0004012	EWB00_005377	STRK1_51510.1
OG0004012	EWB00_005376	STRK1_51520.1
OG0004013	EWB00_010472	STRK1_63390.1
OG0004014	EWB00_001659.1, EWB00_001659.2	STRK1_82220.1
OG0004015	EWB00_008942.1, EWB00_008942.2	STRK1_108000.1, STRK1_90100.1, STRK1_90150.1
OG0004016	EWB00_005644	STRK1_810.1
OG0004018	EWB00_006915	STRK1_84230.1
OG0004019	EWB00_009268.1, EWB00_009268.2, EWB00_009268.3	STRK1_106780.1
OG0004021	EWB00_011391.1, EWB00_011391.2	STRK1_87540.3, STRK1_87540.1, STRK1_87540.2
OG0004022	EWB00_009287.1, EWB00_009287.2, EWB00_009287.3, EWB00_009287.4, EWB00_009287.5, EWB00_009287.6, EWB00_009287.7	STRK1_85520.1
OG0004023	EWB00_011261.1, EWB00_011261.2	STRK1_58280.1
OG0004024	EWB00_008002	STRK1_650.1
OG0004025	EWB00_003510	STRK1_19950.1, STRK1_19950.2, STRK1_19950.3, STRK1_19950.4, STRK1_98670.1
OG0004027	EWB00_011023	STRK1_71100.1
OG0004028	EWB00_009204	STRK1_39170.1
OG0004029	EWB00_001618.1, EWB00_001618.2	STRK1_67790.1
OG0004030	EWB00_005474.1, EWB00_005474.3, EWB00_005474.4, EWB00_005474.2	STRK1_2180.1
OG0004031	EWB00_005920	STRK1_27820.1, STRK1_98780.1
OG0004032	EWB00_009395	STRK1_5370.1, STRK1_5350.1, STRK1_5360.1
OG0004033	EWB00_003914	STRK1_38540.2, STRK1_38540.1, STRK1_38540.3
OG0004034	EWB00_008582	STRK1_96000.1, STRK1_96000.2, STRK1_96000.3, STRK1_96000.4, STRK1_89120.1, STRK1_95710.1
OG0004035	EWB00_001972	STRK1_85270.1
OG0004036	EWB00_003139	STRK1_32870.1
OG0004037	EWB00_003585	STRK1_270.1
OG0004038	EWB00_010720.1, EWB00_010720.2	STRK1_51010.1
OG0004039	EWB00_003882, EWB00_009947	STRK1_68050.1
OG0004040	EWB00_005409	STRK1_47650.1, STRK1_47650.2
OG0004041	EWB00_004717.2, EWB00_004717.1	STRK1_39620.1, STRK1_105620.1, STRK1_73320.1, STRK1_67500.1
OG0004042	EWB00_009809.1, EWB00_009809.2	STRK1_63040.1
OG0004043	EWB00_001510.1, EWB00_001510.2	STRK1_12530.1
OG0004044	EWB00_007544.1, EWB00_007544.3, EWB00_007544.2	STRK1_97410.1
OG0004045	EWB00_010195.1, EWB00_010195.2	STRK1_91240.1
OG0004046	EWB00_009476.1, EWB00_009476.2, EWB00_009476.3	STRK1_9800.1, STRK1_9800.2, STRK1_9800.3
OG0004048	EWB00_011272.1, EWB00_011272.3, EWB00_011272.2, EWB00_011272.4	STRK1_58360.1
OG0004049	EWB00_000570	STRK1_106720.1
OG0004050	EWB00_004578.1, EWB00_004578.2, EWB00_004578.3, EWB00_004578.5, EWB00_004578.4	STRK1_75030.1
OG0004051	EWB00_008864	STRK1_64030.1, STRK1_64030.2, STRK1_64030.3
OG0004052	EWB00_005178.1, EWB00_005178.2	STRK1_55630.1
OG0004053	EWB00_011405.1, EWB00_011405.2	STRK1_104430.1, STRK1_95550.1, STRK1_95550.2, STRK1_95550.3, STRK1_95550.4, STRK1_95550.5
OG0004054	EWB00_001591.3, EWB00_001591.1, EWB00_001591.2	STRK1_69370.1
OG0004055	EWB00_009413	STRK1_10860.1, STRK1_10860.2
OG0004056	EWB00_010726.1, EWB00_010726.2	STRK1_51080.1
OG0004057	EWB00_007618	STRK1_49690.1, STRK1_49690.2, STRK1_49690.3
OG0004058	EWB00_011043.1, EWB00_011043.2, EWB00_011043.3	STRK1_75650.1
OG0004059	EWB00_011259.1, EWB00_011259.2	STRK1_58260.1, STRK1_58260.2
OG0004060	EWB00_007347.1, EWB00_007347.2, EWB00_007347.3	STRK1_16730.1
OG0004061	EWB00_000318.1, EWB00_000318.2	STRK1_88180.1
OG0004062	EWB00_000319	STRK1_88170.1
OG0004063	EWB00_010245.1, EWB00_010245.2	STRK1_80820.1, STRK1_80820.2, STRK1_80820.3
OG0004064	EWB00_005533.2, EWB00_005533.1	STRK1_10140.1
OG0004066	EWB00_000071.2, EWB00_000071.1, EWB00_000071.3	STRK1_14050.1, STRK1_14050.2
OG0004067	EWB00_002300.1, EWB00_002300.2	STRK1_11560.1
OG0004068	EWB00_001373.1, EWB00_001373.2	STRK1_99540.1
OG0004069	EWB00_011373	STRK1_53260.1
OG0004071	EWB00_002408	STRK1_20480.1, STRK1_20480.2
OG0004072	EWB00_004276	STRK1_30850.5, STRK1_30850.3, STRK1_30850.2, STRK1_30850.1, STRK1_30850.4
OG0004073	EWB00_010068, EWB00_010069	STRK1_55350.1, STRK1_55360.1, STRK1_66220.1
OG0004074	EWB00_001453	STRK1_93380.1
OG0004076	EWB00_001984	STRK1_85360.1
OG0004077	EWB00_002084.2, EWB00_002084.4, EWB00_002084.5, EWB00_002084.6, EWB00_002084.1, EWB00_002084.3, EWB00_002082.1, EWB00_002082.2, EWB00_002082.5, EWB00_002082.3, EWB00_002082.4	STRK1_45050.1, STRK1_45050.2
OG0004078	EWB00_003666	STRK1_67880.1
OG0004079	EWB00_011052	STRK1_75430.1, STRK1_75420.1
OG0004080	EWB00_000908	STRK1_62040.1
OG0004081	EWB00_002816.1, EWB00_002816.2, EWB00_002816.3	STRK1_37570.1
OG0004082	EWB00_001303.1, EWB00_001303.3, EWB00_001303.2	STRK1_33620.1, STRK1_33620.2
OG0004083	EWB00_000060.1, EWB00_000060.4, EWB00_000060.2, EWB00_000060.3	STRK1_13940.1
OG0004084	EWB00_008707, EWB00_008708	STRK1_12910.1
OG0004085	EWB00_009717, EWB00_001521, EWB00_010027	STRK1_21770.1, STRK1_21680.1, STRK1_21680.2, STRK1_21680.3, STRK1_103200.1, STRK1_103200.4, STRK1_103200.2, STRK1_103200.3, STRK1_109460.1, STRK1_107980.1, STRK1_111350.1, STRK1_111350.2, STRK1_109470.1, STRK1_109470.2
OG0004086	EWB00_008281.1, EWB00_008281.2	STRK1_42120.1, STRK1_42120.2
OG0004089	EWB00_005436.1, EWB00_005436.2	STRK1_2580.1
OG0004090	EWB00_001943	STRK1_97060.1, STRK1_86570.1
OG0004091	EWB00_001617.1, EWB00_001617.2	STRK1_67780.1
OG0004092	EWB00_008484.1, EWB00_008484.2	STRK1_1860.1
OG0004093	EWB00_001231	STRK1_73160.1, STRK1_73160.2
OG0004094	EWB00_001797.3, EWB00_001797.1, EWB00_001797.2	STRK1_40590.1
OG0004095	EWB00_000672	STRK1_13730.1
OG0004096	EWB00_008843	STRK1_12780.1
OG0004097	EWB00_011276	STRK1_58410.1, STRK1_58380.1, STRK1_58380.2
OG0004098	EWB00_010752	STRK1_51320.1, STRK1_51330.1, STRK1_98610.1, STRK1_99600.1, STRK1_99600.2, STRK1_98620.1
OG0004099	EWB00_003845.1, EWB00_003845.2	STRK1_100260.1, STRK1_100260.2, STRK1_1140.1
OG0004101	EWB00_004724.1, EWB00_004724.2	STRK1_39690.1
OG0004102	EWB00_004935	STRK1_82730.1
OG0004103	EWB00_009552.1, EWB00_009552.2	STRK1_28800.1, STRK1_28800.2
OG0004104	EWB00_004331	STRK1_31370.2, STRK1_31370.1, STRK1_31370.3, STRK1_31370.4
OG0004105	EWB00_005014	STRK1_25900.1
OG0004106	EWB00_011195	STRK1_106520.1, STRK1_90040.1
OG0004107	EWB00_003133.1, EWB00_003133.2, EWB00_003133.3, EWB00_003133.4, EWB00_003133.5	STRK1_14830.1, STRK1_14830.2, STRK1_14830.3
OG0004108	EWB00_003248.1, EWB00_003248.2	STRK1_41530.1
OG0004109	EWB00_007708	STRK1_33480.1
OG0004110	EWB00_010947.1, EWB00_010947.2	STRK1_75980.1, STRK1_75980.2, STRK1_75980.3
OG0004111	EWB00_009000	STRK1_70880.1
OG0004112	EWB00_000051, EWB00_000052.1, EWB00_000052.2, EWB00_000052.3	STRK1_13860.1, STRK1_13860.2
OG0004113	EWB00_007542	STRK1_21280.1
OG0004114	EWB00_006787	STRK1_47110.2, STRK1_47110.1, STRK1_43940.1, STRK1_97290.1
OG0004115	EWB00_004300	STRK1_31080.1, STRK1_31080.2
OG0004116	EWB00_004504	STRK1_81990.1
OG0004117	EWB00_009022	STRK1_16190.2, STRK1_16190.1, STRK1_16190.3
OG0004118	EWB00_002822	STRK1_37630.1
OG0004119	EWB00_000273.1, EWB00_000273.2	STRK1_100630.1, STRK1_100630.2, STRK1_100640.1
OG0004120	EWB00_002932.1, EWB00_002932.4, EWB00_002932.2, EWB00_002932.5	STRK1_34560.1
OG0004121	EWB00_006814.4, EWB00_006814.1, EWB00_006814.3, EWB00_006814.2	STRK1_46630.1
OG0004122	EWB00_008041	STRK1_26290.1, STRK1_26300.1, STRK1_26310.1
OG0004123	EWB00_003109.1, EWB00_003109.2	STRK1_14970.1, STRK1_14970.3, STRK1_14970.2, STRK1_14970.4
OG0004124	EWB00_000636	STRK1_36920.1
OG0004125	EWB00_009001	STRK1_70870.1
OG0004126	EWB00_002004.1, EWB00_002004.2, EWB00_002004.3	STRK1_73900.1
OG0004127	EWB00_005034.1, EWB00_005034.2, EWB00_005034.3, EWB00_005034.4	STRK1_104740.1, STRK1_104750.1
OG0004128	EWB00_000074	STRK1_14070.1
OG0004129	EWB00_010809	STRK1_45710.1
OG0004130	EWB00_002733	STRK1_69240.1
OG0004131	EWB00_002434	STRK1_20430.1
OG0004132	EWB00_010267, EWB00_003008	STRK1_83700.1, STRK1_83700.2
OG0004133	EWB00_005752	STRK1_20920.1
OG0004134	EWB00_003112, EWB00_003111	STRK1_14950.1
OG0004135	EWB00_001767.2, EWB00_001767.1, EWB00_001767.3, EWB00_001767.4, EWB00_001767.5	STRK1_27600.1
OG0004136	EWB00_005563	STRK1_55970.1
OG0004137	EWB00_006076.1, EWB00_006076.2	STRK1_29540.1
OG0004138	EWB00_010747.3, EWB00_010747.4, EWB00_010747.1, EWB00_010747.2	STRK1_51250.1
OG0004139	EWB00_002879.1, EWB00_002879.2	STRK1_29410.1
OG0004140	EWB00_010754.1, EWB00_010754.2	STRK1_51360.1
OG0004141	EWB00_005479.1, EWB00_005479.2	STRK1_2160.1, STRK1_2160.2
OG0004142	EWB00_000137.1, EWB00_000137.2, EWB00_000137.3	STRK1_79770.1
OG0004143	EWB00_008465	STRK1_9660.1
OG0004144	EWB00_009878	STRK1_61750.1
OG0004145	EWB00_007734.1, EWB00_007734.2, EWB00_007734.4, EWB00_007734.3	STRK1_59630.1, STRK1_99480.1
OG0004146	EWB00_002894	STRK1_29290.1
OG0004147	EWB00_005249.1, EWB00_005249.2	STRK1_54040.1
OG0004148	EWB00_004185, EWB00_004186.1, EWB00_004186.2	STRK1_4970.1
OG0004149	EWB00_007888	STRK1_17300.1
OG0004150	EWB00_000680, EWB00_000681	STRK1_13820.1
OG0004151	EWB00_003570	STRK1_54340.1, STRK1_54340.2
OG0004152	EWB00_002302.4, EWB00_002302.1, EWB00_002302.3, EWB00_002302.2	STRK1_11540.1, STRK1_11540.2, STRK1_11540.3, STRK1_11540.4
OG0004153	EWB00_008559	STRK1_21150.1
OG0004154	EWB00_007790.1, EWB00_007790.2, EWB00_007790.3	STRK1_7100.1, STRK1_7100.2, STRK1_7100.3, STRK1_7100.4
OG0004155	EWB00_008075	STRK1_50670.1, STRK1_103640.1, STRK1_103650.1
OG0004156	EWB00_003221	STRK1_56550.1, STRK1_56530.1, STRK1_56540.1, STRK1_56540.2
OG0004157	EWB00_002520.1, EWB00_002520.4, EWB00_002520.2, EWB00_002520.3	STRK1_18550.1, STRK1_18550.2, STRK1_18560.1
OG0004158	EWB00_001800.4	STRK1_40620.1
OG0004159	EWB00_006276.1, EWB00_006276.2	STRK1_65760.1, STRK1_65760.2, STRK1_65760.3
OG0004160	EWB00_008269.3, EWB00_008269.4, EWB00_008269.2, EWB00_008269.1	STRK1_6880.1, STRK1_6880.2, STRK1_6880.3
OG0004161	EWB00_010008.2, EWB00_010008.1, EWB00_010008.3	STRK1_8300.1, STRK1_8300.2, STRK1_8300.3, STRK1_8300.4, STRK1_8300.5
OG0004163	EWB00_011032, EWB00_011034	STRK1_75690.1
OG0004164	EWB00_004630	STRK1_5450.1, STRK1_5450.2
OG0004165	EWB00_003376	STRK1_35650.1
OG0004166	EWB00_006303.1, EWB00_006303.2	STRK1_15250.1, STRK1_15250.2
OG0004168	EWB00_008571	STRK1_89230.1
OG0004169	EWB00_010899.1, EWB00_010899.2, EWB00_010899.3, EWB00_010899.4	STRK1_32000.1
OG0004170	EWB00_007393.1, EWB00_007393.2	STRK1_72480.1, STRK1_72500.1
OG0004171	EWB00_004455.5, EWB00_004455.1, EWB00_004455.2, EWB00_004455.3, EWB00_004455.4	STRK1_110240.1, STRK1_110930.1
OG0004172	EWB00_004558.1, EWB00_004558.2	STRK1_74870.1, STRK1_99720.1
OG0004173	EWB00_000345.1, EWB00_000345.2	STRK1_26950.1
OG0004175	EWB00_004415	STRK1_54620.1, STRK1_54620.2
OG0004176	EWB00_004163.1, EWB00_004163.2	STRK1_13210.1
OG0004177	EWB00_008851.1, EWB00_008851.2, EWB00_008851.3, EWB00_008851.4	STRK1_86130.1
OG0004178	EWB00_005182.1, EWB00_005182.2	STRK1_55670.1
OG0004179	EWB00_002625	STRK1_94140.1
OG0004180	EWB00_009839.1, EWB00_009839.3, EWB00_009839.2	STRK1_64740.1
OG0004181	EWB00_009371	STRK1_5060.1
OG0004182	EWB00_010422	STRK1_63730.1
OG0004183	EWB00_001906	STRK1_86830.1
OG0004184	EWB00_008955.2, EWB00_008955.1, EWB00_008955.3	STRK1_7780.1, STRK1_7780.2
OG0004185	EWB00_008379	STRK1_53670.1, STRK1_53660.1, STRK1_53660.2
OG0004186	EWB00_004461, EWB00_004460	STRK1_87620.1
OG0004187	EWB00_000941.1, EWB00_000941.2	STRK1_62420.1, STRK1_62420.2
OG0004188	EWB00_000134.1, EWB00_000134.2	STRK1_79820.1
OG0004189	EWB00_002450	STRK1_14530.1
OG0004190	EWB00_002057.1, EWB00_002057.2, EWB00_002057.3	STRK1_94380.1, STRK1_94380.2, STRK1_94380.3
OG0004191	EWB00_007436.2, EWB00_007436.1	STRK1_91610.1
OG0004192	EWB00_006522	STRK1_13640.1
OG0004193	EWB00_007298	STRK1_81540.1
OG0004194	EWB00_001323	STRK1_27410.1, STRK1_27410.2
OG0004195	EWB00_006454	STRK1_4290.1
OG0004196	EWB00_001723.1, EWB00_001723.2	STRK1_34970.1
OG0004197	EWB00_010783	STRK1_20050.1
OG0004198	EWB00_001655.1, EWB00_001655.2	STRK1_82790.1
OG0004199	EWB00_000518	STRK1_57290.1
OG0004200	EWB00_003494	STRK1_90420.1, STRK1_90420.2
OG0004201	EWB00_008910	STRK1_58670.1
OG0004202	EWB00_006439	STRK1_19030.1
OG0004203	EWB00_010936	STRK1_75260.1
OG0004204	EWB00_004013	STRK1_65310.1
OG0004205	EWB00_004816.1, EWB00_004816.3, EWB00_004816.2	STRK1_2830.1
OG0004206	EWB00_001916	STRK1_86740.1
OG0004207	EWB00_011233, EWB00_008860	STRK1_56490.1
OG0004208	EWB00_006266	STRK1_65650.1
OG0004209	EWB00_006707	STRK1_86920.1
OG0004210	EWB00_000630.1, EWB00_000630.2, EWB00_000630.3	STRK1_36860.1
OG0004211	EWB00_003796	STRK1_55030.1
OG0004212	EWB00_005399	STRK1_47740.1, STRK1_47760.1, STRK1_47750.1, STRK1_99920.1
OG0004213	EWB00_000891	STRK1_53860.1
OG0004215	EWB00_008161.6, EWB00_008161.4, EWB00_008161.5, EWB00_008161.7, EWB00_008161.2, EWB00_008161.3, EWB00_008161.1	STRK1_35720.1
OG0004216	EWB00_007814.2	STRK1_38780.1
OG0004217	EWB00_000557	STRK1_91070.1
OG0004218	EWB00_007590	STRK1_17290.1
OG0004219	EWB00_007115, EWB00_007116	STRK1_64170.1
OG0004220	EWB00_009566.1, EWB00_009566.2, EWB00_009566.3	STRK1_6510.1
OG0004221	EWB00_008658	STRK1_45640.1, STRK1_45640.2
OG0004222	EWB00_007971	STRK1_57320.1, STRK1_57320.2
OG0004223	EWB00_001758.1, EWB00_001758.2, EWB00_001758.4, EWB00_001758.3	STRK1_35260.1, STRK1_35260.2
OG0004224	EWB00_007128.1, EWB00_007128.2	STRK1_64260.1, STRK1_64260.2
OG0004225	EWB00_010870	STRK1_52200.1
OG0004226	EWB00_002864	STRK1_95480.1, STRK1_95480.2, STRK1_95480.3, STRK1_95480.4
OG0004227	EWB00_002695.1, EWB00_002695.4, EWB00_002695.2, EWB00_002695.3, EWB00_002695.5	STRK1_8520.1
OG0004228	EWB00_003456, EWB00_003457	STRK1_106360.1, STRK1_55770.1
OG0004229	EWB00_000302.1, EWB00_000302.2	STRK1_22440.1
OG0004231	EWB00_009227.1, EWB00_009227.2	STRK1_71270.1
OG0004232	EWB00_008741.1, EWB00_008741.3, EWB00_008741.2	STRK1_50140.1
OG0004233	EWB00_002990.1, EWB00_002990.2	STRK1_49870.1, STRK1_49870.2, STRK1_49870.3, STRK1_49870.4
OG0004234	EWB00_010062.1, EWB00_010062.2	STRK1_67140.1, STRK1_67130.1
OG0004235	EWB00_005756	STRK1_20960.1
OG0004236	EWB00_007493.3, EWB00_007493.1, EWB00_007493.2	STRK1_77960.1
OG0004237	EWB00_008518	STRK1_19520.1, STRK1_89520.1
OG0004238	EWB00_000006, EWB00_000003.2, EWB00_000003.1, EWB00_000003.3	STRK1_72800.1, STRK1_72800.2
OG0004239	EWB00_001646.1, EWB00_001646.2	STRK1_16680.1
OG0004240	EWB00_003378	STRK1_35630.1
OG0004241	EWB00_011135	STRK1_60620.1
OG0004242	EWB00_007824	STRK1_54170.1
OG0004243	EWB00_003386	STRK1_35560.1
OG0004244	EWB00_000485	STRK1_57170.1, STRK1_57160.1
OG0004245	EWB00_002065	STRK1_88310.1
OG0004246	EWB00_002958, EWB00_006976	STRK1_24630.1
OG0004247	EWB00_009244.1, EWB00_009244.2	STRK1_5840.1
OG0004248	EWB00_002397.1, EWB00_002397.2	STRK1_20660.1
OG0004249	EWB00_000811.1, EWB00_000811.2	STRK1_9320.1, STRK1_9320.2, STRK1_9320.3, STRK1_9320.4
OG0004250	EWB00_000782.1, EWB00_000782.2	STRK1_105110.1
OG0004251	EWB00_005124	STRK1_53220.1, STRK1_53220.2, STRK1_53220.3
OG0004252	EWB00_003160.1, EWB00_003160.2	STRK1_33030.1
OG0004253	EWB00_011399	STRK1_101860.1
OG0004255	EWB00_006837	STRK1_36350.1
OG0004256	EWB00_004688	STRK1_8180.1
OG0004257	EWB00_010496	STRK1_62640.1, STRK1_62640.2
OG0004258	EWB00_005402	STRK1_47710.1, STRK1_47710.2
OG0004259	EWB00_008524.1, EWB00_008524.2	STRK1_19540.1
OG0004260	EWB00_006655.5, EWB00_006655.3, EWB00_006655.4, EWB00_006655.1, EWB00_006655.2	STRK1_90590.1
OG0004261	EWB00_006653, EWB00_006652	STRK1_107020.1
OG0004262	EWB00_001189.1, EWB00_001189.2	STRK1_71730.1
OG0004263	EWB00_010217	STRK1_91370.1, STRK1_91390.1, STRK1_91400.1
OG0004264	EWB00_002206.1, EWB00_002206.2	STRK1_54780.1
OG0004265	EWB00_005568	STRK1_56010.1
OG0004266	EWB00_009108	STRK1_75440.1
OG0004267	EWB00_004232	STRK1_23170.1, STRK1_23170.2, STRK1_23170.3
OG0004268	EWB00_006147.1, EWB00_006147.2	STRK1_37960.1
OG0004269	EWB00_009793	STRK1_64470.1
OG0004270	EWB00_004040.1, EWB00_004040.2, EWB00_004040.3	STRK1_102160.1
OG0004271	EWB00_007037	STRK1_80780.1, STRK1_80780.2
OG0004272	EWB00_004533	STRK1_71630.1
OG0004273	EWB00_009432, EWB00_009431	STRK1_96900.1, STRK1_84300.1
OG0004274	EWB00_006499	STRK1_51830.1
OG0004275	EWB00_000981	STRK1_42660.1
OG0004276	EWB00_002528	STRK1_18480.1
OG0004277	EWB00_002045	STRK1_3420.1
OG0004278	EWB00_003377	STRK1_35640.1
OG0004281	EWB00_007391.1, EWB00_007391.2	STRK1_72520.1, STRK1_72520.2, STRK1_72520.3
OG0004282	EWB00_004932	STRK1_82710.1
OG0004283	EWB00_003592	STRK1_94990.1, STRK1_94990.2, STRK1_80880.1, STRK1_80870.1, STRK1_80870.3, STRK1_80870.2
OG0004284	EWB00_005137.2, EWB00_005137.3, EWB00_005137.1, EWB00_005137.4	STRK1_53120.1
OG0004285	EWB00_010843	STRK1_101780.1, STRK1_101790.1
OG0004286	EWB00_008739	STRK1_50160.1, STRK1_50160.2, STRK1_50160.3
OG0004287	EWB00_000985.1, EWB00_000985.3, EWB00_000985.2	STRK1_42720.1
OG0004288	EWB00_003634	STRK1_43450.1
OG0004289	EWB00_002831	STRK1_95070.1, STRK1_95070.2
OG0004290	EWB00_011134.1, EWB00_011134.2	STRK1_60610.1
OG0004291	EWB00_004356.1, EWB00_004356.2	STRK1_28240.1
OG0004292	EWB00_004357.1, EWB00_004357.2, EWB00_004357.3, EWB00_004357.4	STRK1_28250.1, STRK1_28250.2, STRK1_28250.3
OG0004293	EWB00_008107	STRK1_71430.1
OG0004294	EWB00_007236	STRK1_45530.1
OG0004295	EWB00_009072.1, EWB00_009072.2, EWB00_009072.4, EWB00_009072.5, EWB00_009072.6, EWB00_009072.3, EWB00_009072.7, EWB00_009072.8	STRK1_16490.1
OG0004296	EWB00_004809	STRK1_2790.1, STRK1_55290.1
OG0004297	EWB00_008175.2, EWB00_008175.4, EWB00_008175.1, EWB00_008175.3	STRK1_35870.1
OG0004298	EWB00_011277	STRK1_58420.1
OG0004299	EWB00_004565.4, EWB00_004565.1, EWB00_004565.2, EWB00_004565.3	STRK1_74920.1, STRK1_74920.2
OG0004300	EWB00_002171.1, EWB00_002171.2	STRK1_48900.1
OG0004301	EWB00_000078.1, EWB00_009937.1, EWB00_000078.2, EWB00_009937.2	STRK1_14120.1
