Orthogroup	schistosoma_japonicum	schistosoma_turkestanicum
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	STRK1_101880.1
OG0000024	EWB00_008906	STRK1_58710.1
OG0000024	EWB00_001214	STRK1_78170.1
OG0000024	EWB00_003471	STRK1_78160.1
OG0000026	EWB00_002251.1, EWB00_002251.2	STRK1_76900.1, STRK1_76900.2
OG0000026	EWB00_002721, EWB00_002746	STRK1_69960.1, STRK1_69960.2
OG0000027	EWB00_003944	STRK1_38360.1, STRK1_105950.1
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	STRK1_68350.1
OG0000029	EWB00_008857	STRK1_108400.1
OG0000029	EWB00_007517	STRK1_85070.1
OG0000029	EWB00_002502.1	STRK1_18700.1
OG0000029	EWB00_002502.1	STRK1_18700.2
OG0000029	EWB00_002502.2	STRK1_18700.1
OG0000029	EWB00_002502.2	STRK1_18700.2
OG0000029	EWB00_002502.4	STRK1_18700.1
OG0000029	EWB00_002502.4	STRK1_18700.2
OG0000029	EWB00_004876	STRK1_87900.1, STRK1_87910.1, STRK1_87930.1
OG0000029	EWB00_004878	STRK1_87920.1
OG0000030	EWB00_003826	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3
OG0000032	EWB00_010258	STRK1_56770.1
OG0000032	EWB00_003338	STRK1_76860.1
OG0000034	EWB00_008584	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3
OG0000034	EWB00_008585	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1
OG0000034	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1
OG0000035	EWB00_002318	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1
OG0000036	EWB00_004262	STRK1_42430.1
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2
OG0000037	EWB00_006569	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5
OG0000042	EWB00_009261.1, EWB00_009261.2	STRK1_38240.1
OG0000042	EWB00_009262	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3
OG0000042	EWB00_004609	STRK1_38190.1
OG0000042	EWB00_004610, EWB00_009263	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1
OG0000043	EWB00_003370, EWB00_010871	STRK1_23860.1, STRK1_23860.2
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3	STRK1_83210.1, STRK1_83210.2
OG0000044	EWB00_011369.1, EWB00_011369.2	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1
OG0000048	EWB00_001580	STRK1_101920.1
OG0000049	EWB00_001608.1, EWB00_001608.2	STRK1_67640.1
OG0000049	EWB00_008098	STRK1_71350.1
OG0000050	EWB00_005371.1, EWB00_005371.2	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2
OG0000052	EWB00_003293	STRK1_27330.1
OG0000052	EWB00_007330	STRK1_16800.1
OG0000052	EWB00_005671	STRK1_440.1
OG0000052	EWB00_003847	STRK1_1120.1, STRK1_97400.1
OG0000052	EWB00_009848	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1
OG0000053	EWB00_005460.2, EWB00_005460.1	STRK1_2330.1
OG0000054	EWB00_001816, EWB00_010264, EWB00_001115, EWB00_004986, EWB00_002744, EWB00_009767	STRK1_94850.1, STRK1_78190.1
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	STRK1_66850.1
OG0000058	EWB00_001871	STRK1_86390.1
OG0000058	EWB00_003488.1, EWB00_003488.2	STRK1_77870.1
OG0000058	EWB00_003491	STRK1_77680.1
OG0000060	EWB00_010498.1, EWB00_010498.2	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2
OG0000062	EWB00_008458	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1
OG0000065	EWB00_000537	STRK1_21210.1
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	STRK1_27970.1, STRK1_27970.2
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	STRK1_100830.1, STRK1_61070.1, STRK1_61070.2, STRK1_100070.1
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	STRK1_51720.1
OG0000068	EWB00_000572	STRK1_90930.1
OG0000068	EWB00_004327	STRK1_31350.1
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	STRK1_27380.1
OG0000069	EWB00_002487	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1
OG0000071	EWB00_001786	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2
OG0000072	EWB00_001684	STRK1_86450.1
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3
OG0000074	EWB00_007721.1	STRK1_720.1
OG0000074	EWB00_007512.1	STRK1_88120.1
OG0000074	EWB00_004196.6	STRK1_10690.2, STRK1_10690.1
OG0000075	EWB00_001749	STRK1_35140.1, STRK1_35140.2
OG0000076	EWB00_000338, EWB00_000339	STRK1_85230.1, STRK1_85230.2
OG0000076	EWB00_009041	STRK1_16320.1, STRK1_16320.2
OG0000077	EWB00_004677	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	STRK1_29350.1, STRK1_29350.2
OG0000079	EWB00_006494.1, EWB00_006494.2	STRK1_51780.1, STRK1_51780.2
OG0000080	EWB00_004899.1, EWB00_004899.2	STRK1_39780.1
OG0000082	EWB00_009477	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	STRK1_31220.1, STRK1_31220.2
OG0000086	EWB00_004530	STRK1_71670.1, STRK1_71670.2
OG0000087	EWB00_010661	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4
OG0000088	EWB00_007313	STRK1_17030.1
OG0000088	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	STRK1_17040.1, STRK1_17040.2
OG0000090	EWB00_005364	STRK1_49250.1
OG0000091	EWB00_010764.1, EWB00_010764.2	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5
OG0000092	EWB00_007194.1, EWB00_007194.2	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	STRK1_8500.1, STRK1_8500.2
OG0000093	EWB00_003936	STRK1_38460.1
OG0000094	EWB00_009097.1, EWB00_009097.2	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	STRK1_60680.1
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
