Orthogroup	schistosoma_haematobium	schistosoma_margrebowiei
OG0000035	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3	SMRG1_14450.1, SMRG1_14450.4, SMRG1_14450.6, SMRG1_14450.2, SMRG1_14450.3, SMRG1_14450.5
OG0000036	SHAE2_93220.1, SHAE2_34210.1, SHAE2_24910.1, SHAE2_24910.2, SHAE2_95420.1	SMRG1_7990.1, SMRG1_53020.1, SMRG1_3370.1, SMRG1_15860.1, SMRG1_22870.1, SMRG1_22870.2, SMRG1_85620.1, SMRG1_49470.2, SMRG1_49020.1, SMRG1_49030.1, SMRG1_13610.1, SMRG1_93510.1, SMRG1_93510.2, SMRG1_33810.1, SMRG1_2120.1, SMRG1_2120.2, SMRG1_20420.1, SMRG1_79710.1
OG0000037	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3	SMRG1_60880.1, SMRG1_60880.2, SMRG1_60880.3, SMRG1_61020.1, SMRG1_61020.2, SMRG1_61020.3, SMRG1_61020.4
OG0000037	SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2	SMRG1_60870.4, SMRG1_60870.2, SMRG1_60870.3, SMRG1_60870.1, SMRG1_60860.1, SMRG1_60860.2, SMRG1_60860.4, SMRG1_60860.3, SMRG1_60860.5, SMRG1_60860.6
OG0000038	SHAE2_63020.1, SHAE2_50220.1	SMRG1_79170.1
OG0000038	SHAE2_59300.1	SMRG1_72890.1
OG0000038	SHAE2_71210.1	SMRG1_34740.11
OG0000040	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19	SMRG1_52720.10, SMRG1_52720.6, SMRG1_52720.11, SMRG1_52720.9
OG0000040	SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15	SMRG1_52720.1
OG0000040	SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23	SMRG1_52720.12, SMRG1_52720.3, SMRG1_52720.4
OG0000040	SHAE2_55390.1, SHAE2_55400.26	SMRG1_52720.13, SMRG1_52720.2, SMRG1_52720.7, SMRG1_52720.14, SMRG1_52710.1, SMRG1_52720.5, SMRG1_52720.8
OG0000041	SHAE2_5580.1, SHAE2_5580.2, SHAE2_19620.2, SHAE2_19620.3	SMRG1_41350.1, SMRG1_49530.1
OG0000042	SHAE2_42810.2, SHAE2_42810.1	SMRG1_40000.1, SMRG1_40000.2
OG0000042	SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1	SMRG1_39990.2, SMRG1_39990.1, SMRG1_39990.3
OG0000042	SHAE2_42750.1	SMRG1_39890.1, SMRG1_39890.2
OG0000042	SHAE2_42760.2, SHAE2_42780.1	SMRG1_39900.1, SMRG1_39910.1, SMRG1_39920.1, SMRG1_39940.1, SMRG1_39950.1, SMRG1_39960.1
OG0000042	SHAE2_42780.2, SHAE2_42760.1	SMRG1_39950.2, SMRG1_39950.3, SMRG1_39980.1
OG0000043	SHAE2_29990.20, SHAE2_29990.6, SHAE2_29990.22, SHAE2_29990.3, SHAE2_29990.4, SHAE2_29990.13, SHAE2_29990.9, SHAE2_29990.14, SHAE2_29990.19, SHAE2_29990.7, SHAE2_29990.11, SHAE2_29990.12, SHAE2_29990.18, SHAE2_29990.5, SHAE2_29990.8, SHAE2_29990.2, SHAE2_29990.16, SHAE2_29990.1, SHAE2_29990.15, SHAE2_29990.10, SHAE2_29990.17, SHAE2_29990.21	SMRG1_27860.12, SMRG1_27860.9, SMRG1_27860.8, SMRG1_27860.11, SMRG1_27860.15, SMRG1_27860.3, SMRG1_27860.14, SMRG1_27860.2, SMRG1_27860.16, SMRG1_27860.6, SMRG1_27860.10, SMRG1_27860.17, SMRG1_27860.4, SMRG1_27860.5, SMRG1_27860.7, SMRG1_27860.1, SMRG1_27860.13, SMRG1_27860.18
OG0000044	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3	SMRG1_86830.1, SMRG1_86830.2, SMRG1_86830.3, SMRG1_86840.1, SMRG1_86840.4, SMRG1_86840.2, SMRG1_86840.3
OG0000044	SHAE2_91220.1	SMRG1_86910.1, SMRG1_86950.1, SMRG1_86950.2
OG0000044	SHAE2_91240.1, SHAE2_91240.2	SMRG1_86970.1
OG0000044	SHAE2_91250.1, SHAE2_91250.2	SMRG1_86980.1
OG0000045	SHAE2_12380.1	SMRG1_10160.1, SMRG1_10160.5, SMRG1_10160.7, SMRG1_10160.2, SMRG1_10160.4
OG0000045	SHAE2_93110.1	SMRG1_93120.2, SMRG1_93120.3, SMRG1_93120.4, SMRG1_39630.14, SMRG1_39630.5, SMRG1_39630.8, SMRG1_39630.1, SMRG1_39630.10, SMRG1_39630.11, SMRG1_39630.2, SMRG1_39630.3, SMRG1_39630.4, SMRG1_39630.7, SMRG1_39630.9, SMRG1_39630.13, SMRG1_39630.12, SMRG1_39630.6, SMRG1_93120.1
OG0000045	SHAE2_39290.26, SHAE2_39290.15, SHAE2_39290.21, SHAE2_39290.5, SHAE2_39290.2, SHAE2_39290.19, SHAE2_39290.33, SHAE2_39290.34, SHAE2_39290.18, SHAE2_39290.30, SHAE2_39290.3, SHAE2_39290.9, SHAE2_39290.22, SHAE2_39290.13, SHAE2_39290.24, SHAE2_39290.8, SHAE2_39290.4, SHAE2_39290.16, SHAE2_39290.17, SHAE2_39290.25, SHAE2_39290.28, SHAE2_39290.32, SHAE2_39290.6, SHAE2_39290.10, SHAE2_39290.1, SHAE2_39290.11, SHAE2_39290.12, SHAE2_39290.14, SHAE2_39290.20, SHAE2_39290.27, SHAE2_39290.29, SHAE2_39290.31, SHAE2_39290.7, SHAE2_39290.23	SMRG1_36470.6, SMRG1_36470.5, SMRG1_36470.1, SMRG1_36470.2, SMRG1_36470.4, SMRG1_36470.3
OG0000046	SHAE2_34200.2, SHAE2_34200.1	SMRG1_9580.1, SMRG1_70990.6, SMRG1_70990.10, SMRG1_70990.12, SMRG1_70990.14, SMRG1_70990.13, SMRG1_70990.8, SMRG1_70990.11, SMRG1_70990.3, SMRG1_70990.4, SMRG1_70990.1, SMRG1_70990.2
OG0000047	SHAE2_100590.1	SMRG1_60690.1, SMRG1_6040.1
OG0000048	SHAE2_73940.1	SMRG1_22670.1
OG0000048	SHAE2_48850.1, SHAE2_48840.1, SHAE2_48870.1	SMRG1_47240.1, SMRG1_47250.1
OG0000048	SHAE2_90060.1	SMRG1_86460.1, SMRG1_81960.1, SMRG1_81980.1
OG0000048	SHAE2_85670.1, SHAE2_100460.1, SHAE2_100460.2	SMRG1_22510.1
OG0000049	SHAE2_74260.1	SMRG1_70520.1, SMRG1_70520.2, SMRG1_70520.3
OG0000049	SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7	SMRG1_70520.4, SMRG1_70520.5, SMRG1_70520.7, SMRG1_70520.6, SMRG1_70520.8
