Orthogroup	fasciola_hepatica	schistosoma_mansoni
OG0000142	FhHiC23_g15368.t1, FhHiC23_g15368.t2, FhHiC23_g11124.t1, FhHiC23_g15370.t1, FhHiC23_g15371.t1, FhHiC23_g15362.t2, FhHiC23_g15362.t1, FhHiC23_g15363.t1, FhHiC23_g15366.t1, FhHiC23_g15365.t1, FhHiC23_g11989.t1, FhHiC23_g15549.t1, FhHiC23_g15251.t1	Smp_139680.1, Smp_120070.1, Smp_203950.1, Smp_309700.1, Smp_306970.1, Smp_032370.1, Smp_306960.1
OG0000143	FhHiC23_g7696.t1, FhHiC23_g7697.t1	Smp_202190.1, Smp_301550.1, Smp_326730.1
OG0000144	FhHiC23_g1990.t1, FhHiC23_g1991.t1, FhHiC23_g1991.t2	Smp_034190.1
OG0000144	FhHiC23_g4712.t2, FhHiC23_g4712.t1	Smp_097660.1
OG0000145	FhHiC23_g6031.t1	Smp_110280.1, Smp_110280.2
OG0000146	FhHiC23_g8653.t1	Smp_016630.1
OG0000146	FhHiC23_g3017.t1	Smp_246100.1
OG0000146	FhHiC23_g4902.t1	Smp_020080.1
OG0000146	FhHiC23_g2238.t1	Smp_016250.1
OG0000147	FhHiC23_g4780.t1	Smp_019170.1
OG0000148	FhHiC23_g5498.t1	Smp_346640.1
OG0000149	FhHiC23_g720.t1	Smp_123410.1
OG0000151	FhHiC23_g7923.t1, FhHiC23_g7924.t1	Smp_167920.1
OG0000152	FhHiC23_g11170.t1	Smp_078310.1
OG0000153	FhHiC23_g1476.t1, FhHiC23_g1472.t1, FhHiC23_g1472.t2	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1
OG0000154	FhHiC23_g3121.t1, FhHiC23_g3120.t1, FhHiC23_g3119.t1, FhHiC23_g11005.t1, FhHiC23_g3122.t1	Smp_333260.1
OG0000155	FhHiC23_g14798.t5, FhHiC23_g14798.t1, FhHiC23_g14798.t3, FhHiC23_g14798.t2, FhHiC23_g14798.t4	Smp_302040.1, Smp_302040.2, Smp_302040.3
OG0000156	FhHiC23_g15553.t1	Smp_143840.1
OG0000156	FhHiC23_g15566.t2, FhHiC23_g15566.t1, FhHiC23_g15566.t3, FhHiC23_g15050.t1	Smp_039750.3, Smp_039750.1, Smp_039750.2
OG0000157	FhHiC23_g8049.t2, FhHiC23_g8049.t1	Smp_212410.1, Smp_212410.2
OG0000157	FhHiC23_g14186.t1	Smp_332710.1
OG0000157	FhHiC23_g9140.t1, FhHiC23_g9140.t2	Smp_153100.1
OG0000158	FhHiC23_g13141.t1, FhHiC23_g13141.t2	Smp_068960.1, Smp_159520.1
OG0000159	FhHiC23_g7585.t1	Smp_129520.1
OG0000160	FhHiC23_g11475.t1	Smp_136550.1
OG0000162	FhHiC23_g16595.t1	Smp_137100.1
OG0000164	FhHiC23_g8533.t1	Smp_179910.1
OG0000164	FhHiC23_g1084.t1	Smp_062510.1
OG0000164	FhHiC23_g5363.t1, FhHiC23_g5363.t2	Smp_071250.1
OG0000165	FhHiC23_g7386.t1, FhHiC23_g7386.t2	Smp_002820.1
OG0000166	FhHiC23_g4357.t1, FhHiC23_g4436.t1	Smp_173060.1
OG0000167	FhHiC23_g1665.t1, FhHiC23_g1665.t2, FhHiC23_g1665.t3, FhHiC23_g1665.t4	Smp_042550.1, Smp_042550.2
OG0000169	FhHiC23_g14278.t1	Smp_041460.1, Smp_155310.1
OG0000169	FhHiC23_g10077.t1, FhHiC23_g10076.t1	Smp_140000.1
OG0000170	FhHiC23_g1333.t1	Smp_343440.1
OG0000172	FhHiC23_g11485.t1, FhHiC23_g11485.t4, FhHiC23_g11485.t5, FhHiC23_g11485.t3, FhHiC23_g11485.t2	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3
OG0000173	FhHiC23_g3805.t1, FhHiC23_g3804.t1	Smp_344580.1
OG0000175	FhHiC23_g4838.t1, FhHiC23_g4840.t1, FhHiC23_g4840.t2, FhHiC23_g4841.t2, FhHiC23_g4841.t1, FhHiC23_g4843.t1, FhHiC23_g4844.t1, FhHiC23_g4846.t1	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1
OG0000177	FhHiC23_g7294.t2, FhHiC23_g7294.t1, FhHiC23_g7294.t6, FhHiC23_g7294.t3, FhHiC23_g7294.t4, FhHiC23_g7294.t5	Smp_333480.1, Smp_333480.2
OG0000178	FhHiC23_g9978.t4, FhHiC23_g9978.t3, FhHiC23_g9978.t2, FhHiC23_g9978.t1	Smp_150750.1
OG0000179	FhHiC23_g1759.t1, FhHiC23_g2123.t1	Smp_134080.1, Smp_246010.1
OG0000180	FhHiC23_g4225.t1	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1
OG0000182	FhHiC23_g8157.t2, FhHiC23_g8157.t1	Smp_159990.1
OG0000182	FhHiC23_g5700.t2, FhHiC23_g5700.t1, FhHiC23_g5700.t3	Smp_020270.1, Smp_020270.2
OG0000183	FhHiC23_g5440.t1, FhHiC23_g5440.t2	Smp_152870.1
OG0000184	FhHiC23_g551.t1	Smp_167750.1
OG0000184	FhHiC23_g552.t1	Smp_004220.1
OG0000185	FhHiC23_g5939.t1, FhHiC23_g5938.t1	Smp_057120.1, Smp_057120.2
OG0000186	FhHiC23_g2328.t1, FhHiC23_g2327.t1	Smp_334080.1
OG0000187	FhHiC23_g11066.t1, FhHiC23_g440.t1, FhHiC23_g440.t2	Smp_014670.1
OG0000188	FhHiC23_g5387.t1	Smp_125770.1
OG0000189	FhHiC23_g11311.t1, FhHiC23_g11311.t2	Smp_347670.1
OG0000190	FhHiC23_g2208.t1, FhHiC23_g2208.t2	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3
OG0000191	FhHiC23_g14871.t1, FhHiC23_g4941.t1, FhHiC23_g4940.t1, FhHiC23_g4937.t1, FhHiC23_g4938.t1, FhHiC23_g14042.t1	Smp_154670.1, Smp_187360.1, Smp_154680.1
OG0000192	FhHiC23_g8375.t1, FhHiC23_g8375.t3, FhHiC23_g8375.t2	Smp_009990.1
OG0000194	FhHiC23_g2835.t1, FhHiC23_g2835.t2	Smp_145190.1, Smp_145190.2
OG0000195	FhHiC23_g1825.t1	Smp_089930.1
OG0000196	FhHiC23_g13335.t1, FhHiC23_g15952.t1	Smp_051090.1
OG0000196	FhHiC23_g11302.t1	Smp_337400.1, Smp_337400.3
OG0000198	FhHiC23_g11938.t1	Smp_058690.1, Smp_058700.1
OG0000199	FhHiC23_g6386.t1	Smp_033950.1
OG0000201	FhHiC23_g6359.t2, FhHiC23_g6359.t1, FhHiC23_g6359.t3, FhHiC23_g6359.t4	Smp_158560.1, Smp_158560.2
OG0000202	FhHiC23_g4745.t1	Smp_129710.1
OG0000203	FhHiC23_g7725.t1, FhHiC23_g4169.t1, FhHiC23_g7724.t1, FhHiC23_g4169.t2	Smp_168040.1
OG0000205	FhHiC23_g10668.t2, FhHiC23_g10668.t3, FhHiC23_g10668.t1	Smp_129770.1, Smp_129770.2
OG0000206	FhHiC23_g6357.t4	Smp_031920.1
OG0000207	FhHiC23_g5475.t1, FhHiC23_g5478.t1, FhHiC23_g5477.t1, FhHiC23_g5930.t1, FhHiC23_g5929.t1, FhHiC23_g5928.t1, FhHiC23_g5931.t1	Smp_137320.1, Smp_319310.1, Smp_319310.2, Smp_137310.1, Smp_178420.1, Smp_137300.1, Smp_027940.1
OG0000208	FhHiC23_g2420.t2, FhHiC23_g2420.t1, FhHiC23_g2420.t3	Smp_312880.1
OG0000209	FhHiC23_g12702.t2, FhHiC23_g12702.t1	Smp_214240.1, Smp_128390.1
OG0000210	FhHiC23_g3612.t1, FhHiC23_g3613.t3, FhHiC23_g3613.t1, FhHiC23_g3613.t2	Smp_143690.1, Smp_143690.2
OG0000211	FhHiC23_g10758.t1, FhHiC23_g10758.t2	Smp_033050.1
OG0000212	FhHiC23_g10468.t1	Smp_123940.1
OG0000213	FhHiC23_g11275.t2, FhHiC23_g11275.t1	Smp_333170.1
OG0000214	FhHiC23_g12464.t1	Smp_134410.1, Smp_134410.3
OG0000217	FhHiC23_g16420.t1, FhHiC23_g6181.t2, FhHiC23_g6181.t1, FhHiC23_g6181.t4, FhHiC23_g6181.t3	Smp_343380.1
OG0000218	FhHiC23_g10938.t1	Smp_244280.1
OG0000219	FhHiC23_g7095.t1, FhHiC23_g7095.t2	Smp_162080.1
OG0000220	FhHiC23_g408.t1, FhHiC23_g408.t4, FhHiC23_g408.t3, FhHiC23_g408.t2	Smp_329410.1, Smp_126840.1
OG0000221	FhHiC23_g11237.t1, FhHiC23_g11237.t2	Smp_165820.1
OG0000221	FhHiC23_g13193.t1, FhHiC23_g13193.t2	Smp_153140.1
OG0000222	FhHiC23_g13191.t1, FhHiC23_g14315.t1, FhHiC23_g2592.t1, FhHiC23_g2592.t2	Smp_313450.1
OG0000223	FhHiC23_g11673.t1, FhHiC23_g11673.t2	Smp_159100.1
OG0000224	FhHiC23_g13567.t1, FhHiC23_g13567.t2	Smp_153770.1
OG0000225	FhHiC23_g12647.t2, FhHiC23_g12647.t1, FhHiC23_g12647.t3	Smp_017730.1
OG0000226	FhHiC23_g6531.t1	Smp_124820.1
OG0000227	FhHiC23_g7842.t1	Smp_122680.1
OG0000228	FhHiC23_g14649.t2, FhHiC23_g14649.t3, FhHiC23_g14649.t4, FhHiC23_g14649.t1	Smp_104030.1
OG0000229	FhHiC23_g7934.t1, FhHiC23_g7934.t2, FhHiC23_g7934.t3	Smp_307880.1
OG0000230	FhHiC23_g7263.t1	Smp_308600.1, Smp_308590.1
OG0000234	FhHiC23_g14737.t2, FhHiC23_g14737.t3	Smp_337850.1
OG0000235	FhHiC23_g13724.t4, FhHiC23_g13724.t1, FhHiC23_g13724.t2, FhHiC23_g13724.t3	Smp_342880.1, Smp_342880.2
OG0000236	FhHiC23_g99.t1	Smp_147620.1
OG0000237	FhHiC23_g1247.t1, FhHiC23_g1247.t2	Smp_130030.1
OG0000238	FhHiC23_g5162.t2, FhHiC23_g5162.t1, FhHiC23_g5162.t3	Smp_158450.1
OG0000239	FhHiC23_g9956.t1, FhHiC23_g9956.t2, FhHiC23_g10452.t1, FhHiC23_g10444.t1, FhHiC23_g4496.t1, FhHiC23_g10424.t1, FhHiC23_g10448.t1, FhHiC23_g10453.t1, FhHiC23_g10453.t2	Smp_163610.1, Smp_336250.1
OG0000240	FhHiC23_g4686.t1	Smp_168370.2, Smp_168370.1
OG0000241	FhHiC23_g11654.t2, FhHiC23_g11654.t1	Smp_244950.1, Smp_244960.1
OG0000241	FhHiC23_g9749.t1, FhHiC23_g9749.t2	Smp_171030.1
OG0000242	FhHiC23_g13438.t1	Smp_346520.1
OG0000243	FhHiC23_g12307.t1	Smp_246870.1
OG0000244	FhHiC23_g12089.t3, FhHiC23_g12089.t1, FhHiC23_g12089.t2	Smp_125550.1
OG0000245	FhHiC23_g11378.t1, FhHiC23_g11378.t3, FhHiC23_g11378.t2	Smp_315810.1, Smp_315810.2
OG0000246	FhHiC23_g3827.t2, FhHiC23_g3827.t1	Smp_334490.1
OG0000247	FhHiC23_g13506.t1, FhHiC23_g13506.t2	Smp_340410.1
OG0000248	FhHiC23_g6905.t1	Smp_023360.1
OG0000249	FhHiC23_g15028.t1, FhHiC23_g15376.t1	Smp_340960.1
OG0000250	FhHiC23_g4773.t1, FhHiC23_g4773.t2	Smp_049380.1
