Orthogroup	fasciola_hepatica	schistosoma_mansoni
OG0002942	FhHiC23_g3045.t1	Smp_108610.1, Smp_177780.1
OG0002943	FhHiC23_g3043.t1	Smp_130900.1
OG0002944	FhHiC23_g11914.t1	Smp_167800.1
OG0002945	FhHiC23_g2876.t1	Smp_343760.1, Smp_343760.2
OG0002946	FhHiC23_g10625.t1, FhHiC23_g11192.t1, FhHiC23_g14924.t1, FhHiC23_g11571.t1, FhHiC23_g11571.t2	Smp_014080.1
OG0002947	FhHiC23_g16445.t3, FhHiC23_g16445.t1, FhHiC23_g16445.t2	Smp_141540.1
OG0002948	FhHiC23_g7907.t1, FhHiC23_g7907.t2	Smp_137840.1, Smp_137840.2
OG0002949	FhHiC23_g6272.t1, FhHiC23_g6272.t2	Smp_150360.1
OG0002950	FhHiC23_g1361.t1	Smp_242680.1
OG0002951	FhHiC23_g5346.t1	Smp_092780.1
OG0002952	FhHiC23_g752.t1, FhHiC23_g752.t2	Smp_213350.1, Smp_213340.1
OG0002953	FhHiC23_g12035.t1	Smp_137530.1
OG0002954	FhHiC23_g7064.t1, FhHiC23_g7064.t2	Smp_166820.1
OG0002955	FhHiC23_g2790.t1, FhHiC23_g2789.t1	Smp_009150.1
OG0002956	FhHiC23_g9232.t2, FhHiC23_g9232.t1	Smp_343720.1
OG0002957	FhHiC23_g167.t1	Smp_150640.1
OG0002958	FhHiC23_g7660.t1	Smp_333590.1
OG0002959	FhHiC23_g16027.t1	Smp_002160.1
OG0002960	FhHiC23_g1007.t1, FhHiC23_g1007.t2	Smp_089880.1
OG0002961	FhHiC23_g15700.t1, FhHiC23_g15700.t2	Smp_342070.1
OG0002962	FhHiC23_g7360.t1	Smp_029850.1
OG0002963	FhHiC23_g13460.t1, FhHiC23_g13459.t1	Smp_163320.1
OG0002964	FhHiC23_g10160.t2, FhHiC23_g10160.t1	Smp_124100.1
OG0002965	FhHiC23_g1611.t1	Smp_198290.1
OG0002966	FhHiC23_g14418.t1, FhHiC23_g14418.t2	Smp_168890.1
OG0002967	FhHiC23_g7903.t1	Smp_335830.1
OG0002968	FhHiC23_g11770.t2, FhHiC23_g11770.t1	Smp_335760.1, Smp_335760.2, Smp_179740.1
OG0002969	FhHiC23_g528.t1	Smp_048980.1
OG0002970	FhHiC23_g10995.t1	Smp_241960.1
OG0002971	FhHiC23_g6854.t1	Smp_243720.1
OG0002972	FhHiC23_g7678.t1	Smp_346320.1
OG0002973	FhHiC23_g1606.t1	Smp_333810.1
OG0002974	FhHiC23_g5575.t1, FhHiC23_g5575.t2	Smp_342250.1, Smp_342250.2
OG0002975	FhHiC23_g14863.t1	Smp_141650.1
OG0002976	FhHiC23_g7635.t1, FhHiC23_g7636.t1	Smp_052390.1
OG0002979	FhHiC23_g15224.t1	Smp_333370.1
OG0002980	FhHiC23_g6345.t1	Smp_342750.1
OG0002981	FhHiC23_g2590.t1, FhHiC23_g2589.t1	Smp_334230.1
OG0002982	FhHiC23_g385.t1, FhHiC23_g385.t2	Smp_096900.1
OG0002983	FhHiC23_g9279.t1, FhHiC23_g9279.t2	Smp_124350.2, Smp_124350.1, Smp_124350.3
OG0002984	FhHiC23_g10978.t1	Smp_210890.1
OG0002985	FhHiC23_g12581.t1	Smp_245420.1
OG0002986	FhHiC23_g11945.t1, FhHiC23_g11945.t2, FhHiC23_g11945.t3, FhHiC23_g11951.t1	Smp_347630.1
OG0002988	FhHiC23_g9926.t1	Smp_207020.1
OG0002989	FhHiC23_g1397.t1	Smp_147230.1
OG0002990	FhHiC23_g3880.t1	Smp_158970.1
OG0002991	FhHiC23_g15828.t1	Smp_034120.1
OG0002992	FhHiC23_g3366.t1	Smp_153840.1
OG0002993	FhHiC23_g3621.t1, FhHiC23_g3920.t1, FhHiC23_g3920.t2, FhHiC23_g3920.t3	Smp_334570.1
OG0002994	FhHiC23_g15593.t1, FhHiC23_g15593.t2	Smp_151140.1
OG0002995	FhHiC23_g4350.t2, FhHiC23_g4350.t1	Smp_149460.1
OG0002996	FhHiC23_g12190.t1	Smp_045930.1
OG0002997	FhHiC23_g5621.t1, FhHiC23_g5621.t2	Smp_083020.1
OG0002998	FhHiC23_g14661.t1, FhHiC23_g14661.t2, FhHiC23_g14661.t3	Smp_044060.1
OG0002999	FhHiC23_g8023.t1	Smp_029160.1
OG0003000	FhHiC23_g10461.t1	Smp_069380.1
OG0003001	FhHiC23_g9472.t1	Smp_159750.1
OG0003002	FhHiC23_g11344.t1	Smp_066200.1
OG0003003	FhHiC23_g9354.t1	Smp_010940.1
OG0003004	FhHiC23_g3128.t1	Smp_042770.1
OG0003005	FhHiC23_g63.t2, FhHiC23_g63.t1, FhHiC23_g63.t4, FhHiC23_g63.t3	Smp_044800.1
OG0003006	FhHiC23_g3666.t1	Smp_133450.1
OG0003007	FhHiC23_g8319.t1	Smp_018790.1
OG0003008	FhHiC23_g5423.t1	Smp_140560.1
OG0003009	FhHiC23_g11072.t1	Smp_146140.1
OG0003010	FhHiC23_g3074.t1, FhHiC23_g3077.t1, FhHiC23_g3078.t1	Smp_008610.1
OG0003011	FhHiC23_g5361.t1, FhHiC23_g5362.t1	Smp_160830.1
OG0003012	FhHiC23_g7680.t2, FhHiC23_g7680.t1, FhHiC23_g7680.t3	Smp_075110.1
OG0003013	FhHiC23_g2949.t3, FhHiC23_g2949.t1, FhHiC23_g2949.t2	Smp_130840.1
OG0003014	FhHiC23_g4276.t1	Smp_343600.1
OG0003015	FhHiC23_g6210.t1, FhHiC23_g6210.t2	Smp_161560.1
OG0003016	FhHiC23_g336.t1	Smp_043350.1
OG0003017	FhHiC23_g3198.t1	Smp_066620.1
OG0003018	FhHiC23_g9189.t2, FhHiC23_g9189.t1	Smp_144740.1
OG0003019	FhHiC23_g465.t1	Smp_135510.1
OG0003020	FhHiC23_g4979.t1, FhHiC23_g4979.t2	Smp_133250.1
OG0003021	FhHiC23_g3494.t1, FhHiC23_g3494.t2, FhHiC23_g3494.t3	Smp_267320.1
OG0003022	FhHiC23_g10203.t1	Smp_342020.1
OG0003023	FhHiC23_g3863.t2, FhHiC23_g3863.t1	Smp_143390.1
OG0003024	FhHiC23_g895.t2, FhHiC23_g895.t1	Smp_042210.1
OG0003025	FhHiC23_g14779.t1	Smp_196230.1
OG0003026	FhHiC23_g6591.t1	Smp_126080.1
OG0003027	FhHiC23_g11790.t1	Smp_314290.1
OG0003028	FhHiC23_g11659.t1, FhHiC23_g11659.t2	Smp_333050.1
OG0003029	FhHiC23_g3552.t1	Smp_026190.1
OG0003030	FhHiC23_g10622.t1, FhHiC23_g10622.t2	Smp_163110.1
OG0003031	FhHiC23_g2342.t1, FhHiC23_g6847.t1	Smp_040720.1
OG0003032	FhHiC23_g7528.t1	Smp_346670.1
OG0003033	FhHiC23_g1856.t1	Smp_133700.1
OG0003034	FhHiC23_g3628.t1	Smp_345690.1
OG0003036	FhHiC23_g4272.t1	Smp_129250.1
OG0003037	FhHiC23_g2547.t1	Smp_050540.1
OG0003038	FhHiC23_g12488.t1, FhHiC23_g2051.t3, FhHiC23_g2051.t4, FhHiC23_g2052.t1, FhHiC23_g2051.t1, FhHiC23_g2051.t2	Smp_129990.1
OG0003039	FhHiC23_g2084.t1	Smp_131620.1
OG0003040	FhHiC23_g6356.t1	Smp_024500.1
OG0003041	FhHiC23_g5007.t1, FhHiC23_g5007.t2	Smp_152740.1
OG0003042	FhHiC23_g3426.t1, FhHiC23_g14349.t2, FhHiC23_g14349.t1	Smp_196040.1
OG0003043	FhHiC23_g196.t1	Smp_146080.1
OG0003044	FhHiC23_g12704.t1	Smp_093820.1
OG0003045	FhHiC23_g2190.t1	Smp_082710.1
OG0003046	FhHiC23_g2191.t1	Smp_345700.1
OG0003047	FhHiC23_g11034.t1	Smp_025150.1, Smp_025150.2
OG0003048	FhHiC23_g3062.t1	Smp_303430.1, Smp_327500.1, Smp_331990.1, Smp_327400.1
OG0003049	FhHiC23_g3061.t1, FhHiC23_g3061.t2	Smp_327530.1, Smp_122820.1
OG0003050	FhHiC23_g2797.t1	Smp_329650.1
OG0003051	FhHiC23_g5058.t1	Smp_098840.1
OG0003052	FhHiC23_g8350.t1	Smp_213400.1
OG0003053	FhHiC23_g9803.t1, FhHiC23_g9803.t2	Smp_333150.1
OG0003054	FhHiC23_g13290.t1	Smp_128360.1
OG0003056	FhHiC23_g12585.t1	Smp_128660.1
OG0003057	FhHiC23_g7397.t1	Smp_136360.1
OG0003058	FhHiC23_g16089.t1	Smp_009250.1
OG0003059	FhHiC23_g14069.t1	Smp_132740.1
OG0003060	FhHiC23_g1376.t1	Smp_146580.1
OG0003061	FhHiC23_g3502.t1	Smp_179130.1
OG0003062	FhHiC23_g15991.t1	Smp_345940.1
OG0003063	FhHiC23_g11667.t1	Smp_340720.1
OG0003064	FhHiC23_g13269.t1, FhHiC23_g13269.t2	Smp_304890.1, Smp_304890.2
OG0003065	FhHiC23_g14953.t1	Smp_166090.1
OG0003066	FhHiC23_g9211.t1, FhHiC23_g9211.t2	Smp_140080.1
OG0003067	FhHiC23_g9045.t2, FhHiC23_g9045.t1	Smp_003940.1
OG0003068	FhHiC23_g2504.t1	Smp_334300.1
OG0003069	FhHiC23_g1548.t1	Smp_197180.1
OG0003070	FhHiC23_g6423.t1	Smp_005080.1
OG0003071	FhHiC23_g6782.t1	Smp_132200.1
OG0003072	FhHiC23_g2526.t1	Smp_149220.1
OG0003073	FhHiC23_g8254.t1	Smp_333570.1
OG0003074	FhHiC23_g7265.t1, FhHiC23_g7265.t2	Smp_340610.1
OG0003075	FhHiC23_g7706.t1, FhHiC23_g7706.t2	Smp_072890.1
OG0003076	FhHiC23_g7108.t1, FhHiC23_g7108.t2	Smp_315360.1
OG0003077	FhHiC23_g2415.t1	Smp_340470.1
OG0003078	FhHiC23_g7304.t1	Smp_331920.1
OG0003079	FhHiC23_g1993.t1	Smp_170940.1
OG0003080	FhHiC23_g10859.t1	Smp_165430.1
OG0003081	FhHiC23_g11699.t1	Smp_058650.1
OG0003082	FhHiC23_g1200.t1	Smp_013930.1
OG0003083	FhHiC23_g2579.t1, FhHiC23_g2579.t2	Smp_137000.1
OG0003084	FhHiC23_g588.t1	Smp_344290.1
OG0003085	FhHiC23_g6315.t1	Smp_165080.1
OG0003086	FhHiC23_g7793.t1, FhHiC23_g7793.t2	Smp_079800.1
OG0003087	FhHiC23_g9838.t1, FhHiC23_g9838.t2	Smp_139410.1
OG0003107	FhHiC23_g2181.t1, FhHiC23_g2181.t2	Smp_093430.1, Smp_093430.2
OG0003108	FhHiC23_g9694.t3, FhHiC23_g9694.t1, FhHiC23_g9694.t2	Smp_166040.1
OG0003109	FhHiC23_g15431.t1, FhHiC23_g15431.t2	Smp_135210.1
OG0003110	FhHiC23_g12147.t1	Smp_267270.1
OG0003111	FhHiC23_g2993.t1	Smp_092280.1
OG0003112	FhHiC23_g7744.t1	Smp_083930.1
OG0003114	FhHiC23_g16550.t1	Smp_340060.1
OG0003115	FhHiC23_g2850.t1	Smp_126970.1
OG0003116	FhHiC23_g6893.t1, FhHiC23_g6894.t1	Smp_147120.1
OG0003117	FhHiC23_g15162.t1, FhHiC23_g15162.t2	Smp_162770.1, Smp_162770.2
OG0003118	FhHiC23_g14709.t1, FhHiC23_g14709.t2	Smp_345780.1, Smp_345780.2
OG0003119	FhHiC23_g5747.t1, FhHiC23_g5747.t2	Smp_173640.1
OG0003120	FhHiC23_g1334.t1	Smp_036060.1
OG0003121	FhHiC23_g13535.t1, FhHiC23_g13535.t2	Smp_157000.1
OG0003122	FhHiC23_g13541.t1, FhHiC23_g13541.t2	Smp_148120.1
OG0003123	FhHiC23_g8009.t1	Smp_336210.1, Smp_333340.1, Smp_333340.2
OG0003124	FhHiC23_g16671.t1	Smp_068530.1
OG0003126	FhHiC23_g15380.t1, FhHiC23_g15380.t2	Smp_124760.1
OG0003127	FhHiC23_g16147.t1, FhHiC23_g16147.t2	Smp_162260.1
OG0003128	FhHiC23_g4221.t1	Smp_150550.1
OG0003129	FhHiC23_g13307.t3, FhHiC23_g13307.t1, FhHiC23_g13307.t2	Smp_169550.1, Smp_322150.1
OG0003130	FhHiC23_g10474.t1, FhHiC23_g9568.t2, FhHiC23_g9568.t1	Smp_035560.1
OG0003131	FhHiC23_g2845.t1	Smp_348090.1
OG0003132	FhHiC23_g10395.t2, FhHiC23_g10395.t1	Smp_171090.1
OG0003133	FhHiC23_g6837.t1	Smp_167410.1
OG0003134	FhHiC23_g3798.t1, FhHiC23_g3798.t2	Smp_156950.1
OG0003135	FhHiC23_g5141.t1	Smp_127580.1
OG0003136	FhHiC23_g13636.t1	Smp_068250.1
OG0003137	FhHiC23_g10806.t1, FhHiC23_g4159.t1	Smp_152550.1
OG0003138	FhHiC23_g16561.t1	Smp_334780.1
OG0003139	FhHiC23_g1398.t1, FhHiC23_g1398.t3, FhHiC23_g1398.t2	Smp_147220.1
OG0003140	FhHiC23_g5221.t1	Smp_012470.1
OG0003141	FhHiC23_g7858.t2, FhHiC23_g7858.t1	Smp_075130.1
OG0003142	FhHiC23_g2954.t1, FhHiC23_g2442.t1	Smp_266770.1
OG0003143	FhHiC23_g3107.t1, FhHiC23_g3107.t2	Smp_213510.1, Smp_213510.2
OG0003144	FhHiC23_g5308.t1, FhHiC23_g5308.t2	Smp_169380.1
OG0003145	FhHiC23_g15587.t1	Smp_143830.1
OG0003146	FhHiC23_g15582.t1	Smp_027010.1
OG0003147	FhHiC23_g14888.t1, FhHiC23_g14888.t2, FhHiC23_g122.t1	Smp_159370.1
OG0003148	FhHiC23_g9444.t1	Smp_341770.1
OG0003149	FhHiC23_g1417.t1	Smp_021790.1
OG0003150	FhHiC23_g1170.t1	Smp_152510.1
OG0003151	FhHiC23_g965.t2, FhHiC23_g965.t1	Smp_342040.1
OG0003152	FhHiC23_g6043.t1	Smp_144550.1
OG0003153	FhHiC23_g2885.t1, FhHiC23_g2885.t2	Smp_126920.1
OG0003154	FhHiC23_g14849.t1, FhHiC23_g14850.t1	Smp_332480.1, Smp_332480.2
OG0003155	FhHiC23_g2750.t1	Smp_149000.1
OG0003156	FhHiC23_g14816.t1, FhHiC23_g14816.t2	Smp_084620.1
OG0003157	FhHiC23_g1714.t2, FhHiC23_g1714.t1	Smp_342480.1, Smp_342480.2
OG0003158	FhHiC23_g16029.t1	Smp_347550.1
OG0003159	FhHiC23_g11497.t1, FhHiC23_g16508.t1, FhHiC23_g1308.t1	Smp_180910.1
OG0003161	FhHiC23_g1803.t1	Smp_016410.1
OG0003162	FhHiC23_g13473.t1	Smp_154040.1, Smp_322920.1
OG0003163	FhHiC23_g12522.t1, FhHiC23_g12522.t2	Smp_064600.1
OG0003164	FhHiC23_g5564.t1	Smp_301430.1
OG0003165	FhHiC23_g1513.t1	Smp_343780.1
OG0003167	FhHiC23_g9337.t1	Smp_127920.1
OG0003168	FhHiC23_g8029.t1, FhHiC23_g6975.t1	Smp_168800.1
OG0003170	FhHiC23_g11476.t1	Smp_198850.1
OG0003171	FhHiC23_g612.t2, FhHiC23_g612.t1	Smp_344180.1
OG0003172	FhHiC23_g15613.t1	Smp_026510.1
OG0003173	FhHiC23_g5045.t1, FhHiC23_g5045.t2, FhHiC23_g5045.t3	Smp_125730.1, Smp_125730.2
OG0003174	FhHiC23_g10671.t2, FhHiC23_g10671.t1	Smp_042920.1
OG0003175	FhHiC23_g9981.t1	Smp_210090.1
OG0003176	FhHiC23_g1350.t3, FhHiC23_g1350.t1, FhHiC23_g1350.t4, FhHiC23_g1350.t2	Smp_181870.1
OG0003177	FhHiC23_g8977.t3, FhHiC23_g8977.t1, FhHiC23_g8977.t2	Smp_162010.1
OG0003178	FhHiC23_g6573.t1	Smp_126140.1
OG0003179	FhHiC23_g2696.t3, FhHiC23_g2696.t1, FhHiC23_g2696.t2	Smp_343840.1
OG0003180	FhHiC23_g12499.t1, FhHiC23_g12494.t1	Smp_007450.1, Smp_007450.2
OG0003181	FhHiC23_g5933.t1, FhHiC23_g6205.t1	Smp_315830.1, Smp_315830.2
OG0003182	FhHiC23_g5521.t1	Smp_104120.1
OG0003183	FhHiC23_g10910.t1	Smp_157200.1
OG0003184	FhHiC23_g5585.t1, FhHiC23_g5585.t2	Smp_035200.1
OG0003185	FhHiC23_g2609.t1, FhHiC23_g2609.t2	Smp_345000.1
OG0003186	FhHiC23_g6174.t1	Smp_175590.1
OG0003187	FhHiC23_g2688.t1	Smp_126910.1
OG0003188	FhHiC23_g4171.t1	Smp_003710.1
OG0003189	FhHiC23_g2376.t1	Smp_170450.1
OG0003190	FhHiC23_g8616.t1, FhHiC23_g8616.t2	Smp_137910.1
OG0003191	FhHiC23_g2066.t1	Smp_324630.1
OG0003192	FhHiC23_g7336.t1	Smp_029800.1
OG0003193	FhHiC23_g6038.t1	Smp_144560.1
OG0003194	FhHiC23_g3227.t1	Smp_036980.1
OG0003195	FhHiC23_g11642.t1	Smp_306630.1
OG0003196	FhHiC23_g7155.t1	Smp_013460.1
OG0003197	FhHiC23_g9495.t1	Smp_134500.1
OG0003198	FhHiC23_g347.t1	Smp_169040.1
OG0003199	FhHiC23_g9167.t1, FhHiC23_g9167.t2	Smp_010710.1
OG0003200	FhHiC23_g13563.t1, FhHiC23_g13563.t2	Smp_180070.1
OG0003201	FhHiC23_g11677.t1	Smp_176350.1
OG0003202	FhHiC23_g15154.t1	Smp_096320.1
OG0003203	FhHiC23_g16285.t1	Smp_016910.1, Smp_016900.1
OG0003204	FhHiC23_g15247.t1	Smp_243960.1
OG0003205	FhHiC23_g14576.t1	Smp_121420.1
OG0003206	FhHiC23_g11169.t1	Smp_084080.1
OG0003207	FhHiC23_g12832.t1	Smp_145550.1
OG0003208	FhHiC23_g8516.t1	Smp_132590.1
OG0003209	FhHiC23_g2510.t1, FhHiC23_g2510.t2, FhHiC23_g2510.t3	Smp_247520.1
OG0003210	FhHiC23_g10792.t2, FhHiC23_g10792.t3, FhHiC23_g10792.t1	Smp_135870.1
OG0003211	FhHiC23_g3037.t1	Smp_145320.1
OG0003212	FhHiC23_g13354.t1	Smp_036500.1
OG0003213	FhHiC23_g6030.t2, FhHiC23_g6030.t1	Smp_007210.1
OG0003214	FhHiC23_g11836.t1, FhHiC23_g11834.t1	Smp_155500.1
OG0003215	FhHiC23_g13199.t1	Smp_011700.1
OG0003216	FhHiC23_g10033.t1, FhHiC23_g7750.t1, FhHiC23_g7750.t2, FhHiC23_g7750.t3	Smp_027850.1
OG0003217	FhHiC23_g7593.t1, FhHiC23_g7593.t2	Smp_132280.1
OG0003218	FhHiC23_g8320.t3, FhHiC23_g8320.t1, FhHiC23_g8320.t2	Smp_151780.1
OG0003221	FhHiC23_g5148.t1	Smp_048260.1
OG0003222	FhHiC23_g11402.t1, FhHiC23_g11402.t2	Smp_157930.1
OG0003223	FhHiC23_g16331.t1	Smp_176710.1
OG0003224	FhHiC23_g14882.t1	Smp_036180.1
OG0003225	FhHiC23_g16057.t1, FhHiC23_g16057.t2	Smp_247880.1
OG0003226	FhHiC23_g12103.t1	Smp_047200.1
OG0003227	FhHiC23_g7921.t2, FhHiC23_g7921.t1	Smp_075140.1
OG0003228	FhHiC23_g16065.t1	Smp_158620.1
OG0003229	FhHiC23_g3272.t1, FhHiC23_g3272.t2, FhHiC23_g3272.t3	Smp_007960.3, Smp_007960.1, Smp_007960.2
OG0003230	FhHiC23_g633.t1	Smp_131150.1
OG0003231	FhHiC23_g11000.t1	Smp_146420.1
OG0003232	FhHiC23_g11182.t1	Smp_179610.1
OG0003233	FhHiC23_g15692.t1	Smp_244130.1
OG0003234	FhHiC23_g7151.t1	Smp_137870.1
OG0003235	FhHiC23_g4273.t1, FhHiC23_g4273.t2	Smp_013150.1
OG0003236	FhHiC23_g6998.t1	Smp_030690.1
OG0003237	FhHiC23_g10254.t1	Smp_245690.1
OG0003238	FhHiC23_g8245.t1	Smp_123640.1
OG0003239	FhHiC23_g7246.t1	Smp_212250.1
OG0003240	FhHiC23_g13494.t1	Smp_080550.1
OG0003241	FhHiC23_g4811.t1, FhHiC23_g4813.t2	Smp_158520.2, Smp_158520.1
OG0003242	FhHiC23_g1391.t1	Smp_105540.1
OG0003243	FhHiC23_g11653.t1, FhHiC23_g11653.t2	Smp_128650.1
OG0003244	FhHiC23_g1054.t1, FhHiC23_g1055.t1	Smp_344680.1, Smp_344680.2
OG0003245	FhHiC23_g942.t1	Smp_044850.1
OG0003246	FhHiC23_g12709.t2, FhHiC23_g12709.t1, FhHiC23_g9898.t1, FhHiC23_g9899.t1	Smp_012200.2, Smp_012200.1
OG0003247	FhHiC23_g15555.t1, FhHiC23_g15555.t2	Smp_061230.1
OG0003248	FhHiC23_g4086.t3, FhHiC23_g4086.t1, FhHiC23_g4086.t2	Smp_345150.1, Smp_345150.3, Smp_345150.2
OG0003249	FhHiC23_g7091.t1	Smp_063260.1
OG0003250	FhHiC23_g2563.t1	Smp_164730.1
OG0003251	FhHiC23_g4361.t1, FhHiC23_g4361.t2	Smp_179290.1
OG0003252	FhHiC23_g13873.t1, FhHiC23_g13874.t1	Smp_194770.1
OG0003253	FhHiC23_g15938.t1	Smp_123210.1
OG0003254	FhHiC23_g7334.t1	Smp_057130.1
OG0003255	FhHiC23_g9370.t2, FhHiC23_g9370.t1	Smp_010720.1, Smp_130370.1
OG0003256	FhHiC23_g3948.t4, FhHiC23_g3948.t1, FhHiC23_g3948.t3, FhHiC23_g3948.t2	Smp_156870.1
OG0003257	FhHiC23_g10879.t1	Smp_025360.1, Smp_025360.2
OG0003258	FhHiC23_g14309.t1	Smp_337340.1
OG0003259	FhHiC23_g9707.t1	Smp_171010.1
OG0003260	FhHiC23_g3453.t1	Smp_143430.1
OG0003261	FhHiC23_g5986.t1	Smp_315760.1
OG0003263	FhHiC23_g12959.t1, FhHiC23_g12959.t2	Smp_030370.1
OG0003264	FhHiC23_g15025.t1	Smp_135300.1
OG0003265	FhHiC23_g14664.t1	Smp_170600.1
OG0003266	FhHiC23_g1639.t1	Smp_049970.1
OG0003267	FhHiC23_g15350.t2, FhHiC23_g15350.t1	Smp_243930.1
OG0003268	FhHiC23_g14199.t1, FhHiC23_g14199.t2	Smp_303000.1
OG0003269	FhHiC23_g3332.t1	Smp_093850.1
OG0003270	FhHiC23_g7178.t1	Smp_105950.1
OG0003271	FhHiC23_g10947.t1	Smp_047060.1
OG0003272	FhHiC23_g3736.t1, FhHiC23_g3735.t1	Smp_009810.1
OG0003273	FhHiC23_g4757.t1	Smp_025890.1
OG0003274	FhHiC23_g15137.t1	Smp_071610.1
OG0003275	FhHiC23_g10062.t1	Smp_129560.1
OG0003276	FhHiC23_g7878.t1, FhHiC23_g7878.t2	Smp_174810.1
OG0003277	FhHiC23_g5096.t1, FhHiC23_g5096.t2	Smp_346200.1
OG0003278	FhHiC23_g2173.t1	Smp_142510.1
OG0003279	FhHiC23_g12358.t1, FhHiC23_g12358.t2	Smp_043970.1
OG0003280	FhHiC23_g3004.t1	Smp_042060.1
OG0003281	FhHiC23_g9574.t1, FhHiC23_g9575.t1	Smp_173940.1
OG0003282	FhHiC23_g386.t1	Smp_148450.1
OG0003283	FhHiC23_g9999.t2, FhHiC23_g9999.t1	Smp_041450.1
OG0003284	FhHiC23_g7118.t1	Smp_137940.1
OG0003285	FhHiC23_g9070.t1	Smp_099570.1
OG0003286	FhHiC23_g7522.t1, FhHiC23_g7522.t2	Smp_159890.1
OG0003287	FhHiC23_g12165.t1	Smp_103930.1, Smp_103930.2
OG0003288	FhHiC23_g8129.t1	Smp_100030.1
OG0003289	FhHiC23_g12168.t2, FhHiC23_g12168.t1	Smp_244420.1
OG0003290	FhHiC23_g12943.t1	Smp_079950.1
OG0003291	FhHiC23_g10831.t1	Smp_074510.1
OG0003292	FhHiC23_g3941.t1	Smp_086760.1, Smp_086760.2
OG0003293	FhHiC23_g6632.t1	Smp_076630.1
OG0003294	FhHiC23_g5656.t1	Smp_025620.1
OG0003295	FhHiC23_g4629.t1	Smp_073570.1
OG0003296	FhHiC23_g1290.t1	Smp_047500.1
OG0003297	FhHiC23_g10640.t1	Smp_142300.1
OG0003298	FhHiC23_g883.t1, FhHiC23_g881.t1	Smp_131690.1
OG0003299	FhHiC23_g2704.t2, FhHiC23_g2704.t1	Smp_062630.1
OG0003300	FhHiC23_g11556.t1	Smp_058410.1
OG0003301	FhHiC23_g14704.t1, FhHiC23_g14705.t2, FhHiC23_g14705.t1	Smp_211160.1
OG0003302	FhHiC23_g12995.t1	Smp_145650.1
OG0003303	FhHiC23_g98.t1, FhHiC23_g100.t1, FhHiC23_g100.t2	Smp_210320.1
OG0003304	FhHiC23_g10738.t1, FhHiC23_g10738.t2	Smp_142180.1
OG0003305	FhHiC23_g3030.t1	Smp_346590.1
OG0003306	FhHiC23_g2064.t1, FhHiC23_g2064.t2	Smp_333950.1
OG0003307	FhHiC23_g9989.t1	Smp_305200.1, Smp_314650.1
OG0003309	FhHiC23_g13581.t1, FhHiC23_g14886.t1	Smp_015800.1
OG0003310	FhHiC23_g1498.t1	Smp_072090.1
OG0003311	FhHiC23_g15990.t1	Smp_141430.1
OG0003313	FhHiC23_g2873.t1	Smp_331980.1
OG0003314	FhHiC23_g3760.t1	Smp_076910.1, Smp_076910.2, Smp_076910.3
OG0003315	FhHiC23_g6234.t1, FhHiC23_g6234.t2	Smp_317550.1, Smp_332240.1, Smp_332245.1
OG0003326	FhHiC23_g8112.t1	Smp_030280.1
OG0003327	FhHiC23_g3141.t1	Smp_070170.1
OG0003328	FhHiC23_g10097.t1, FhHiC23_g3297.t1, FhHiC23_g3297.t2, FhHiC23_g10096.t1	Smp_064010.1
OG0003329	FhHiC23_g9185.t1, FhHiC23_g9185.t2	Smp_336610.1
OG0003330	FhHiC23_g1838.t1	Smp_167010.1
OG0003331	FhHiC23_g13446.t2, FhHiC23_g13446.t1, FhHiC23_g13445.t1	Smp_345570.1
OG0003332	FhHiC23_g5818.t1	Smp_140570.1
OG0003333	FhHiC23_g11074.t1	Smp_044440.1
OG0003334	FhHiC23_g5233.t1, FhHiC23_g5233.t2	Smp_035210.1
OG0003335	FhHiC23_g7563.t1	Smp_023700.1
OG0003336	FhHiC23_g7853.t1	Smp_345520.1
OG0003337	FhHiC23_g2594.t1	Smp_347030.1
OG0003338	FhHiC23_g10922.t1, FhHiC23_g10922.t2	Smp_346450.1, Smp_346450.2
OG0003339	FhHiC23_g12575.t1, FhHiC23_g12573.t1, FhHiC23_g12573.t2	Smp_130660.1
OG0003340	FhHiC23_g4728.t1	Smp_147970.1
OG0003341	FhHiC23_g8399.t1	Smp_000230.1
OG0003342	FhHiC23_g15580.t1	Smp_058190.1, Smp_058190.2
OG0003343	FhHiC23_g2245.t1	Smp_156540.1
OG0003344	FhHiC23_g9261.t1	Smp_160460.1
OG0003345	FhHiC23_g16606.t1	Smp_086030.1
OG0003346	FhHiC23_g9039.t1, FhHiC23_g9039.t2	Smp_033140.1
OG0003347	FhHiC23_g14564.t1, FhHiC23_g14564.t2	Smp_135140.1
OG0003348	FhHiC23_g1814.t1	Smp_176810.1
OG0003349	FhHiC23_g6019.t1	Smp_049630.1
OG0003350	FhHiC23_g14671.t1	Smp_000810.1
OG0003351	FhHiC23_g2747.t1	Smp_329340.1, Smp_316020.2, Smp_312950.1, Smp_312950.2, Smp_316020.1
OG0003352	FhHiC23_g3800.t1	Smp_070610.1
OG0003353	FhHiC23_g9096.t4, FhHiC23_g9096.t1, FhHiC23_g9096.t2, FhHiC23_g9096.t3	Smp_096920.1, Smp_248140.1, Smp_248130.1
OG0003354	FhHiC23_g9715.t1	Smp_175840.1
OG0003355	FhHiC23_g8205.t1	Smp_001100.1
OG0003356	FhHiC23_g11925.t1	Smp_344830.1
