Orthogroup	fasciola_gigantica	schistosoma_mansoni
OG0000149	FGIG_08710	Smp_123410.1
OG0000151	FGIG_00898	Smp_167920.1
OG0000152	FGIG_02196	Smp_078310.1
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	Smp_013950.1, Smp_169090.1, Smp_169050.2, Smp_169050.1
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	Smp_333260.1
OG0000155	FGIG_01109	Smp_302040.1, Smp_302040.2, Smp_302040.3
OG0000156	FGIG_01694	Smp_143840.1
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	Smp_039750.3, Smp_039750.1, Smp_039750.2
OG0000157	FGIG_01729	Smp_212410.1, Smp_212410.2
OG0000157	FGIG_07044, FGIG_07045	Smp_332710.1
OG0000157	FGIG_03579	Smp_153100.1
OG0000158	FGIG_05975	Smp_068960.1, Smp_159520.1
OG0000159	FGIG_07564	Smp_129520.1
OG0000160	FGIG_05715	Smp_136550.1
OG0000161	FGIG_08957	Smp_301780.1
OG0000164	FGIG_12608, FGIG_03854	Smp_179910.1
OG0000164	FGIG_01740	Smp_062510.1
OG0000164	FGIG_10598	Smp_142450.1
OG0000164	FGIG_05689	Smp_071250.1
OG0000165	FGIG_03682	Smp_002820.1
OG0000166	FGIG_04350	Smp_173060.1
OG0000167	FGIG_09630	Smp_042550.1, Smp_042550.2
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	Smp_140000.1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	Smp_343440.1
OG0000172	FGIG_02787, FGIG_02788	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	Smp_344580.1
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	Smp_195090.1, Smp_169200.1, Smp_169190.1, Smp_086530.1
OG0000177	FGIG_04057, FGIG_04058	Smp_333480.1, Smp_333480.2
OG0000178	FGIG_04370	Smp_150750.1
OG0000179	FGIG_08795, FGIG_10380	Smp_134080.1, Smp_246010.1
OG0000180	FGIG_12039	Smp_346170.1, Smp_314210.1, Smp_345210.1, Smp_314200.1, Smp_317150.1
OG0000182	FGIG_02134	Smp_159990.1
OG0000182	FGIG_00290	Smp_020270.1, Smp_020270.2
OG0000183	FGIG_02622	Smp_152870.1
OG0000184	FGIG_03731	Smp_167750.1
OG0000184	FGIG_03730	Smp_004220.1
OG0000185	FGIG_07908	Smp_057120.1, Smp_057120.2
OG0000186	FGIG_00796	Smp_334080.1
OG0000187	FGIG_10561, FGIG_02152	Smp_014670.1
OG0000188	FGIG_03282	Smp_125770.1
OG0000189	FGIG_03464	Smp_347670.1
OG0000190	FGIG_04440	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	Smp_154670.1, Smp_187360.1, Smp_154680.1
OG0000192	FGIG_06841, FGIG_06840	Smp_009990.1
OG0000194	FGIG_07707	Smp_145190.1, Smp_145190.2
OG0000195	FGIG_08368	Smp_089930.1
OG0000196	FGIG_11982, FGIG_03269	Smp_051090.1
OG0000196	FGIG_11890	Smp_337400.1, Smp_337400.3
OG0000198	FGIG_06396	Smp_058690.1, Smp_058700.1
OG0000199	FGIG_03163	Smp_033950.1
OG0000201	FGIG_05120	Smp_158560.1, Smp_158560.2
OG0000202	FGIG_07192	Smp_129710.1
OG0000203	FGIG_08149	Smp_168040.1
OG0000205	FGIG_02525	Smp_129770.1, Smp_129770.2
OG0000206	FGIG_03933	Smp_031920.1
OG0000207	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073	Smp_137320.1, Smp_319310.1, Smp_319310.2, Smp_137310.1, Smp_178420.1, Smp_137300.1, Smp_027940.1
OG0000208	FGIG_04764	Smp_312880.1
OG0000209	FGIG_06233	Smp_214240.1, Smp_128390.1
OG0000210	FGIG_06835, FGIG_08667	Smp_143690.1, Smp_143690.2
OG0000211	FGIG_06875	Smp_033050.1
OG0000212	FGIG_07429, FGIG_07428	Smp_123940.1
OG0000213	FGIG_08575	Smp_333170.1
OG0000214	FGIG_09344	Smp_134410.1, Smp_134410.3
OG0000217	FGIG_02317, FGIG_02318	Smp_343380.1
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	Smp_244280.1
OG0000219	FGIG_07378	Smp_162080.1
OG0000220	FGIG_07549	Smp_329410.1, Smp_126840.1
OG0000221	FGIG_04956, FGIG_04954, FGIG_08084	Smp_165820.1
OG0000221	FGIG_02269	Smp_153140.1
OG0000222	FGIG_00564	Smp_313450.1
OG0000223	FGIG_00853	Smp_159100.1
OG0000224	FGIG_01377, FGIG_01378	Smp_153770.1
OG0000225	FGIG_02370, FGIG_02369	Smp_017730.1
OG0000226	FGIG_02439, FGIG_12357	Smp_124820.1
OG0000227	FGIG_04507, FGIG_04506	Smp_122680.1
OG0000228	FGIG_04992	Smp_104030.1
OG0000229	FGIG_10264, FGIG_05406, FGIG_12189	Smp_307880.1
OG0000230	FGIG_06761, FGIG_06762	Smp_308600.1, Smp_308590.1
OG0000234	FGIG_01289	Smp_337850.1
OG0000235	FGIG_07942, FGIG_02783, FGIG_02784	Smp_342880.1, Smp_342880.2
OG0000236	FGIG_05608	Smp_147620.1
OG0000237	FGIG_06420	Smp_130030.1
OG0000238	FGIG_07333	Smp_158450.1
OG0000239	FGIG_07503, FGIG_08719	Smp_163610.1, Smp_336250.1
OG0000240	FGIG_10740, FGIG_10875	Smp_168370.2, Smp_168370.1
OG0000241	FGIG_00479	Smp_244950.1, Smp_244960.1
OG0000242	FGIG_01807	Smp_346520.1
OG0000243	FGIG_00529, FGIG_00528	Smp_246870.1
OG0000244	FGIG_11655, FGIG_00993	Smp_125550.1
OG0000245	FGIG_01848	Smp_315810.1, Smp_315810.2
OG0000246	FGIG_06772	Smp_334490.1
OG0000247	FGIG_09572	Smp_340410.1
OG0000248	FGIG_10714	Smp_023360.1
OG0000249	FGIG_11297	Smp_340960.1
OG0000250	FGIG_12420, FGIG_11532	Smp_049380.1
OG0000252	FGIG_01524	Smp_088550.1
OG0000253	FGIG_02155	Smp_130520.2, Smp_130520.1, Smp_130520.4, Smp_130520.3
OG0000254	FGIG_02996	Smp_133740.1
OG0000255	FGIG_03191	Smp_034870.1
OG0000256	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257	Smp_343260.1
OG0000257	FGIG_03641, FGIG_07534	Smp_164930.1
OG0000258	FGIG_05122	Smp_065840.1
OG0000259	FGIG_05764	Smp_079370.1
OG0000260	FGIG_05885	Smp_081450.1
OG0000261	FGIG_06157	Smp_334030.1, Smp_334030.2
OG0000262	FGIG_08811, FGIG_08810	Smp_012580.2, Smp_012580.1
OG0000263	FGIG_09258	Smp_144430.1
OG0000264	FGIG_11442	Smp_347000.1, Smp_133490.1
OG0000264	FGIG_10736	Smp_134260.1
OG0000266	FGIG_00214	Smp_154560.1
OG0000267	FGIG_00498, FGIG_00260	Smp_179490.1, Smp_179490.3, Smp_179490.2
OG0000268	FGIG_06620	Smp_067810.1
OG0000268	FGIG_10234	Smp_194270.1
OG0000269	FGIG_02813	Smp_318690.1, Smp_031000.1, Smp_031000.2
OG0000270	FGIG_03740, FGIG_02883	Smp_246700.1
OG0000271	FGIG_04146, FGIG_09915, FGIG_04147	Smp_134670.1
OG0000272	FGIG_07493	Smp_045950.1, Smp_045950.2
OG0000273	FGIG_07763	Smp_171880.1
OG0000274	FGIG_10372	Smp_334430.3, Smp_334430.1, Smp_334430.2
OG0000275	FGIG_08245	Smp_196840.1
OG0000276	FGIG_08474	Smp_312920.1
OG0000277	FGIG_08916	Smp_332260.1, Smp_332260.2
OG0000281	FGIG_00516	Smp_154160.1
OG0000281	FGIG_04239	Smp_323740.1, Smp_344370.1
OG0000281	FGIG_10083	Smp_007730.1
OG0000282	FGIG_11572, FGIG_01087	Smp_034270.1
OG0000283	FGIG_01798	Smp_126240.1, Smp_126240.2
OG0000284	FGIG_03458	Smp_121950.1
OG0000285	FGIG_03702, FGIG_03701	Smp_000020.1
OG0000286	FGIG_08247, FGIG_09211, FGIG_06296	Smp_102430.1, Smp_040510.1
OG0000287	FGIG_07559	Smp_120640.1
OG0000288	FGIG_08415	Smp_123180.1
OG0000289	FGIG_11097	Smp_194590.1
OG0000290	FGIG_06528	Smp_163580.1, Smp_163580.2
OG0000290	FGIG_00121	Smp_176050.1
OG0000291	FGIG_00724, FGIG_00726	Smp_130440.1
OG0000292	FGIG_01340, FGIG_10382	Smp_083040.1, Smp_083040.2
OG0000293	FGIG_03259	Smp_035580.1
OG0000293	FGIG_10208, FGIG_04594	Smp_028990.1
OG0000293	FGIG_06127	Smp_004810.1
OG0000294	FGIG_03314	Smp_324700.1, Smp_324700.2, Smp_340380.1
OG0000295	FGIG_04922	Smp_247750.1, Smp_179250.1, Smp_247760.1, Smp_089290.1
OG0000296	FGIG_05009	Smp_322820.1
OG0000296	FGIG_07123, FGIG_07878, FGIG_07122	Smp_322830.1, Smp_322810.1
OG0000297	FGIG_05203	Smp_050520.1
OG0000298	FGIG_10124	Smp_336620.1
OG0000298	FGIG_05892	Smp_135040.1, Smp_135040.2
OG0000299	FGIG_06707	Smp_074050.1
OG0000300	FGIG_06727	Smp_061840.1
OG0000301	FGIG_07052	Smp_042160.1
OG0000302	FGIG_07305	Smp_104500.3, Smp_104500.1, Smp_104500.4, Smp_104500.2
OG0000303	FGIG_11626, FGIG_07919	Smp_153710.3, Smp_153710.2, Smp_153710.1, Smp_153710.4
OG0000304	FGIG_09605	Smp_340500.1
OG0000305	FGIG_09613, FGIG_09611, FGIG_12612	Smp_060940.1
OG0000306	FGIG_11983, FGIG_10527	Smp_342740.1
OG0000307	FGIG_12478	Smp_343920.1, Smp_011000.1
OG0000311	FGIG_01279	Smp_161120.1, Smp_161120.2
OG0000312	FGIG_09661, FGIG_01495, FGIG_09662	Smp_152840.1
OG0000313	FGIG_03443	Smp_045980.1
OG0000314	FGIG_03632	Smp_159070.1
OG0000315	FGIG_03911	Smp_007260.1
OG0000315	FGIG_07353, FGIG_07352	Smp_136710.2, Smp_136710.1
OG0000316	FGIG_04659, FGIG_09851	Smp_168660.1
OG0000317	FGIG_05137	Smp_097820.1, Smp_097820.2
OG0000318	FGIG_05250	Smp_065130.1
OG0000319	FGIG_06268, FGIG_06269	Smp_167160.1, Smp_167160.2
OG0000320	FGIG_02124	Smp_306980.1
OG0000320	FGIG_00209	Smp_140860.1
OG0000320	FGIG_08913	Smp_245990.2, Smp_245990.1
OG0000321	FGIG_00856, FGIG_00857	Smp_083780.1
OG0000322	FGIG_01204	Smp_194030.1
OG0000323	FGIG_02690	Smp_306120.1, Smp_344820.1, Smp_344820.2, Smp_344820.3
OG0000324	FGIG_04179	Smp_147250.1
OG0000325	FGIG_04546	Smp_151050.1
OG0000326	FGIG_04814	Smp_069130.1
OG0000327	FGIG_06438, FGIG_08722, FGIG_11975, FGIG_09141	Smp_168450.1, Smp_336080.1
OG0000328	FGIG_09711	Smp_035090.1
OG0000329	FGIG_11990	Smp_018240.1, Smp_018240.2
OG0000332	FGIG_00632	Smp_084870.1
OG0000333	FGIG_01538	Smp_044610.1, Smp_342180.1
OG0000334	FGIG_02321	Smp_135470.1, Smp_345090.1
OG0000335	FGIG_02931	Smp_153190.1
OG0000336	FGIG_05611	Smp_007760.1
OG0000336	FGIG_03447	Smp_130540.1
OG0000337	FGIG_05353	Smp_099690.1
OG0000337	FGIG_07022	Smp_019490.1
OG0000342	FGIG_05549	Smp_071630.1
OG0000342	FGIG_00226	Smp_004910.1
OG0000343	FGIG_01634, FGIG_01635	Smp_033530.1, Smp_140270.1, Smp_033540.1
OG0000344	FGIG_01866	Smp_153780.1
OG0000345	FGIG_01894	Smp_089460.1
OG0000346	FGIG_01903	Smp_141230.1
OG0000346	FGIG_09179	Smp_130250.1
OG0000347	FGIG_02160, FGIG_12660	Smp_160940.1
OG0000348	FGIG_03483	Smp_347690.1, Smp_347690.2
OG0000349	FGIG_04573, FGIG_04572, FGIG_06122	Smp_130750.1
OG0000350	FGIG_04749	Smp_079650.1
OG0000351	FGIG_05010	Smp_133790.1
OG0000352	FGIG_05384, FGIG_11348, FGIG_05385	Smp_315890.1
OG0000353	FGIG_06289	Smp_126740.1
OG0000354	FGIG_10148, FGIG_09059	Smp_304130.1, Smp_304130.2
OG0000355	FGIG_10341, FGIG_12112, FGIG_12113	Smp_158050.1
OG0000356	FGIG_10789, FGIG_10788, FGIG_10790	Smp_332940.1
OG0000357	FGIG_12459	Smp_040560.1
OG0000359	FGIG_00275	Smp_194800.1
OG0000360	FGIG_01496	Smp_039640.1
OG0000361	FGIG_02685, FGIG_02684	Smp_157340.1
OG0000362	FGIG_02801	Smp_246570.1
OG0000363	FGIG_03340, FGIG_03341, FGIG_03338	Smp_302930.1
OG0000364	FGIG_03707	Smp_164940.1
OG0000365	FGIG_12204, FGIG_04576	Smp_190770.1, Smp_325650.1
OG0000366	FGIG_06034, FGIG_09373, FGIG_12323	Smp_147240.1
OG0000367	FGIG_07381	Smp_006700.1
OG0000368	FGIG_07710, FGIG_12057	Smp_244010.1
OG0000369	FGIG_08435	Smp_171610.1
OG0000370	FGIG_08520	Smp_147950.1, Smp_147950.2
OG0000371	FGIG_08814	Smp_302090.1
OG0000372	FGIG_08961	Smp_091840.1, Smp_091820.1
OG0000373	FGIG_12324, FGIG_09323	Smp_025260.1
OG0000374	FGIG_09768	Smp_099850.1
OG0000375	FGIG_10082	Smp_191870.1
OG0000376	FGIG_10153, FGIG_11766, FGIG_11765	Smp_347860.1
OG0000377	FGIG_10617	Smp_174410.1
OG0000378	FGIG_11867	Smp_163210.3, Smp_163210.1, Smp_163210.2
OG0000380	FGIG_01104, FGIG_10893, FGIG_11041	Smp_070380.1
OG0000380	FGIG_00695	Smp_198560.1, Smp_075500.1
OG0000381	FGIG_01453	Smp_105410.1
OG0000381	FGIG_01451, FGIG_01452	Smp_012440.1
OG0000382	FGIG_01588, FGIG_06764	Smp_120670.1, Smp_176180.1, Smp_070250.1, Smp_336880.1, Smp_154260.1, Smp_176170.1, Smp_176160.1, Smp_154290.1
OG0000383	FGIG_01645, FGIG_01646	Smp_142650.2, Smp_142650.1
OG0000384	FGIG_01701	Smp_316270.1, Smp_315420.1
OG0000385	FGIG_01970	Smp_326080.1
OG0000386	FGIG_07934, FGIG_07933, FGIG_05021, FGIG_05980	Smp_163760.1
OG0000387	FGIG_05744, FGIG_12613	Smp_169140.1, Smp_320670.1
OG0000388	FGIG_06147	Smp_344630.1, Smp_344630.2
OG0000389	FGIG_06300	Smp_137210.1
OG0000390	FGIG_06318	Smp_069960.1
OG0000391	FGIG_06566, FGIG_07343	Smp_163340.1
OG0000392	FGIG_06786	Smp_096020.1
OG0000393	FGIG_06864	Smp_171540.1
OG0000394	FGIG_12663, FGIG_07717	Smp_018760.1
OG0000395	FGIG_07807	Smp_149200.1
OG0000396	FGIG_07980	Smp_126300.1
OG0000397	FGIG_07986	Smp_027390.1
OG0000398	FGIG_08346, FGIG_08154	Smp_244150.1, Smp_160360.1, Smp_078930.1
OG0000399	FGIG_08267	Smp_141290.4, Smp_141290.2, Smp_141290.1, Smp_141290.3, Smp_141390.1
OG0000400	FGIG_12136, FGIG_08348, FGIG_09690, FGIG_09691	Smp_335630.1, Smp_303270.1, Smp_303290.1, Smp_173150.1
OG0000401	FGIG_10170, FGIG_10171	Smp_144770.1
OG0000402	FGIG_12370, FGIG_11519, FGIG_12593	Smp_155420.1
OG0000403	FGIG_11602	Smp_137580.1
OG0000405	FGIG_00540, FGIG_04407, FGIG_00542, FGIG_00541	Smp_068060.1
OG0000406	FGIG_00915	Smp_143240.1
OG0000407	FGIG_01328	Smp_308420.1
OG0000408	FGIG_01770	Smp_345870.1
OG0000409	FGIG_01990	Smp_345840.1
OG0000410	FGIG_06197	Smp_001040.1
OG0000411	FGIG_03726	Smp_080280.1
OG0000412	FGIG_04797	Smp_170800.1
OG0000413	FGIG_05095	Smp_132320.1
OG0000414	FGIG_05869	Smp_244610.1
OG0000415	FGIG_06429	Smp_012780.1
