Orthogroup	fasciola_gigantica	schistosoma_turkestanicum
OG0000118	FGIG_02831	STRK1_37870.1, STRK1_109120.1, STRK1_37860.1, STRK1_109130.1, STRK1_37850.1
OG0000119	FGIG_05939	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7
OG0000120	FGIG_06695	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4
OG0000122	FGIG_06459, FGIG_06458	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2
OG0000123	FGIG_06911	STRK1_73130.1, STRK1_73130.2
OG0000125	FGIG_12140, FGIG_05136	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1
OG0000126	FGIG_02836, FGIG_00047	STRK1_68690.1
OG0000127	FGIG_10651, FGIG_01876	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2
OG0000128	FGIG_02928	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2
OG0000129	FGIG_01051	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2
OG0000130	FGIG_06548, FGIG_01370	STRK1_79420.1, STRK1_79420.2
OG0000131	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592	STRK1_12320.1, STRK1_12290.1, STRK1_83820.1, STRK1_83830.1, STRK1_83850.1, STRK1_83860.1
OG0000132	FGIG_04447, FGIG_04446	STRK1_36280.1, STRK1_36280.2
OG0000133	FGIG_10537	STRK1_32070.1
OG0000134	FGIG_03080	STRK1_18540.1
OG0000135	FGIG_08997	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2
OG0000136	FGIG_11134, FGIG_12681, FGIG_11135	STRK1_7170.1
OG0000138	FGIG_10020	STRK1_84500.1
OG0000138	FGIG_00536, FGIG_00535	STRK1_42170.1
OG0000139	FGIG_04756	STRK1_16260.1
OG0000140	FGIG_05800	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2
OG0000142	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045	STRK1_18420.1, STRK1_18430.1, STRK1_18430.2, STRK1_18440.1, STRK1_18460.1
OG0000143	FGIG_03125	STRK1_65800.1, STRK1_65810.1, STRK1_65820.1
OG0000144	FGIG_04482	STRK1_48850.1
OG0000144	FGIG_02516	STRK1_24000.1
OG0000144	FGIG_08902, FGIG_02070	STRK1_52920.1, STRK1_52940.1
OG0000145	FGIG_06896	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1
OG0000146	FGIG_01364	STRK1_86910.1
OG0000146	FGIG_07112	STRK1_53240.1
OG0000146	FGIG_08174	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3
OG0000146	FGIG_12116	STRK1_45220.1
OG0000147	FGIG_03610	STRK1_30920.1
OG0000148	FGIG_05123, FGIG_04713	STRK1_32430.1
OG0000149	FGIG_08710	STRK1_51730.1, STRK1_51730.2
OG0000151	FGIG_00898	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1
OG0000152	FGIG_02196	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3
OG0000153	FGIG_06246, FGIG_09804, FGIG_09803	STRK1_105080.1, STRK1_52110.1
OG0000154	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3
OG0000155	FGIG_01109	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1
OG0000156	FGIG_01694	STRK1_18130.1
OG0000156	FGIG_10389, FGIG_01395, FGIG_06374	STRK1_18120.1
OG0000157	FGIG_01729	STRK1_65550.1
OG0000157	FGIG_07044, FGIG_07045	STRK1_40030.1
OG0000157	FGIG_03579	STRK1_90020.1, STRK1_90030.1
OG0000158	FGIG_05975	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4
OG0000159	FGIG_07564	STRK1_59740.1
OG0000160	FGIG_05715	STRK1_5090.1, STRK1_5070.1
OG0000161	FGIG_08957	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7
OG0000164	FGIG_12608, FGIG_03854	STRK1_60530.1
OG0000164	FGIG_01740	STRK1_73910.1
OG0000164	FGIG_10598	STRK1_55190.1
OG0000164	FGIG_05689	STRK1_29660.1
OG0000165	FGIG_03682	STRK1_63320.1
OG0000166	FGIG_04350	STRK1_84550.1
OG0000167	FGIG_09630	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2
OG0000169	FGIG_02219, FGIG_02221, FGIG_02220	STRK1_90390.1
OG0000170	FGIG_11214, FGIG_11905, FGIG_00734	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1
OG0000172	FGIG_02787, FGIG_02788	STRK1_3970.1
OG0000173	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026	STRK1_80280.1
OG0000175	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352	STRK1_39380.1, STRK1_39370.1, STRK1_39360.1, STRK1_39350.1
OG0000176	FGIG_00685	STRK1_44100.1, STRK1_83020.1, STRK1_21670.1, STRK1_65730.1
OG0000177	FGIG_04057, FGIG_04058	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1
OG0000178	FGIG_04370	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2
OG0000179	FGIG_08795, FGIG_10380	STRK1_53790.1, STRK1_53800.1
OG0000180	FGIG_12039	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4, STRK1_79020.1, STRK1_104300.1
OG0000182	FGIG_02134	STRK1_55980.1
OG0000182	FGIG_00290	STRK1_36970.1
OG0000183	FGIG_02622	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2
OG0000184	FGIG_03731	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1
OG0000184	FGIG_03730	STRK1_49320.1
OG0000185	FGIG_07908	STRK1_34010.1
OG0000186	FGIG_00796	STRK1_70010.1
OG0000187	FGIG_10561, FGIG_02152	STRK1_46740.1
OG0000188	FGIG_03282	STRK1_31940.1
OG0000189	FGIG_03464	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7
OG0000190	FGIG_04440	STRK1_46160.1, STRK1_46160.2
OG0000191	FGIG_06431, FGIG_10462, FGIG_10464, FGIG_11528, FGIG_10245	STRK1_33090.1, STRK1_33020.1, STRK1_33020.2, STRK1_33020.3, STRK1_33080.1
OG0000192	FGIG_06841, FGIG_06840	STRK1_64420.1
OG0000194	FGIG_07707	STRK1_74260.1
OG0000195	FGIG_08368	STRK1_50680.1, STRK1_50680.2
OG0000196	FGIG_11982, FGIG_03269	STRK1_2310.1, STRK1_87510.1
OG0000196	FGIG_11890	STRK1_11370.1
OG0000198	FGIG_00941	STRK1_5020.1
OG0000199	FGIG_03163	STRK1_31630.1, STRK1_31630.2
OG0000201	FGIG_05120	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2
OG0000202	FGIG_07192	STRK1_49150.1
OG0000203	FGIG_08149	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1
OG0000205	FGIG_02525	STRK1_2090.1
OG0000206	FGIG_03933	STRK1_35690.1, STRK1_35690.3, STRK1_35690.6, STRK1_35690.2, STRK1_35690.4, STRK1_35690.5
OG0000207	FGIG_05628, FGIG_09531, FGIG_04435, FGIG_12425, FGIG_10073	STRK1_36180.1, STRK1_36170.1
OG0000208	FGIG_04764	STRK1_70670.1
OG0000209	FGIG_06233	STRK1_12090.7, STRK1_12090.2, STRK1_12090.3, STRK1_12090.4, STRK1_12090.5, STRK1_12090.6, STRK1_12090.1
OG0000210	FGIG_06835, FGIG_08667	STRK1_82570.1, STRK1_82570.2, STRK1_82580.1, STRK1_82590.1
OG0000211	FGIG_06875	STRK1_6370.1
OG0000212	FGIG_07429, FGIG_07428	STRK1_22730.1
OG0000213	FGIG_08575	STRK1_3000.1
OG0000214	FGIG_09344	STRK1_6400.1, STRK1_6400.2, STRK1_6400.5, STRK1_6400.4, STRK1_6400.3
OG0000217	FGIG_02317, FGIG_02318	STRK1_31410.1, STRK1_31420.1
OG0000218	FGIG_03038, FGIG_12388, FGIG_12233, FGIG_03037, FGIG_08630	STRK1_14420.1
OG0000219	FGIG_07378	STRK1_61660.1
OG0000220	FGIG_07549	STRK1_96360.1, STRK1_75400.1, STRK1_75400.2
OG0000221	FGIG_04956, FGIG_04954, FGIG_08084	STRK1_9390.1, STRK1_9390.2
OG0000221	FGIG_02269	STRK1_17630.1
OG0000222	FGIG_00564	STRK1_72970.1, STRK1_72970.2
OG0000223	FGIG_00853	STRK1_9570.1
OG0000224	FGIG_01377, FGIG_01378	STRK1_3630.1, STRK1_3630.2, STRK1_3630.3
OG0000225	FGIG_02370, FGIG_02369	STRK1_17080.1
OG0000226	FGIG_02439, FGIG_12357	STRK1_110110.1, STRK1_111280.1, STRK1_36050.1
OG0000227	FGIG_04507, FGIG_04506	STRK1_105550.1, STRK1_67030.1
OG0000228	FGIG_04992	STRK1_37190.1
OG0000229	FGIG_10264, FGIG_05406, FGIG_12189	STRK1_57310.1, STRK1_57310.2
OG0000230	FGIG_06761, FGIG_06762	STRK1_64230.1, STRK1_64230.2
OG0000234	FGIG_01289	STRK1_32720.1, STRK1_100400.1, STRK1_100400.2
OG0000235	FGIG_07942, FGIG_02783, FGIG_02784	STRK1_16390.1, STRK1_16390.2
OG0000236	FGIG_05608	STRK1_48030.1
OG0000237	FGIG_06420	STRK1_46580.1, STRK1_46580.2
OG0000238	FGIG_07333	STRK1_33370.1
OG0000239	FGIG_07503, FGIG_08719	STRK1_25400.1, STRK1_82380.1, STRK1_96300.1, STRK1_111340.1, STRK1_82370.1
OG0000240	FGIG_10740, FGIG_10875	STRK1_36510.1, STRK1_36510.2
OG0000242	FGIG_01807	STRK1_7310.1
OG0000243	FGIG_00529, FGIG_00528	STRK1_15380.2, STRK1_15380.5, STRK1_15380.3, STRK1_15380.4, STRK1_15380.1
OG0000244	FGIG_11655, FGIG_00993	STRK1_5740.1
OG0000245	FGIG_01848	STRK1_2610.1, STRK1_2610.2, STRK1_2620.1
OG0000246	FGIG_06772	STRK1_110700.1
OG0000247	FGIG_09572	STRK1_6610.2, STRK1_6610.1, STRK1_6610.3, STRK1_96250.1
OG0000248	FGIG_10714	STRK1_62100.3, STRK1_62100.4, STRK1_62100.1, STRK1_62100.2
OG0000249	FGIG_11297	STRK1_3790.1
OG0000250	FGIG_12420, FGIG_11532	STRK1_38330.1, STRK1_99630.1, STRK1_99640.1
OG0000252	FGIG_01524	STRK1_41280.1, STRK1_41280.2
OG0000253	FGIG_02155	STRK1_4200.1
OG0000254	FGIG_02996	STRK1_8800.2, STRK1_8800.5, STRK1_8800.1, STRK1_8800.3, STRK1_8790.1, STRK1_8800.4
OG0000255	FGIG_03191	STRK1_27350.1
