Orthogroup	opisthorchis_viverrini	schistosoma_guineensis
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SGUI1_7740.1
OG0000021	T265_00883	SGUI1_5500.1, SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2, SGUI1_5480.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SGUI1_5490.1
OG0000022	T265_03268	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SGUI1_37700.1, SGUI1_37700.2, SGUI1_82420.1
OG0000023	T265_09097	SGUI1_43890.1, SGUI1_86030.1, SGUI1_12860.1, SGUI1_58570.1
OG0000024	T265_04524, T265_12877	SGUI1_23290.1
OG0000024	T265_08845	SGUI1_91920.1
OG0000024	T265_10896, T265_12043, T265_03132	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2
OG0000026	T265_07485	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2, SGUI1_72480.1
OG0000027	T265_14036	SGUI1_39960.1
OG0000028	T265_03596, T265_13290	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10
OG0000029	T265_08214	SGUI1_57980.1
OG0000029	T265_00572, T265_00570, T265_00571	SGUI1_87750.1
OG0000029	T265_11026	SGUI1_20300.1, SGUI1_20290.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SGUI1_88610.3, SGUI1_88610.1, SGUI1_88610.2
OG0000030	T265_14111	SGUI1_6410.1
OG0000031	T265_06361	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8
OG0000032	T265_07282	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1, SGUI1_80200.1, SGUI1_80200.2, SGUI1_80200.3
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3, SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1, SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1
OG0000035	T265_00972	SGUI1_14660.4, SGUI1_14660.2, SGUI1_14660.21, SGUI1_14660.22, SGUI1_14660.8, SGUI1_14660.10, SGUI1_14660.17, SGUI1_14660.20, SGUI1_14660.9, SGUI1_14660.24, SGUI1_14660.23, SGUI1_14660.5, SGUI1_14660.18, SGUI1_14660.3, SGUI1_14660.16, SGUI1_14660.1, SGUI1_14660.11, SGUI1_14660.7, SGUI1_14660.14, SGUI1_14660.6, SGUI1_14660.12, SGUI1_14660.15, SGUI1_14660.13, SGUI1_14660.19
OG0000037	T265_00630	SGUI1_60200.1, SGUI1_60350.1, SGUI1_60350.2, SGUI1_60350.3, SGUI1_60370.1, SGUI1_60380.1
