Orthogroup	opisthorchis_viverrini	schistosoma_intercalatum
OG0002858	T265_01858	SINT1_10090.1
OG0002859	T265_02034	SINT1_62430.1, SINT1_62430.3, SINT1_62430.2
OG0002860	T265_14764	SINT1_76270.1, SINT1_76270.3, SINT1_76270.2
OG0002861	T265_08733, T265_14653	SINT1_86480.1
OG0002863	T265_16256, T265_04944	SINT1_17470.1, SINT1_17480.1
OG0002864	T265_13279	SINT1_53710.1
OG0002865	T265_01001	SINT1_10860.1, SINT1_10860.4, SINT1_10860.2, SINT1_10860.3
OG0002866	T265_05742, T265_08029, T265_14459, T265_14460	SINT1_35770.1
OG0002867	T265_14794	SINT1_3700.3, SINT1_3700.1, SINT1_3700.4, SINT1_3700.2, SINT1_3700.5
OG0002868	T265_04776, T265_04777	SINT1_85660.1, SINT1_85660.2, SINT1_85660.3, SINT1_85660.4
OG0002869	T265_02470	SINT1_1960.1
OG0002870	T265_02369	SINT1_47510.2, SINT1_47510.1
OG0002871	T265_05892	SINT1_45070.2, SINT1_45070.1, SINT1_45070.3
OG0002872	T265_06839	SINT1_49510.2, SINT1_49510.1
OG0002873	T265_05961	SINT1_90330.1
OG0002874	T265_13044	SINT1_39610.1, SINT1_39610.2
OG0002875	T265_08601	SINT1_51030.1
OG0002876	T265_09158	SINT1_70140.1, SINT1_70140.2, SINT1_70140.3
OG0002877	T265_15585	SINT1_60350.1
OG0002878	T265_09786	SINT1_63440.3, SINT1_63440.1, SINT1_63440.2
OG0002879	T265_00994	SINT1_18030.3, SINT1_18030.1, SINT1_18030.2
OG0002880	T265_15974, T265_16333, T265_16372	SINT1_21900.1
OG0002881	T265_03918	SINT1_58910.2, SINT1_58910.4, SINT1_58910.5, SINT1_58910.1, SINT1_58910.3
OG0002882	T265_08367, T265_08365, T265_08366	SINT1_18460.1, SINT1_18480.2, SINT1_18480.1
OG0002883	T265_00123	SINT1_51140.1, SINT1_51140.2
OG0002884	T265_01404	SINT1_64590.1
OG0002885	T265_03301, T265_03258	SINT1_46690.3, SINT1_46690.1, SINT1_46690.2
OG0002886	T265_00431	SINT1_73390.1, SINT1_73390.2
OG0002889	T265_09957	SINT1_80790.1, SINT1_80790.2
OG0002890	T265_15384	SINT1_27780.5, SINT1_27780.1, SINT1_27780.3, SINT1_27780.4, SINT1_27780.2
OG0002892	T265_12956	SINT1_96710.1, SINT1_96710.2, SINT1_75230.1
OG0002893	T265_13538	SINT1_8510.1, SINT1_8510.2, SINT1_8510.3
OG0002902	T265_10089	SINT1_39310.3, SINT1_39310.2, SINT1_39310.1
OG0002903	T265_01720, T265_16142, T265_15992	SINT1_70950.1
OG0002904	T265_00938, T265_12671, T265_16281	SINT1_22450.1
OG0002905	T265_13028, T265_02524	SINT1_65800.1
OG0002906	T265_10987	SINT1_29130.1, SINT1_29130.2, SINT1_29130.3
OG0002907	T265_00957	SINT1_5410.1
OG0002908	T265_13687, T265_15239	SINT1_67910.1, SINT1_67920.1
OG0002910	T265_13256	SINT1_18710.1
OG0002911	T265_13253	SINT1_15020.1
OG0002912	T265_12025, T265_15674	SINT1_64320.1, SINT1_64320.2
OG0002913	T265_08468, T265_12220	SINT1_10270.1
OG0002914	T265_10038	SINT1_16530.2, SINT1_16530.1
OG0002915	T265_13119	SINT1_76300.1, SINT1_76300.2, SINT1_76300.4, SINT1_76300.3
OG0002916	T265_02505	SINT1_17530.1, SINT1_17530.2
OG0002917	T265_10733	SINT1_23110.1
OG0002918	T265_06975	SINT1_80050.1
OG0002919	T265_07324	SINT1_84630.1
OG0002921	T265_07949	SINT1_93410.1, SINT1_93410.2, SINT1_93410.3
OG0002922	T265_02668	SINT1_75290.2, SINT1_75290.3, SINT1_75290.1
OG0002923	T265_12590	SINT1_60520.1
OG0002924	T265_09413	SINT1_11940.1, SINT1_11940.2
OG0002925	T265_03081	SINT1_12630.1, SINT1_12630.2
OG0002926	T265_01295	SINT1_32490.1
OG0002927	T265_03127	SINT1_9730.1, SINT1_9730.2, SINT1_9730.3, SINT1_9730.4, SINT1_9730.5, SINT1_9730.6
OG0002928	T265_13841	SINT1_73920.1
OG0002929	T265_00854	SINT1_22720.2, SINT1_22720.1
OG0002930	T265_09338	SINT1_40530.1
OG0002931	T265_10381	SINT1_1840.1, SINT1_1840.2
OG0002932	T265_12802	SINT1_44950.1, SINT1_44940.1
OG0002933	T265_13654, T265_16004, T265_13655	SINT1_40270.1, SINT1_40270.2, SINT1_40270.3
OG0002934	T265_07078	SINT1_91580.1
OG0002935	T265_01577	SINT1_65290.1
OG0002936	T265_02894	SINT1_46630.1
OG0002938	T265_04269, T265_04417, T265_04418	SINT1_77970.1
OG0002939	T265_03203	SINT1_13270.1, SINT1_13270.2
OG0002940	T265_12767, T265_01318	SINT1_47980.1, SINT1_47980.2
OG0002941	T265_10241	SINT1_54930.1, SINT1_54940.1
OG0002942	T265_02787	SINT1_77250.1, SINT1_77230.1
OG0002943	T265_13089	SINT1_77270.1, SINT1_77270.2, SINT1_77270.3
OG0002944	T265_10544	SINT1_17580.1, SINT1_17610.1
OG0002945	T265_11225	SINT1_76600.1, SINT1_76600.2
OG0002946	T265_11123, T265_15274, T265_09246, T265_02088	SINT1_18870.1
OG0002947	T265_09749	SINT1_87970.1
OG0002948	T265_10715	SINT1_60270.1
OG0002949	T265_02799	SINT1_34170.1, SINT1_34170.2, SINT1_34170.3
OG0002950	T265_04871	SINT1_69350.1, SINT1_69350.2
OG0002951	T265_07586	SINT1_37850.1
OG0002952	T265_12773	SINT1_50350.1
OG0002953	T265_04423, T265_15987	SINT1_3240.1, SINT1_3240.2, SINT1_3240.5, SINT1_3240.3, SINT1_3240.4
OG0002954	T265_06597, T265_15941	SINT1_59740.1
OG0002955	T265_14732	SINT1_72760.1
OG0002956	T265_15076	SINT1_93180.1
OG0002957	T265_00422	SINT1_69450.1, SINT1_69450.2
OG0002958	T265_16166, T265_10751, T265_10762	SINT1_66290.2, SINT1_66290.1, SINT1_66290.3
OG0002959	T265_13472	SINT1_85650.1
OG0002960	T265_05712	SINT1_48610.1, SINT1_48610.2
OG0002961	T265_11252	SINT1_19320.1
OG0002962	T265_14105	SINT1_65820.1, SINT1_65820.2, SINT1_65820.3
OG0002964	T265_08700	SINT1_25240.1, SINT1_25240.2, SINT1_25240.3
OG0002965	T265_02144	SINT1_90890.3, SINT1_90890.1, SINT1_90890.2
OG0002966	T265_04442	SINT1_43910.1
OG0002967	T265_09516, T265_09515, T265_14873	SINT1_60810.1
OG0002968	T265_14182, T265_14181	SINT1_19530.1, SINT1_19530.2
OG0002969	T265_07415	SINT1_52700.1
OG0002970	T265_12882	SINT1_10030.1
OG0002971	T265_09283	SINT1_62680.1
OG0002972	T265_00627	SINT1_61420.2, SINT1_61420.1, SINT1_61420.3
OG0002973	T265_07435	SINT1_48440.1, SINT1_48440.2
OG0002974	T265_15126	SINT1_32560.1
OG0002975	T265_01518	SINT1_38320.1, SINT1_38320.2
OG0002976	T265_03160	SINT1_63110.1
OG0002977	T265_01592	SINT1_8040.5, SINT1_8040.7, SINT1_8040.4, SINT1_8040.1, SINT1_8040.2, SINT1_8040.3, SINT1_8040.6
OG0002979	T265_11670	SINT1_21650.1, SINT1_21650.2, SINT1_21650.3
OG0002980	T265_00740	SINT1_29430.2, SINT1_29430.1
OG0002981	T265_14186	SINT1_74110.1
OG0002982	T265_13871	SINT1_53600.1
OG0002983	T265_02113, T265_15879	SINT1_24760.1
OG0002984	T265_14382	SINT1_12890.2, SINT1_12890.1, SINT1_12890.3
OG0002985	T265_15506	SINT1_2050.1, SINT1_2050.4, SINT1_2050.2, SINT1_2050.3, SINT1_2050.5
OG0002986	T265_10270, T265_10269	SINT1_10170.1
OG0002988	T265_08760	SINT1_91440.1, SINT1_91440.2
OG0002989	T265_09294	SINT1_49340.3, SINT1_49340.1, SINT1_49340.2, SINT1_49340.5, SINT1_49340.4
OG0002990	T265_11604	SINT1_79650.1, SINT1_79650.2
OG0002991	T265_00107	SINT1_32020.1, SINT1_32020.2
OG0002992	T265_12542	SINT1_74810.1
OG0002993	T265_15836, T265_09955, T265_10213, T265_07127	SINT1_82590.1
OG0002994	T265_14978	SINT1_19500.1
OG0002995	T265_10496	SINT1_87530.1
OG0002996	T265_09556	SINT1_14970.2, SINT1_14970.3, SINT1_14970.4, SINT1_14970.1
OG0002997	T265_11005	SINT1_34440.1
OG0002998	T265_01464	SINT1_44620.1
OG0002999	T265_10797	SINT1_60140.2, SINT1_60140.4, SINT1_60140.1, SINT1_60140.5, SINT1_60140.6, SINT1_60140.3
OG0003000	T265_13667	SINT1_27120.1, SINT1_27120.2, SINT1_27120.3, SINT1_27120.4
OG0003001	T265_06939	SINT1_27060.1, SINT1_27060.2
OG0003002	T265_06956	SINT1_19770.1
OG0003003	T265_10787	SINT1_92120.1, SINT1_92120.2
OG0003004	T265_02782	SINT1_74030.1
OG0003006	T265_10485	SINT1_83520.1, SINT1_83520.2, SINT1_83520.3
OG0003007	T265_14668	SINT1_60860.1
OG0003008	T265_10063	SINT1_32080.1
OG0003009	T265_04390	SINT1_6490.1
OG0003010	T265_13842	SINT1_70020.1
OG0003011	T265_07456	SINT1_30440.1
OG0003012	T265_02531	SINT1_61280.1
OG0003013	T265_03958	SINT1_77070.1, SINT1_77070.2
OG0003014	T265_14360	SINT1_43350.1, SINT1_82810.1
OG0003015	T265_04992	SINT1_43380.1, SINT1_43380.2, SINT1_43380.3
OG0003016	T265_08197	SINT1_74490.1
OG0003017	T265_02207	SINT1_50230.1, SINT1_50260.1
OG0003018	T265_05229, T265_13729, T265_16104	SINT1_92980.1, SINT1_92980.2
OG0003019	T265_00834	SINT1_73560.1
OG0003020	T265_13359	SINT1_28870.1
OG0003021	T265_11800	SINT1_82840.1
OG0003023	T265_04962, T265_12395	SINT1_82770.3, SINT1_82770.2, SINT1_82770.1
OG0003024	T265_08219	SINT1_76650.1, SINT1_76650.2
OG0003025	T265_08285	SINT1_36980.1
OG0003026	T265_02585	SINT1_33230.1, SINT1_33230.2, SINT1_33230.3
OG0003027	T265_11623	SINT1_16790.1, SINT1_16780.1
OG0003028	T265_14740	SINT1_10200.1
OG0003029	T265_07912	SINT1_80650.1
OG0003030	T265_14667	SINT1_19710.2, SINT1_19710.1
OG0003031	T265_03339	SINT1_64060.1
OG0003032	T265_09883	SINT1_58670.1, SINT1_58670.2
OG0003033	T265_00067	SINT1_46800.1
OG0003034	T265_13931	SINT1_81040.1, SINT1_81040.2, SINT1_81040.3, SINT1_81040.4
OG0003036	T265_13241	SINT1_82920.1, SINT1_82930.1, SINT1_82940.1
OG0003037	T265_08191	SINT1_78370.1
OG0003038	T265_01298	SINT1_52100.1
OG0003039	T265_12554	SINT1_46070.1, SINT1_46070.2
OG0003040	T265_08335	SINT1_30110.5, SINT1_30110.1, SINT1_30110.2, SINT1_30110.3, SINT1_30110.4
OG0003041	T265_00719	SINT1_32940.1
OG0003043	T265_02896	SINT1_47830.1, SINT1_47830.2
OG0003044	T265_01567	SINT1_7810.1
OG0003045	T265_05095	SINT1_51560.1
OG0003046	T265_05093	SINT1_51570.1, SINT1_51570.2
OG0003047	T265_13450	SINT1_13060.3, SINT1_13060.1, SINT1_13060.2
OG0003048	T265_01218, T265_09411	SINT1_95870.1, SINT1_45770.1
OG0003049	T265_01217	SINT1_45760.2, SINT1_45760.1
OG0003050	T265_04271, T265_04273	SINT1_77410.2, SINT1_77410.1, SINT1_77400.1
OG0003051	T265_09098	SINT1_24490.1, SINT1_24490.2
OG0003052	T265_11750	SINT1_64410.1
OG0003053	T265_03747	SINT1_26630.2, SINT1_26630.1
OG0003054	T265_03119	SINT1_8930.1, SINT1_8930.2, SINT1_8930.3
OG0003055	T265_09217	SINT1_56200.1
OG0003056	T265_07027	SINT1_8810.1, SINT1_8810.2
OG0003057	T265_07016	SINT1_62980.2, SINT1_62980.5, SINT1_62980.6, SINT1_62980.3, SINT1_62980.1, SINT1_62980.4
OG0003058	T265_03889	SINT1_90440.1
OG0003059	T265_01103, T265_11098, T265_12033	SINT1_35960.2, SINT1_35960.3, SINT1_35960.4, SINT1_35960.1
OG0003060	T265_13466	SINT1_51880.1
OG0003062	T265_07364	SINT1_88250.1
OG0003063	T265_15517	SINT1_17860.1
OG0003064	T265_01571	SINT1_7820.1, SINT1_7830.1, SINT1_7830.2
OG0003065	T265_12659	SINT1_21950.1
OG0003066	T265_04405	SINT1_92480.2, SINT1_92480.1
OG0003067	T265_01085	SINT1_24960.2, SINT1_24960.1
OG0003068	T265_11773	SINT1_75580.1, SINT1_75580.2
OG0003069	T265_01995	SINT1_69670.3, SINT1_69670.1, SINT1_69670.2
OG0003071	T265_04804	SINT1_60450.1
OG0003072	T265_11500	SINT1_78350.1
OG0003073	T265_12790	SINT1_63610.1
OG0003074	T265_14915	SINT1_58470.1
OG0003075	T265_14577	SINT1_57300.1
OG0003076	T265_10794, T265_16094	SINT1_57260.1, SINT1_57260.2
OG0003077	T265_15604	SINT1_73590.1, SINT1_73590.2
OG0003078	T265_14671	SINT1_60920.1
OG0003079	T265_11875	SINT1_56180.1
OG0003080	T265_07755	SINT1_11120.2, SINT1_11120.3, SINT1_11120.1
OG0003081	T265_03078	SINT1_14800.1
OG0003082	T265_11379	SINT1_50040.1, SINT1_50040.2
OG0003083	T265_14683	SINT1_78110.1, SINT1_78110.2
OG0003085	T265_14689	SINT1_38730.1
OG0003087	T265_08143	SINT1_94290.1
OG0003088	T265_02291, T265_04908	SINT1_20710.1, SINT1_20710.2, SINT1_20710.3
OG0003089	T265_11951	SINT1_18780.1
OG0003090	T265_13275	SINT1_31960.1
OG0003107	T265_05277	SINT1_55990.1
OG0003108	T265_06555	SINT1_26430.1
OG0003109	T265_13791	SINT1_15340.1, SINT1_15340.2
OG0003110	T265_04583, T265_04581	SINT1_14250.1
OG0003111	T265_01222	SINT1_70890.1, SINT1_70890.2
OG0003112	T265_03161	SINT1_67260.2, SINT1_67260.1
OG0003114	T265_04310	SINT1_85640.1
OG0003115	T265_12647	SINT1_72810.1
OG0003116	T265_06786, T265_16161	SINT1_86710.1
OG0003117	T265_00936	SINT1_18670.1, SINT1_18670.2
OG0003120	T265_12987	SINT1_69930.1
OG0003121	T265_03332	SINT1_1520.1
OG0003122	T265_00248	SINT1_490.1, SINT1_490.2
OG0003124	T265_09973	SINT1_89130.2, SINT1_89130.3, SINT1_89130.1, SINT1_89130.4
OG0003126	T265_02263	SINT1_19350.1
OG0003127	T265_00393	SINT1_84890.1, SINT1_84890.3, SINT1_84890.2
OG0003128	T265_12835	SINT1_80960.1
OG0003129	T265_00252	SINT1_2790.1
OG0003130	T265_03769, T265_03257, T265_03259, T265_03260	SINT1_28020.2, SINT1_28020.1
OG0003131	T265_16261	SINT1_71460.1, SINT1_71460.2
OG0003133	T265_15587	SINT1_59010.1
OG0003134	T265_06539	SINT1_82240.1
OG0003136	T265_01565	SINT1_10310.1, SINT1_10310.2, SINT1_10310.3
OG0003137	T265_13566	SINT1_80230.1
OG0003138	T265_01867, T265_12886	SINT1_88900.1, SINT1_88900.2, SINT1_88920.1, SINT1_88910.1, SINT1_88910.2
OG0003139	T265_09293	SINT1_49320.1, SINT1_96130.1
OG0003140	T265_10611	SINT1_31080.1
OG0003142	T265_13088, T265_12449	SINT1_75390.1
OG0003144	T265_07038	SINT1_39290.3, SINT1_39290.1, SINT1_39290.2
OG0003145	T265_10158, T265_10168, T265_16083	SINT1_20040.1, SINT1_20040.2
OG0003146	T265_00190	SINT1_64350.1, SINT1_64350.2, SINT1_64350.3
OG0003147	T265_04879	SINT1_49170.1
OG0003148	T265_05214	SINT1_91030.1
OG0003149	T265_14469	SINT1_55940.1, SINT1_55940.2
OG0003150	T265_03278	SINT1_77660.1
OG0003151	T265_13108	SINT1_49890.1, SINT1_49890.2
OG0003152	T265_13663, T265_16373, T265_07971, T265_16076	SINT1_37170.1, SINT1_37170.2
OG0003153	T265_11495	SINT1_72900.4, SINT1_72900.2, SINT1_72900.3, SINT1_72900.1
OG0003154	T265_08108	SINT1_35690.3, SINT1_35690.1, SINT1_35690.2
OG0003155	T265_07187	SINT1_70290.1
OG0003156	T265_05065	SINT1_38210.1, SINT1_38210.2
OG0003157	T265_07210	SINT1_52400.1
OG0003158	T265_03832	SINT1_87710.1, SINT1_87710.2
OG0003159	T265_10689	SINT1_55640.1
OG0003160	T265_03695	SINT1_20780.1, SINT1_20780.2
OG0003161	T265_00163	SINT1_47090.1, SINT1_47090.2, SINT1_47080.1, SINT1_47080.2
OG0003164	T265_07313	SINT1_33370.1, SINT1_33370.2
OG0003167	T265_04823, T265_15925	SINT1_92050.1, SINT1_92050.2
OG0003168	T265_00599	SINT1_63230.1
OG0003169	T265_10047	SINT1_15950.1, SINT1_15950.2
OG0003170	T265_09151	SINT1_18210.1, SINT1_18210.3, SINT1_18210.2
OG0003171	T265_14761, T265_14762	SINT1_72230.1, SINT1_72230.2
OG0003172	T265_12118, T265_11052	SINT1_22190.8, SINT1_22190.9, SINT1_22310.1
OG0003173	T265_02971	SINT1_31770.1
OG0003174	T265_08480	SINT1_74130.1
OG0003175	T265_16305, T265_12278, T265_09707, T265_16168	SINT1_92240.1, SINT1_92240.2, SINT1_92240.4, SINT1_92240.3
OG0003176	T265_13135	SINT1_69300.1, SINT1_69300.2, SINT1_69300.4, SINT1_69300.3
OG0003177	T265_11345	SINT1_25820.1, SINT1_25820.2
OG0003178	T265_10413, T265_10411, T265_15781, T265_15620, T265_16328	SINT1_33450.2, SINT1_33450.1, SINT1_33450.3
OG0003179	T265_01970	SINT1_74250.1
OG0003180	T265_15379	SINT1_4240.2, SINT1_4240.1
OG0003181	T265_12891	SINT1_36660.1
OG0003182	T265_10341	SINT1_31330.1, SINT1_31330.2, SINT1_31330.3
OG0003183	T265_04369, T265_16026	SINT1_13380.1, SINT1_13380.2
OG0003184	T265_03526	SINT1_28510.1
OG0003185	T265_15307	SINT1_70980.1
OG0003186	T265_04885	SINT1_29830.1
OG0003187	T265_00780	SINT1_72910.1, SINT1_72910.2, SINT1_72910.3
OG0003188	T265_07818	SINT1_80670.1
OG0003189	T265_01242	SINT1_56680.2, SINT1_56680.3, SINT1_56680.1
OG0003190	T265_11076	SINT1_60190.1
OG0003191	T265_13899	SINT1_47380.1
OG0003192	T265_08136	SINT1_65790.1
OG0003193	T265_05017	SINT1_37200.1
OG0003194	T265_03962	SINT1_68940.1, SINT1_68940.2
OG0003195	T265_15661	SINT1_18260.1, SINT1_18260.2, SINT1_18260.3
OG0003196	T265_01121	SINT1_61820.1
OG0003197	T265_14545	SINT1_93380.1
OG0003198	T265_05273	SINT1_50580.1, SINT1_50580.2
OG0003199	T265_08967	SINT1_91900.1
OG0003200	T265_13485	SINT1_10620.7, SINT1_10620.1, SINT1_10620.5, SINT1_10620.2, SINT1_10620.4, SINT1_10620.3, SINT1_10620.6, SINT1_10620.8
OG0003201	T265_10050	SINT1_14590.1
OG0003203	T265_08385	SINT1_90150.1
OG0003204	T265_14093	SINT1_20400.1
OG0003205	T265_14205	SINT1_36600.1
OG0003206	T265_06903	SINT1_17660.1, SINT1_17650.1, SINT1_17650.2
OG0003207	T265_00236	SINT1_8410.1
OG0003208	T265_12719, T265_01116, T265_02116	SINT1_67430.1
OG0003209	T265_04035	SINT1_77790.2, SINT1_77790.1, SINT1_77790.3, SINT1_77790.4
OG0003210	T265_15007, T265_15334	SINT1_13000.1
OG0003211	T265_11261, T265_15387	SINT1_74020.1
OG0003212	T265_00230	SINT1_5890.1, SINT1_5890.2, SINT1_5890.3
OG0003213	T265_10936	SINT1_33290.1, SINT1_33290.2
OG0003214	T265_02512	SINT1_11900.1
OG0003215	T265_11178, T265_11179	SINT1_9050.1
OG0003216	T265_09762	SINT1_63810.1
OG0003217	T265_02011	SINT1_60570.1
OG0003218	T265_08129	SINT1_57740.1
OG0003220	T265_04665, T265_04127, T265_14421, T265_09523	SINT1_21920.1
OG0003222	T265_15508	SINT1_19780.2, SINT1_19780.1, SINT1_19780.3, SINT1_19780.4
OG0003223	T265_07346	SINT1_87230.1
OG0003224	T265_01519	SINT1_38310.1, SINT1_38310.2, SINT1_38310.3
OG0003226	T265_04588, T265_06369	SINT1_14230.1
OG0003227	T265_15188	SINT1_61300.1
OG0003228	T265_05344	SINT1_86130.1
OG0003229	T265_01945	SINT1_75040.1, SINT1_75040.2
OG0003230	T265_03970	SINT1_46940.1
OG0003232	T265_11465	SINT1_11050.1
OG0003233	T265_15043	SINT1_22150.1
OG0003234	T265_08452	SINT1_60230.1, SINT1_60230.2, SINT1_60230.7, SINT1_60230.8, SINT1_60230.3, SINT1_60230.4, SINT1_60230.9, SINT1_60230.5, SINT1_60230.6
OG0003235	T265_03407	SINT1_82910.1, SINT1_82910.2, SINT1_82910.4, SINT1_82910.3
OG0003237	T265_01039	SINT1_25360.1
OG0003238	T265_00665	SINT1_65070.2, SINT1_65070.1
OG0003239	T265_05841, T265_11592	SINT1_79450.2, SINT1_79450.1, SINT1_79450.3
OG0003240	T265_09874	SINT1_8140.1
OG0003241	T265_08313	SINT1_37540.1
OG0003242	T265_08090, T265_12218	SINT1_52960.1, SINT1_52960.2
OG0003243	T265_01389	SINT1_8780.1, SINT1_8780.2, SINT1_8780.3
OG0003244	T265_14655	SINT1_53360.1
OG0003245	T265_05102	SINT1_53780.5, SINT1_53780.6, SINT1_53780.4, SINT1_53780.1, SINT1_53780.2, SINT1_53780.3
OG0003246	T265_04347	SINT1_8850.1
OG0003247	T265_15668	SINT1_20650.1
OG0003249	T265_02516	SINT1_63560.1
OG0003250	T265_00815	SINT1_69620.1
OG0003251	T265_15132	SINT1_85080.1
OG0003252	T265_07596	SINT1_42280.1, SINT1_42290.1
OG0003253	T265_04761	SINT1_85600.1, SINT1_85600.2
OG0003254	T265_04181	SINT1_63820.1
OG0003255	T265_08975, T265_08976	SINT1_91920.1, SINT1_91070.1
OG0003256	T265_11920, T265_10484, T265_13236, T265_15390, T265_14837, T265_01620, T265_13563	SINT1_82450.1, SINT1_82450.2
OG0003257	T265_09512	SINT1_12840.2, SINT1_12840.1
OG0003258	T265_13426, T265_16113	SINT1_43370.1, SINT1_43370.2
OG0003259	T265_04248	SINT1_23860.1
OG0003260	T265_07096	SINT1_82710.1
OG0003261	T265_13387	SINT1_34690.1
OG0003263	T265_11723	SINT1_4970.1
OG0003264	T265_14781	SINT1_15530.1
OG0003265	T265_14465	SINT1_41980.1, SINT1_41980.2
OG0003266	T265_00355	SINT1_70450.1
OG0003267	T265_11130	SINT1_20350.1, SINT1_20350.2, SINT1_20350.3
OG0003268	T265_10845	SINT1_43470.1
OG0003269	T265_02226	SINT1_75260.2, SINT1_75260.3, SINT1_75260.1
OG0003270	T265_05629	SINT1_62320.3, SINT1_62320.1, SINT1_62320.2
OG0003271	T265_00964	SINT1_11600.1
OG0003273	T265_08347	SINT1_33840.2, SINT1_33840.1, SINT1_33840.3
OG0003275	T265_15417	SINT1_24710.1
OG0003276	T265_07677, T265_14350, T265_14351, T265_14349, T265_01626	SINT1_61360.1
OG0003277	T265_14638	SINT1_33580.1, SINT1_33580.2
OG0003278	T265_11305	SINT1_55210.1, SINT1_55210.2
OG0003279	T265_15092	SINT1_1710.2, SINT1_1710.1, SINT1_1710.3
OG0003280	T265_00283, T265_07565	SINT1_76800.3, SINT1_76800.1, SINT1_76800.2
OG0003281	T265_05670, T265_16020	SINT1_92820.1, SINT1_92820.2, SINT1_92820.3
OG0003282	T265_05807	SINT1_52810.1, SINT1_52810.2
OG0003283	T265_14849	SINT1_93050.1
OG0003284	T265_10799	SINT1_60160.1
OG0003285	T265_10409	SINT1_23070.2, SINT1_23070.3, SINT1_23070.1
OG0003286	T265_14579	SINT1_66370.1, SINT1_66370.5, SINT1_66370.2, SINT1_66370.3, SINT1_66370.4, SINT1_66370.6
OG0003287	T265_11152	SINT1_9530.1
OG0003289	T265_14827, T265_14826	SINT1_13350.1
OG0003290	T265_11160	SINT1_10490.1
OG0003291	T265_10834	SINT1_17390.1, SINT1_17390.2
OG0003292	T265_04681	SINT1_83810.1
OG0003293	T265_05415	SINT1_27270.1
OG0003294	T265_08998	SINT1_33600.1
OG0003295	T265_06245	SINT1_26010.1, SINT1_26010.2, SINT1_26010.3, SINT1_26030.1, SINT1_26030.2
OG0003297	T265_11733	SINT1_17820.1
OG0003298	T265_00463	SINT1_46230.1
OG0003299	T265_07321	SINT1_75970.1, SINT1_75970.2
OG0003300	T265_01803	SINT1_13640.1, SINT1_13640.2, SINT1_13640.3
OG0003301	T265_10537	SINT1_44110.1
OG0003302	T265_14440	SINT1_8260.1, SINT1_8260.2
OG0003303	T265_03311	SINT1_54270.1
OG0003304	T265_09145	SINT1_7130.2, SINT1_7130.1, SINT1_7130.3
OG0003305	T265_00774	SINT1_72970.1, SINT1_72970.2
OG0003306	T265_14129	SINT1_56070.1
OG0003307	T265_11890	SINT1_26230.1
OG0003310	T265_12760	SINT1_48250.1
OG0003313	T265_02811	SINT1_54550.4, SINT1_54550.3, SINT1_54550.1, SINT1_54550.2
OG0003315	T265_01927	SINT1_32230.1, SINT1_32230.2
OG0003318	T265_03220, T265_08727	SINT1_9540.1, SINT1_64360.1
OG0003319	T265_08722	SINT1_40390.1
OG0003320	T265_14787	SINT1_56210.1
OG0003326	T265_12115	SINT1_66230.1, SINT1_66230.2, SINT1_66230.3, SINT1_66230.4
OG0003327	T265_12021	SINT1_75730.4, SINT1_75730.3, SINT1_75730.1, SINT1_75730.2, SINT1_75730.5, SINT1_75730.6, SINT1_75730.7
OG0003328	T265_03597	SINT1_73370.1
OG0003329	T265_13725	SINT1_92920.1
OG0003330	T265_05098	SINT1_51600.1
OG0003331	T265_11448	SINT1_9840.1, SINT1_9840.2
OG0003332	T265_14609	SINT1_32070.1, SINT1_32060.1
OG0003334	T265_07042	SINT1_28500.2, SINT1_28500.3, SINT1_28500.5, SINT1_28500.4, SINT1_28500.6, SINT1_28500.1
OG0003335	T265_10561, T265_15187	SINT1_63690.3, SINT1_63690.1, SINT1_63690.2
OG0003336	T265_08134	SINT1_61500.1
OG0003338	T265_06648	SINT1_16840.1, SINT1_16840.2
OG0003339	T265_06302	SINT1_680.1, SINT1_670.1
OG0003340	T265_13297	SINT1_39710.1
OG0003341	T265_07155	SINT1_67020.1, SINT1_67020.2
OG0003342	T265_10319	SINT1_13820.1, SINT1_13820.2, SINT1_13820.3, SINT1_13820.4
OG0003343	T265_08839	SINT1_51390.1, SINT1_51390.3, SINT1_51390.2, SINT1_51390.4
OG0003344	T265_05994	SINT1_23370.1, SINT1_23370.2
OG0003346	T265_15250, T265_15251, T265_16311, T265_14424, T265_07896, T265_01009	SINT1_92520.1
OG0003347	T265_15325	SINT1_44470.1
OG0003348	T265_00384	SINT1_53450.1, SINT1_53450.2
OG0003349	T265_14676	SINT1_40210.1, SINT1_40210.3, SINT1_40210.4, SINT1_40210.2
OG0003350	T265_14476	SINT1_68700.1, SINT1_68700.2
OG0003351	T265_03852	SINT1_72450.1
OG0003352	T265_15477	SINT1_79440.3, SINT1_79440.2, SINT1_79440.1
OG0003354	T265_14200	SINT1_27630.1
OG0003355	T265_14583, T265_15801, T265_08484	SINT1_68380.1
OG0003356	T265_13187	SINT1_13260.1
OG0003357	T265_04123, T265_15449	SINT1_43130.1
OG0003358	T265_13333	SINT1_88420.1
OG0003360	T265_15037	SINT1_33100.1, SINT1_33100.2, SINT1_33100.3, SINT1_33100.4
OG0003361	T265_01606	SINT1_19660.1
OG0003362	T265_06343, T265_08886	SINT1_74360.1
OG0003363	T265_00732	SINT1_29970.1, SINT1_29970.2
OG0003364	T265_10488, T265_16148, T265_16320, T265_16298	SINT1_83780.1
