Orthogroup	opisthorchis_viverrini	schistosoma_intercalatum
OG0000073	T265_11926	SINT1_55460.3, SINT1_55450.1, SINT1_55450.2, SINT1_55450.4, SINT1_55460.1, SINT1_55450.5, SINT1_55460.2, SINT1_55450.3
OG0000074	T265_06662	SINT1_1200.2, SINT1_1200.1
OG0000074	T265_09755	SINT1_86470.1
OG0000074	T265_14825	SINT1_11530.3, SINT1_11530.2, SINT1_11530.1
OG0000074	T265_13709	SINT1_86570.1
OG0000075	T265_02596	SINT1_33970.18, SINT1_33970.16, SINT1_33970.24, SINT1_33970.8, SINT1_33970.1, SINT1_33970.10, SINT1_33970.11, SINT1_33970.12, SINT1_33970.13, SINT1_33970.14, SINT1_33970.15, SINT1_33970.17, SINT1_33970.2, SINT1_33970.20, SINT1_33970.22, SINT1_33970.23, SINT1_33970.4, SINT1_33970.5, SINT1_33970.6, SINT1_33970.7, SINT1_33970.9, SINT1_33970.3, SINT1_33970.19, SINT1_33970.21
OG0000076	T265_01838	SINT1_89270.4, SINT1_89270.2, SINT1_89270.1, SINT1_89270.3
OG0000076	T265_09657, T265_14927	SINT1_3800.6, SINT1_3800.4, SINT1_3800.3, SINT1_3800.2, SINT1_3800.5, SINT1_3800.1, SINT1_3800.7
OG0000077	T265_07170	SINT1_10970.11, SINT1_10970.9, SINT1_10970.10, SINT1_10970.6, SINT1_10970.7, SINT1_10970.3, SINT1_10970.1, SINT1_10970.4, SINT1_10970.8, SINT1_10970.2, SINT1_10970.5
OG0000078	T265_10237, T265_16023	SINT1_5520.8, SINT1_5520.1, SINT1_5520.9, SINT1_5520.4, SINT1_5520.2, SINT1_5520.3, SINT1_5520.5, SINT1_5520.6, SINT1_5520.7
OG0000079	T265_03623	SINT1_30740.1, SINT1_30740.2, SINT1_30740.3, SINT1_30740.4
OG0000079	T265_11700	SINT1_53840.5, SINT1_53840.1, SINT1_53840.3, SINT1_53840.2, SINT1_53840.4, SINT1_53840.6
OG0000080	T265_07150, T265_07149	SINT1_44200.2, SINT1_44200.8, SINT1_44200.7, SINT1_44200.6, SINT1_44200.5, SINT1_44200.4, SINT1_44200.3, SINT1_44200.1, SINT1_44200.9
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SINT1_2370.1, SINT1_69680.1, SINT1_65950.1, SINT1_34300.1, SINT1_80800.1, SINT1_7880.1, SINT1_44890.1, SINT1_44230.1, SINT1_19300.1, SINT1_2900.1, SINT1_38270.1, SINT1_58320.1
OG0000082	T265_13150	SINT1_10600.4, SINT1_10600.2, SINT1_10600.3, SINT1_10600.8, SINT1_10600.1, SINT1_10600.7, SINT1_10600.10, SINT1_10600.11, SINT1_10600.16, SINT1_10600.12, SINT1_10600.14, SINT1_10600.5, SINT1_10600.6, SINT1_10600.15, SINT1_10600.17, SINT1_10600.13, SINT1_10600.9
OG0000085	T265_03464, T265_13261, T265_16244	SINT1_36430.1
OG0000086	T265_13900	SINT1_72260.6, SINT1_72260.3, SINT1_72260.4, SINT1_72260.5, SINT1_72260.7, SINT1_72260.1, SINT1_72260.2
OG0000087	T265_01347, T265_12258	SINT1_52890.10, SINT1_52890.11, SINT1_52890.12, SINT1_52890.3, SINT1_52890.4, SINT1_52890.8, SINT1_52890.1, SINT1_52890.2, SINT1_52890.9, SINT1_52890.5, SINT1_52890.6, SINT1_52890.7
OG0000090	T265_02657, T265_14540	SINT1_49900.5, SINT1_49900.1, SINT1_49900.2, SINT1_49900.3, SINT1_49900.4, SINT1_49900.6, SINT1_49900.7, SINT1_49900.8
OG0000091	T265_04053	SINT1_47820.5, SINT1_47820.1, SINT1_47820.4, SINT1_47820.2, SINT1_47820.3, SINT1_47820.6
OG0000092	T265_14035, T265_15099	SINT1_2100.1, SINT1_2100.2
OG0000092	T265_03205	SINT1_13320.1, SINT1_13320.2
OG0000093	T265_08704	SINT1_40130.1
OG0000093	T265_06064, T265_06061, T265_06063	SINT1_39320.1
OG0000094	T265_06493	SINT1_8630.4, SINT1_8630.7, SINT1_8630.1, SINT1_8630.2, SINT1_8630.5, SINT1_8630.3, SINT1_8630.6, SINT1_8630.10, SINT1_8630.8, SINT1_8630.9
OG0000095	T265_08487	SINT1_61190.1, SINT1_61190.4, SINT1_61190.5, SINT1_61190.8, SINT1_61190.6, SINT1_61190.2, SINT1_61190.3, SINT1_61190.7
OG0000096	T265_09813	SINT1_35330.6, SINT1_35330.7, SINT1_35330.11, SINT1_35330.3, SINT1_35330.2, SINT1_35330.8, SINT1_35330.10, SINT1_35330.13, SINT1_35330.12, SINT1_35330.1, SINT1_35330.4, SINT1_35330.5, SINT1_35330.15, SINT1_35330.9, SINT1_35330.16, SINT1_35330.14
OG0000097	T265_02082	SINT1_6980.13, SINT1_6980.2, SINT1_6980.3, SINT1_6980.9, SINT1_6980.1, SINT1_6980.10, SINT1_6980.14, SINT1_6980.4, SINT1_6980.5, SINT1_6980.6, SINT1_6980.11, SINT1_6980.7, SINT1_6980.12, SINT1_6980.8
OG0000098	T265_08810	SINT1_94630.1, SINT1_41140.1
OG0000098	T265_16367, T265_15515	SINT1_66250.3, SINT1_66250.2, SINT1_66250.4, SINT1_66250.5, SINT1_66260.1, SINT1_66260.2
OG0000099	T265_01131	SINT1_67160.1, SINT1_67160.2, SINT1_67160.4, SINT1_67160.3, SINT1_67160.5
OG0000099	T265_02321	SINT1_71060.2, SINT1_71060.5, SINT1_71060.1, SINT1_71060.3, SINT1_71060.4
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	SINT1_38550.1, SINT1_73100.1, SINT1_76440.1, SINT1_26250.1
OG0000102	T265_01574	SINT1_5950.1
OG0000102	T265_05632	SINT1_58290.1, SINT1_58290.2
OG0000103	T265_13207	SINT1_73200.2, SINT1_73200.3, SINT1_73200.1, SINT1_73200.4, SINT1_73200.5, SINT1_73200.6
OG0000105	T265_07815, T265_03022	SINT1_7800.15, SINT1_7800.4, SINT1_7800.5, SINT1_7800.6, SINT1_7800.7, SINT1_7800.12, SINT1_7800.11, SINT1_7800.14, SINT1_7800.1, SINT1_7800.13, SINT1_7800.2, SINT1_7800.9, SINT1_7800.10, SINT1_7800.8, SINT1_7800.3
OG0000107	T265_07863	SINT1_56150.1
OG0000108	T265_04554, T265_13536	SINT1_8450.10, SINT1_8450.3, SINT1_8450.1, SINT1_8450.12, SINT1_8450.7, SINT1_8450.15, SINT1_8450.16, SINT1_8450.17, SINT1_8450.9, SINT1_8450.13, SINT1_8450.11, SINT1_8450.8, SINT1_8450.5, SINT1_8450.6, SINT1_8450.4, SINT1_8450.14, SINT1_8450.2
OG0000110	T265_08891, T265_08892	SINT1_29940.1, SINT1_29940.2, SINT1_29900.1
OG0000110	T265_08890	SINT1_29960.5, SINT1_29960.2, SINT1_29960.1, SINT1_29960.3, SINT1_29960.4
OG0000111	T265_09132	SINT1_41240.1
OG0000111	T265_08991, T265_14719	SINT1_31320.2, SINT1_31320.1
OG0000112	T265_10678	SINT1_82360.1, SINT1_82360.12, SINT1_82360.13, SINT1_82360.5, SINT1_82360.6, SINT1_82360.10, SINT1_82360.2, SINT1_82360.7, SINT1_82360.3, SINT1_82360.9, SINT1_82360.4, SINT1_82360.11, SINT1_82360.8
OG0000114	T265_15923, T265_05226, T265_11486	SINT1_92930.1, SINT1_92930.10, SINT1_92930.2, SINT1_92930.3, SINT1_92930.4, SINT1_92930.5, SINT1_92930.7, SINT1_92930.8, SINT1_92930.9, SINT1_92930.6
OG0000115	T265_14637	SINT1_36650.2, SINT1_36650.5, SINT1_36650.8, SINT1_36650.9, SINT1_36650.11, SINT1_36650.6, SINT1_36650.1, SINT1_36650.10, SINT1_36650.12, SINT1_36650.14, SINT1_36650.15, SINT1_36650.3, SINT1_36650.4, SINT1_36650.7, SINT1_36650.13
OG0000116	T265_02129	SINT1_50100.1
OG0000117	T265_11206	SINT1_30050.5, SINT1_30050.14, SINT1_30050.11, SINT1_30050.13, SINT1_30050.2, SINT1_30050.3, SINT1_30050.8, SINT1_30050.4, SINT1_30050.6, SINT1_30050.12, SINT1_30050.1, SINT1_30050.7, SINT1_30050.9, SINT1_30050.10
OG0000119	T265_12920	SINT1_93740.1, SINT1_93730.1
OG0000120	T265_09108	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2
OG0000122	T265_15228, T265_15224	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4
OG0000123	T265_02792	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10
OG0000125	T265_13688	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2
OG0000127	T265_14567	SINT1_22790.3, SINT1_22790.1, SINT1_22790.2
OG0000128	T265_14408	SINT1_43010.1
OG0000129	T265_07587	SINT1_32320.9, SINT1_32320.6, SINT1_32320.7, SINT1_32320.10, SINT1_32320.11, SINT1_32320.8, SINT1_32320.5, SINT1_32320.2, SINT1_32320.1, SINT1_32320.3, SINT1_32320.4
OG0000130	T265_04661	SINT1_80760.1
OG0000131	T265_12829, T265_12830, T265_12581, T265_12545, T265_08101, T265_05571, T265_13814, T265_01520, T265_01523	SINT1_8740.1, SINT1_84520.1, SINT1_84470.1, SINT1_84480.1, SINT1_84490.1
OG0000132	T265_00680	SINT1_35550.3, SINT1_35550.2, SINT1_35550.10, SINT1_35550.1, SINT1_35550.11, SINT1_35550.12, SINT1_35550.5, SINT1_35550.6, SINT1_35550.7, SINT1_35550.9, SINT1_35550.4, SINT1_35550.8
OG0000133	T265_04893	SINT1_31700.1, SINT1_31700.8, SINT1_31700.3, SINT1_31700.2, SINT1_31700.4, SINT1_31700.5, SINT1_31700.6, SINT1_31700.7
OG0000134	T265_14784	SINT1_20430.1, SINT1_20430.5, SINT1_20430.7, SINT1_20430.6, SINT1_20430.2, SINT1_20430.3, SINT1_20430.10, SINT1_20430.4, SINT1_20430.8, SINT1_20430.9
