Orthogroup	schistosoma_intercalatum	fasciola_gigantica
OG0000118	SINT1_39470.1, SINT1_39480.1, SINT1_39450.1, SINT1_39460.1, SINT1_39460.2	FGIG_02831
OG0000119	SINT1_93740.1, SINT1_93730.1	FGIG_05939
OG0000120	SINT1_30140.3, SINT1_30140.1, SINT1_30140.4, SINT1_30140.6, SINT1_30140.8, SINT1_30140.5, SINT1_30140.7, SINT1_30140.2	FGIG_06695
OG0000122	SINT1_79190.5, SINT1_79190.6, SINT1_79190.1, SINT1_79190.3, SINT1_79190.2, SINT1_79190.4	FGIG_06459, FGIG_06458
OG0000123	SINT1_77380.6, SINT1_77380.14, SINT1_77380.11, SINT1_77380.3, SINT1_77380.2, SINT1_77380.9, SINT1_77380.5, SINT1_77380.1, SINT1_77380.8, SINT1_77380.12, SINT1_77380.4, SINT1_77380.13, SINT1_77380.16, SINT1_77380.15, SINT1_77380.7, SINT1_77380.10	FGIG_06911
OG0000125	SINT1_1310.1, SINT1_1310.4, SINT1_1310.8, SINT1_1310.5, SINT1_1310.6, SINT1_1310.7, SINT1_1310.3, SINT1_1310.2	FGIG_12140, FGIG_05136
OG0000126	SINT1_70010.5, SINT1_70010.1, SINT1_70010.2, SINT1_70010.3, SINT1_70010.4	FGIG_02836, FGIG_00047
OG0000127	SINT1_22790.3, SINT1_22790.1, SINT1_22790.2	FGIG_10651, FGIG_01876
OG0000128	SINT1_43010.1	FGIG_02928
OG0000129	SINT1_32320.9, SINT1_32320.6, SINT1_32320.7, SINT1_32320.10, SINT1_32320.11, SINT1_32320.8, SINT1_32320.5, SINT1_32320.2, SINT1_32320.1, SINT1_32320.3, SINT1_32320.4	FGIG_01051
OG0000130	SINT1_80760.1	FGIG_06548, FGIG_01370
OG0000131	SINT1_8740.1, SINT1_84520.1, SINT1_84470.1, SINT1_84480.1, SINT1_84490.1	FGIG_05376, FGIG_05377, FGIG_11768, FGIG_10846, FGIG_05375, FGIG_01592
OG0000132	SINT1_35550.3, SINT1_35550.2, SINT1_35550.10, SINT1_35550.1, SINT1_35550.11, SINT1_35550.12, SINT1_35550.5, SINT1_35550.6, SINT1_35550.7, SINT1_35550.9, SINT1_35550.4, SINT1_35550.8	FGIG_04447, FGIG_04446
OG0000133	SINT1_31700.1, SINT1_31700.8, SINT1_31700.3, SINT1_31700.2, SINT1_31700.4, SINT1_31700.5, SINT1_31700.6, SINT1_31700.7	FGIG_10537
OG0000134	SINT1_20430.1, SINT1_20430.5, SINT1_20430.7, SINT1_20430.6, SINT1_20430.2, SINT1_20430.3, SINT1_20430.10, SINT1_20430.4, SINT1_20430.8, SINT1_20430.9	FGIG_03080
OG0000135	SINT1_13520.1, SINT1_13520.2, SINT1_13520.7, SINT1_13520.9, SINT1_13520.10, SINT1_13520.8, SINT1_13520.11, SINT1_13520.12, SINT1_13520.3, SINT1_13520.4, SINT1_13520.5, SINT1_13520.6	FGIG_08997
OG0000136	SINT1_7430.1, SINT1_7460.1, SINT1_7420.1, SINT1_7420.2	FGIG_11134, FGIG_12681, FGIG_11135
OG0000138	SINT1_86150.1	FGIG_10020
OG0000138	SINT1_45050.1, SINT1_45050.2	FGIG_00536, FGIG_00535
OG0000139	SINT1_3860.1, SINT1_3860.4, SINT1_3860.8, SINT1_3860.10, SINT1_3860.2, SINT1_3860.6, SINT1_3860.7, SINT1_3860.5, SINT1_3860.9, SINT1_3860.3	FGIG_04756
OG0000140	SINT1_74990.1	FGIG_05800
OG0000142	SINT1_20300.1, SINT1_20310.1, SINT1_20320.1, SINT1_20340.1, SINT1_20330.1	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045
OG0000143	SINT1_67570.1, SINT1_96680.1, SINT1_67580.1	FGIG_03125
OG0000144	SINT1_54570.1, SINT1_54570.2, SINT1_54570.3	FGIG_04482
OG0000144	SINT1_27700.1	FGIG_02516
OG0000144	SINT1_56820.1	FGIG_08902, FGIG_02070
OG0000145	SINT1_33280.1, SINT1_33280.2	FGIG_06896
OG0000146	SINT1_89890.1	FGIG_01364
OG0000146	SINT1_56400.1	FGIG_07112
