Orthogroup	schistosoma_spindale	fasciola_gigantica
OG0000142	SSPN1_12880.1, SSPN1_12890.1	FGIG_10169, FGIG_10053, FGIG_07976, FGIG_08669, FGIG_07581, FGIG_01698, FGIG_06045
OG0000143	SSPN1_65840.1, SSPN1_65830.1	FGIG_03125
OG0000144	SSPN1_52880.1, SSPN1_52880.2	FGIG_04482
OG0000144	SSPN1_26530.1	FGIG_02516
OG0000144	SSPN1_54950.1	FGIG_08902, FGIG_02070
OG0000145	SSPN1_37690.1, SSPN1_37680.1, SSPN1_37680.2	FGIG_06896
OG0000146	SSPN1_87990.1	FGIG_01364
OG0000146	SSPN1_28030.1	FGIG_08174
OG0000146	SSPN1_45680.1	FGIG_12116
OG0000147	SSPN1_34820.5, SSPN1_34820.1, SSPN1_34820.3, SSPN1_34820.4, SSPN1_34820.2	FGIG_03610
OG0000148	SSPN1_30160.3, SSPN1_30160.2, SSPN1_30160.7, SSPN1_30160.1, SSPN1_30160.4, SSPN1_30160.5, SSPN1_30160.8, SSPN1_30160.6	FGIG_05123, FGIG_04713
OG0000149	SSPN1_52060.4, SSPN1_52060.7, SSPN1_52060.8, SSPN1_52060.3, SSPN1_52060.5, SSPN1_52060.6, SSPN1_52060.1, SSPN1_52060.12, SSPN1_52060.2, SSPN1_52060.9, SSPN1_52060.10, SSPN1_52060.11	FGIG_08710
OG0000151	SSPN1_60590.1	FGIG_00898
OG0000152	SSPN1_19460.2, SSPN1_19460.1, SSPN1_19460.3, SSPN1_19460.5, SSPN1_19460.4	FGIG_02196
OG0000153	SSPN1_48430.1, SSPN1_49110.1, SSPN1_49060.1	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	SSPN1_11260.1, SSPN1_11260.6, SSPN1_11260.8, SSPN1_11260.7, SSPN1_11260.9, SSPN1_11260.2, SSPN1_11260.5, SSPN1_11260.3, SSPN1_11260.4	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	SSPN1_33980.1	FGIG_01109
OG0000156	SSPN1_12720.4, SSPN1_12720.2, SSPN1_12720.3, SSPN1_12720.1	FGIG_01694
OG0000156	SSPN1_12710.3, SSPN1_12710.4, SSPN1_12710.1, SSPN1_12710.2	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	SSPN1_62430.3	FGIG_01729
OG0000157	SSPN1_42520.1	FGIG_07044, FGIG_07045
OG0000157	SSPN1_90870.1, SSPN1_90870.2	FGIG_03579
OG0000158	SSPN1_5420.1	FGIG_05975
OG0000159	SSPN1_61930.1	FGIG_07564
OG0000160	SSPN1_16020.2, SSPN1_16020.6, SSPN1_16020.8, SSPN1_16020.10, SSPN1_16020.3, SSPN1_16020.11, SSPN1_16020.1, SSPN1_16020.12, SSPN1_16020.4, SSPN1_16020.5, SSPN1_16020.7, SSPN1_16020.9	FGIG_05715
OG0000161	SSPN1_36170.1, SSPN1_36170.2, SSPN1_36170.3, SSPN1_36170.4, SSPN1_36150.1, SSPN1_36160.1, SSPN1_36170.5, SSPN1_36170.6	FGIG_08957
